Parameter,CFU_a_no,Rif_a_no,CFU_b_no,Rif_b_no,CFU_c_no,Rif_c_no,CFU_d_no,Rif_d_no,CFU_a_with,Rif_a_with,CFU_b_with,Rif_b_with,CFU_c_with,Rif_c_with,CFU_d_with,Rif_d_with
Dilution,100000.0,1.0,100000.0,1.0,100000.0,1.0,100000.0,1.0,1.0e6,1.0,1.0e6,1.0,1.0e6,1.0,1.0e6,1.0
Fraction,0.01,0.4,0.01,0.4,0.01,0.4,0.01,0.4,0.01,0.2,0.01,0.2,0.01,0.06,0.01,0.06
mc_1,747.0,4.0,612.0,55.0,436.0,35.0,589.0,355.0,18.0,8.0,13.0,28.0,30.0,26.0,20.0,138.0
mc_2,488.0,21.0,457.0,35.0,448.0,135.0,426.0,148.0,28.0,5.0,21.0,108.0,4.0,1.0,32.0,27.0
mc_3,589.0,4.0,426.0,6.0,812.0,102.0,549.0,164.0,31.0,3.0,15.0,474.0,6.0,150.0,43.0,252.0
mc_4,747.0,19.0,540.0,32.0,930.0,293.0,572.0,234.0,33.0,5.0,18.0,5.0,6.0,23.0,18.0,138.0
mc_5,638.0,12.0,1336.0,532.0,426.0,151.0,537.0,337.0,15.0,744.0,12.0,3.0,6.0,186.0,35.0,174.0
mc_6,697.0,77.0,615.0,113.0,343.0,73.0,571.0,663.0,24.0,1200.0,13.0,9.0,12.0,144.0,35.0,170.0
mc_7,657.0,86.0,425.0,13.0,626.0,598.0,526.0,561.0,8.0,17.0,31.0,15.0,10.0,34.0,46.0,31.0
mc_8,462.0,18.0,536.0,34.0,380.0,540.0,350.0,1536.0,31.0,6.0,18.0,11.0,19.0,59.0,33.0,55.0
mc_9,492.0,8.0,1216.0,71.0,480.0,228.0,641.0,561.0,19.0,5.0,12.0,28.0,37.0,8.0,48.0,120.0
mc_10,769.0,22.0,529.0,15.0,352.0,250.0,563.0,676.0,15.0,10.0,16.0,4.0,5.0,24.0,24.0,170.0
mc_11,409.0,4.0,520.0,12.0,406.0,43.0,1023.0,294.0,21.0,38.0,10.0,1.0,12.0,45.0,15.0,81.0
mc_12,542.0,10.0,300.0,1.0,454.0,53.0,613.0,131.0,26.0,485.0,14.0,269.0,26.0,6.0,25.0,103.0
mc_13,922.0,75.0,494.0,81.0,460.0,80.0,613.0,504.0,15.0,12.0,13.0,50.0,21.0,38.0,45.0,139.0
mc_14,295.0,10.0,310.0,40.0,407.0,190.0,611.0,394.0,20.0,18.0,2.0,12.0,48.0,81.0,19.0,70.0
mc_15,406.0,51.0,611.0,43.0,473.0,383.0,589.0,289.0,6.0,2.0,6.0,1.0,11.0,7.0,38.0,145.0
mc_16,679.0,9.0,786.0,32.0,279.0,110.0,618.0,149.0,10.0,4.0,7.0,11.0,15.0,12.0,36.0,98.0
mc_17,584.0,3.0,543.0,15.0,988.0,816.0,600.0,151.0,17.0,400.0,6.0,4.0,13.0,54.0,25.0,57.0
mc_18,540.0,12.0,465.0,15.0,936.0,229.0,832.0,177.0,18.0,2.0,22.0,51.0,47.0,20.0,27.0,36.0
mc_19,482.0,3.0,313.0,15.0,317.0,249.0,550.0,419.0,12.0,26.0,7.0,8.0,3.0,3.0,24.0,27.0
mc_20,188.0,4.0,426.0,18.0,486.0,182.0,507.0,227.0,13.0,7.0,7.0,5.0,14.0,4.0,23.0,45.0
mc_21,587.0,7.0,765.0,47.0,774.0,484.0,633.0,250.0,21.0,14.0,12.0,5.0,10.0,11.0,38.0,123.0
mc_22,645.0,7.0,769.0,25.0,612.0,63.0,602.0,249.0,13.0,16.0,14.0,10.0,12.0,25.0,19.0,278.0
mc_23,350.0,10.0,419.0,31.0,605.0,98.0,517.0,401.0,16.0,250.0,8.0,127.0,10.0,50.0,9.0,292.0
mc_24,468.0,12.0,10.0,17.0,435.0,62.0,578.0,197.0,21.0,68.0,10.0,24.0,7.0,20.0,32.0,198.0
