assay_ID,calib,block,date,plate_ID,stock_number,External_Treatment,genotype,Selective_marker,stock,coculture_strain,coculture_ID,Media,LB_perc,GlcMedia,Mut_to_WT_ratio,glucose,N0_ul,N0_CFU,N0,N0_coculture,N0_gen_to_co_ratio,LUM_gross1,LUM_gross2,LUM_gross3,LUM_background1,LUM_background2,LUM_background3,Nt1_CFU,Nt2_CFU,Nt3_CFU,Nt1,Nt2,Nt3,environment,CI_range_coculture_strain,CI_range_genotype,fluctuation_volume_t0,culture_volume_final,coculture,culture_volume_initial,D_coculture_strain,D_genotype,D_total,generation_time,generations,generations_coculture_strain,genotype2,incubation_mins,LUM,LUM_background,LUM_CV,LUM_per_cell,LUM_SD,LUM1,LUM2,LUM3,m_coculture_strain,m_genotype,m_lower_genotype,m_upper_genotype,m_lower_coculture_strain,m_upper_coculture_strain,mut_fitness_genotype,mutation_rate_coculture_strain,mutation_rate_genotype,mutation_rate_genotype_lower,mutation_rate_genotype_upper,Mutations_per_generation,N_cultures,Nt_genotype,Nt_coculture_strain,Nt_CV,Nt_dilution,Nt_N0_ratio,Nt_SD,Nt_total,sd_m_coculture_strain,sd_m_genotype,Sel_CFU1,Sel_CFU10,Sel_CFU11,Sel_CFU12,Sel_CFU13,Sel_CFU14,Sel_CFU15,Sel_CFU16,Sel_CFU17,Sel_CFU18,Sel_CFU2,Sel_CFU3,Sel_CFU4,Sel_CFU5,Sel_CFU6,Sel_CFU7,Sel_CFU8,Sel_CFU9,strain,Treatment,Weight0,Weight24,Abs_670_res,Abs_670_res1,Abs_670_res2,Abs_670_res3,Abs_670_res4,Layout,Layout_num,Oxygen,Notes,w_relative,GF_mutrate,GF_mutrate_low,GF_mutrate_up,GF_m,GF_m_low,GF_m_up,p0_mutrate,p0_mutrate_low,p0_mutrate_up,p0_m_genotype,p0_m_lower_genotype,p0_m_upper_genotype,Experimentor,N0_rep1,Difference_N0,N0_rep2,N0_rep3,N0_mean_of_3
RG1_180ancestor70322265.625,y,RG1,9/11/20,RG1_1,1,Control,ancestor,rif,ancestor1,none,ancestor,DM,,y,,80,10,91,9100,,,,,,,,,24,33,,5.921875e+7,81425781.25,,80,,44.014381114,1000,986.979166666667,n,1000,0,7.125e+7,71250000,113.81384684733,12.9158273858528,,ancestor_none,1470,,,,,,,,,,3.868707,2.321111,5.416302,,,2.19022993,,55.013969838,33.006772171,77.021153284,0.299532262581764,17,7.0322265625e+7,0e+0,,100000,7727.72149725275,,7.0322265625e+7,,0.454982683005179,7,6,8,5,4,4,4,6,11,,2,6,0,24,18,4,7,4,keio,ancestor_none+Controly,211.54,210.29,,,,,,RG1A,A,+,,,55.777994112,33.081680707,78.474307518,3.922434918,2.326378738,5.518491098,40.288994088,13.249985273,67.328002901,2.833213344,0.9317689839,4.734657704,RG,,,,,
RG1_1100ancestor225360243.055556,y,RG1,9/11/20,RG1_1,1,Control,ancestor,rif,ancestor1,none,ancestor,DM,,y,,100,10,101,10100,,,,,,,,,35,42,197,8.63606770833333e+7,103632812.5,486087239.583333,100,,17.482391511,1000,986.979166666667,n,1000,0,2.28333333333333e+8,228333333.333333,101.761159541868,14.4455901113743,,ancestor_none,1470,,,,,,,,,,4.053066,2.083148,6.022984,,,3.889323875,,17.984831508,9.2436357529,26.726027263,0.280574623033825,16,2.25360243055556e+8,0e+0,0.818674234843851,100000,22312.8953520352,1.84496624547731e+8,2.25360243055556e+8,,0.475913424249149,11,4,5,11,7,1,2,5,,,3,6,6,2,4,12,3,5,keio,ancestor_none+Controly,211.54,210.29,,,,,,RG1A,A,+,,,19.102361032,10.193593182,28.011128886,4.304912725,2.297230637,6.312594814,,,,,,,RG,,,,,
RG1_1250ancestor410418836.805556,y,RG1,9/11/20,RG1_1,1,Control,ancestor,rif,ancestor1,none,ancestor,DM,,y,,250,10,215,21500,,,,,,,,,191,150,158,4.71282552083333e+8,370117187.5,389856770.833333,250,,9.6673852274,1000,986.979166666667,n,1000,0,4.15833333333333e+8,415833333.333333,103.372091380635,14.2204726669134,,ancestor_none,1470,,,,,,,,,,6.253236,4.269397,8.237074,,,4.44098769,,15.236230502,10.40253667,20.069921898,0.439734750487537,16,4.10418836805556e+8,0e+0,0.106684021276202,100000,19089.2482235142,4.37851319179179e+7,4.10418836805556e+8,,0.545568284431691,5,9,10,5,7,6,10,11,,,11,18,6,8,11,7,4,1,keio,ancestor_none+Controly,211.54,210.29,,,,,,RG1A,A,+,,,14.253253158,8.6261956141,19.8803107,5.849803582,3.54035317,8.159253993,,,,,,,RG,,,,,
RG1_1500ancestor917890625,y,RG1,9/11/20,RG1_1,1,Control,ancestor,rif,ancestor1,none,ancestor,DM,,y,,500,10,90,9000,,,,,,,,,211,209,696,5.20631510416667e+8,515696614.583333,1717343750,500,,4.4795718444,1000,986.979166666667,n,1000,0,9.3e+8,930000000,88.3517650428266,16.6380377266651,,ancestor_none,1470,,,,,,,,,,3.46155,1.405672,5.517429,,,1.109490146,,3.7712009533,1.5314155758,6.0109874202,0.208050375703399,16,9.17890625e+8,0e+0,0.615871107666791,100000,101987.847222222,5.65302315935713e+8,9.17890625e+8,,0.452841624034119,26,7,5,42,1,4,2,26,,,36,2,30,11,7,8,5,3,keio,ancestor_none+Controly,211.54,210.29,,,,,,RG1A,A,+,,,4.0875384515,2.1649562594,6.0101206437,3.751913224,1.987193054,5.516633394,,,,,,,RG,,,,,
RG1_11000ancestor573270399.305556,y,RG1,9/11/20,RG1_1,1,Control,ancestor,rif,ancestor1,none,ancestor,DM,,y,,1000,10,85,8500,,,,,,,,,209,186,302,5.15696614583333e+8,458945312.5,745169270.833333,1000,,3.8749933761,1000,986.979166666667,n,1000,0,5.80833333333333e+8,580833333.333333,91.6379245511868,16.0413934208963,,ancestor_none,1470,,,,,,,,,,2.643303,1.532593,3.754012,,,1.316841029,,4.6109183436,2.6734207834,6.5484141594,0.164780136653011,16,5.73270399305555e+8,0e+0,0.215847924824421,100000,67443.5763888889,1.23739226053371e+8,5.73270399305555e+8,,0.415960782251093,7,4,27,6,0,5,0,1,,,3,18,19,10,5,2,3,10,keio,ancestor_none+Controly,211.54,210.29,,,,,,RG1A,A,+,,,4.0837870834,1.9658274095,6.2017467574,2.341114252,1.126950664,3.55527784,3.6273310893,1.3659299733,5.888732204,2.079441542,0.7830472212,3.375835862,RG,,,,,
RG2_180ancestor83943750,y,RG2,16/11/20,RG2_1,1,Control,ancestor,rif,ancestor1,none,ancestor,DM,,y,,80,10,74,7400,,,1080630,1158030,1671830,49664.1,47576.4,66721,46,33,42,9.57375e+7,68681250,87412500,80,,34.393507557,1000,832.5,n,1000,0,1.00833333333333e+8,100833333.333333,106.907326758363,13.4696100226578,,ancestor_none,1440,1248842.83333333,54653.833333,0.203388030844787,0.1238521818,253999.684706292,1030965.9,1110453.6,1605109,,3.46805,2.02449,4.91161,,,2.26958777,,41.313975132,24.117221354,58.510728911,0.257472190669681,16,8.394375e+7,0e+0,0.134789309341323,100000,11343.75,1.13147200860207e+7,8.394375e+7,,0.453109306875998,5,6,0,8,2,7,11,7,,,4,3,3,5,4,6,28,3,keio,ancestor_none+Controly,220.75,204.67,,,,,,RG2A,A,+,,,42.295139364,23.871809897,60.718468844,3.550412605,2.003889242,5.096935969,33.029126314,10.421999904,55.636252729,2.772588722,0.8748617544,4.67031569,RG,,,,,
RG2_1100ancestor144300000,y,RG2,16/11/20,RG2_1,1,Control,ancestor,rif,ancestor1,none,ancestor,DM,,y,,100,10,75,7500,,,1367560,1236870,1605790,44163.4,49131.6,40416.3,88,63,57,1.8315e+8,131118750,118631250,100,,28.986916147,1000,832.5,n,1000,0,1.73333333333333e+8,173333333.333333,101.181709770179,14.2318211786574,,ancestor_none,1440,1358836.23333333,44570.433333,0.114945684852442,0.0783943981,156192.361442813,1323396.6,1187738.4,1565373.7,,4.898866,2.80746,6.990272,,,3.686931729,,33.949175329,19.455717256,48.442633403,0.344219192927082,15,1.443e+8,0e+0,0.193625293900022,100000,19240,2.79401299097731e+7,1.443e+8,,0.521759734717229,3,6,7,7,9,18,3,,,,3,7,5,11,2,7,5,8,keio,ancestor_none+Controly,220.75,204.67,,,,,,RG2A,A,+,,,37.386101594,20.459310631,54.312892557,5.39481446,2.952278524,7.837350396,,,,,,,RG,,,,,
RG2_1250ancestor252525000,y,RG2,16/11/20,RG2_1,1,Control,ancestor,rif,ancestor1,none,ancestor,DM,,y,,250,10,59,5900,,,5443650,4759530,5485940,107833,100945,94781.3,138,107,119,2.872125e+8,222693750,247668750,250,,11.630789031,1000,832.5,n,1000,0,3.03333333333333e+8,303333333.333333,93.5955202170073,15.385351741849,,ancestor_none,1440,5128520.23333333,101186.43333,0.0649430165661326,0.1690720956,333061.574473113,5335817,4658585,5391158.7,,2.845611,1.377079,4.314144,,,1.729791233,,11.268630829,5.4532382932,17.084027324,0.184955862416832,15,2.52525e+8,0e+0,0.105187855599322,100000,42800.8474576271,2.65625632352188e+7,2.52525e+8,,0.439699276926433,10,2,5,4,4,11,34,,,,1,2,8,2,8,6,2,1,keio,ancestor_none+Controly,220.75,204.67,,,,,,RG2A,A,+,,,12.626242321,6.497831779,18.754652862,3.188441842,1.64086497,4.736018714,,,,,,,RG,,,,,
RG2_1500ancestor337162500,y,RG2,16/11/20,RG2_1,1,Control,ancestor,rif,ancestor1,none,ancestor,DM,,y,,500,10,87,8700,,,10700000,12700000,13900000,473850,383062,497359,210,118,158,4.370625e+8,245587500,328837500,500,,9.8094479665,1000,832.5,n,1000,0,4.05e+8,405000000,94.4753619079023,15.2420691587692,,ancestor_none,1440,11981909.6666667,451423.66667,0.110020703652818,0.2958496214,1318258.13263117,10226150,12316938,13402641,,3.558616,1.904927,5.212305,,,1.736141856,,10.554602009,5.6498780262,15.459325993,0.233473287841147,16,3.371625e+8,0e+0,0.232501183404536,100000,38754.3103448276,7.83906802496317e+7,3.371625e+8,,0.456803741511001,5,39,13,5,3,7,3,12,,,8,2,5,2,1,9,14,4,keio,ancestor_none+Controly,220.75,204.67,,,,,,RG2A,A,+,,,11.491341754,6.3094940867,16.673189418,3.874449514,2.1273248,5.621574227,,,,,,,RG,,,,,
RG2_11000ancestor310106250,y,RG2,16/11/20,RG2_1,1,Control,ancestor,rif,ancestor1,none,ancestor,DM,,y,,1000,10,89,8900,,,31200000,25600000,26900000,1209430,597331,581606,172,135,140,3.57975e+8,280968750,291375000,1000,,8.6074047202,1000,832.5,n,1000,0,3.725e+8,372500000,95.436303936001,15.0885977412291,,ancestor_none,1440,27103877.6666667,796122.33333,0.0778741502258099,0.727620877,2110691.44111597,29990570,25002669,26318394,,2.565626,1.231021,3.900231,,,2.515050493,,8.2733772699,3.9696749098,12.57707963,0.17003740466813,16,3.1010625e+8,0e+0,0.110007076985631,100000,34843.3988764045,3.41138821174753e+7,3.1010625e+8,,0.412070952957566,6,7,3,1,6,1,2,1,,,1,8,1,7,1,12,3,6,keio,ancestor_none+Controly,220.75,204.67,,,,,,RG2A,A,+,,,8.7895238745,4.4785848689,13.10046288,2.725686288,1.388837159,4.062535417,,,,,,,RG,,,,,
RG3_1100nudJ1243750000,y,RG3,30/11/20,RG3_1,1,Control,nudJ1,rif,nudJ11,none,nudJ1,DM,,y,,100,10,55,5500,,,1664940,1200860,1056540,41878,36204.8,37772.4,52,192,76,1.18828125e+8,438750000,173671875,100,,23.809427692,1000,914.0625,n,1000,0,2.66666666666667e+8,266666666.666667,93.2907672417209,15.4356110746618,,nudJ1_none,1440,1268828.26666667,38618.4,0.202915165450234,0.04758106,257464.497658601,1623062,1164655.2,1018767.6,,6.131221,3.229447,9.032995,,,3.233478294,,25.153727179,13.249013333,37.058441026,0.397212716123994,16,2.4375e+8,0e+0,0.573094669317382,100000,44318.1818181818,1.39691825646112e+8,2.4375e+8,,0.542192359288494,7,8,8,8,8,8,12,6,11,8,5,30,7,9,8,3,,,keio,nudJ1_none+Controly,221.1,212.85,,,,,,RG3A,A,+,,,30.560043971,18.475364496,42.644723446,7.449010718,4.503370096,10.39465134,,,,,,,RG,,,,,
RG3_1100nudJ2153105468.75,y,RG3,30/11/20,RG3_1,1,Control,nudJ2,rif,nudJ21,none,nudJ2,DM,,y,,100,10,56,5600,,,1415890,1404000,923992,43301.8,40872,46099.8,71,89,41,1.6224609375e+8,203378906.25,93691406.25,100,,35.278785559,1000,914.0625,n,1000,0,1.675e+8,167500000,97.7017066942253,14.7387394624204,,nudJ2_none,1440,1204536.13333333,43424.533333,0.191778744556081,0.071912605,231004.427423103,1372588.2,1363128,877892.2,,6.103793,3.403106,8.804481,,,3.172932287,,39.86659033,22.227200816,57.505986376,0.414132634311296,16,1.5310546875e+8,0e+0,0.295507311540647,100000,27340.2622767857,4.5243785452483e+7,1.5310546875e+8,,0.541427154469391,4,6,8,8,4,10,5,6,3,10,12,17,10,20,13,6,,,keio,nudJ2_none+Controly,221.1,212.85,,,,,,RG3A,A,+,,,42.668912589,25.205844876,60.131980302,6.532843863,3.859152695,9.206535031,,,,,,,RG,,,,,
RG3_1100nudJ1_MG304687500,n,RG3,30/11/20,RG3_1,1,Control,nudJ1,rif,nudJ11,MG1655,nudJ1_MG,DM,,y,,100,10,55,2750,,,1592110,1857730,1317890,54817.9,44958.8,55127.5,121,104,88,2.7650390625e+8,237656250,201093750,100,2.960621,16.131229622,1000,914.0625,y,500,72500000,2.60833333333333e+8,333333333.333333,87.7850631042027,16.403701826707,14.5830986869843,nudJ1_MG1655,1440,1537608.6,51634.733333,0.146032106639939,0.046128258,224540.223045687,1537292.1,1812771.2,1262762.5,3.040774,4.864109,2.941122,6.787097,1.560463,4.521084,5.780253177,45.88494807,20.401604063,12.335991349,28.467220972,0.296525080215778,17,2.3841796875e+8,6.626953125e+7,0.129146216814107,100000,86697.4431818182,3.07907786845665e+7,3.046875e+8,0.4217466418,0.489009917495292,7,10,1,3,5,3,5,9,5,6,6,4,5,6,8,3,14,,keio,nudJ1_MG1655+Controly,221.1,212.85,,,,,,RG3A,A,+,,1.1248433669,21.27322364,12.119032979,30.427414297,5.071918769,2.889395226,7.254442311,,,,,,,RG,,,,,
