1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1.2698241971302497e-8,1.0758225952586087e-8,1.0361347762735054e-8,1.0254288452524872e-8,9.153758500964962e-9,1.1880989725601662e-8,7.17149812552375e-9,8.8012587830483e-9,8.601687701359567e-9,8.639337358533633e-9,1.0187520526687096e-8,1.1351011542869703e-8,1.2951698141977294e-8,9.594686048750133e-9,1.1036838370061969e-8,9.898016918668744e-9,1.140911016188873e-8,8.92573193422271e-9,1.3115338776469492e-8,1.3227986088248703e-8,9.59816738583435e-9,1.2302004243088011e-8,9.659747280643878e-9,1.057468270403113e-8,8.939728382413734e-9,7.349308919208661e-9,1.1436213818893167e-8,1.1480855429648174e-8,8.236008257928128e-9,8.731755475578437e-9,8.662961438460415e-9,9.788503479289455e-9,1.2363793981155374e-8,1.0647739863394022e-8,1.0599283150070614e-8,7.480484891190539e-9,1.094007581382154e-8,7.689036059340728e-9,1.2518630622139245e-8,1.4065485439527874e-8,1.1062289768216402e-8,9.230179148827682e-9,8.440430575535508e-9,1.007300851060067e-8,1.1080038764735454e-8,1.055674620141272e-8,9.990582013350052e-9,9.069435841892496e-9,1.1048107994175956e-8,1.2426842488476936e-8,8.642887172395827e-9,1.2075993585629402e-8,1.0549269946482667e-8,1.179273702220781e-8,9.607919842889882e-9,1.1768656815556768e-8,9.412187946707909e-9,9.377081522151033e-9,7.20907366331881e-9,1.1935274405782828e-8,1.2164807633474563e-8,1.2199223540316074e-8,1.0609697392964892e-8,1.064430919867426e-8,9.85455592442989e-9,1.0191945557831309e-8,6.425837537175426e-9,8.572416885936606e-9,1.1891485885322616e-8,1.0780612541476558e-8,1.1022275253637782e-8,1.0826661375877838e-8,9.319041204346722e-9,1.0137643052946684e-8,1.1567950411316744e-8,1.0854297524359115e-8,1.1767736075317642e-8,1.161919651529885e-8,1.0262777615559118e-8,1.0520880771787732e-8,7.1942682614826045e-9,1.4321545940217328e-8,1.0502592592623556e-8,8.647714693083868e-9,7.555410311450392e-9,6.918418863601503e-9,8.832308245079416e-9,1.2981281557597444e-8,1.309947342685959e-8,1.1315261085494967e-8,9.410969116782963e-9,9.844033550661153e-9,9.616047694344988e-9,7.977245408933413e-9,9.005292541508243e-9,9.870611567954445e-9,8.827470252847e-9,1.0942398260279996e-8,1.0296863492824508e-8,1.2270634970904986e-8
9.232773529981072e-9,7.626349594069817e-9,7.326969532458045e-9,7.314282136119815e-9,6.240422477374651e-9,8.571103338870679e-9,4.807000755606514e-9,0.0,0.0,5.94340460806947e-9,7.2089663521191386e-9,8.13596473434154e-9,9.43518815220272e-9,6.780622929568899e-9,7.932712511980242e-9,6.919203444592485e-9,8.116633047903159e-9,6.158375678929996e-9,9.554037888617094e-9,9.609940132558668e-9,6.6448646680235045e-9,0.0,6.779760702019733e-9,7.4027089946038e-9,6.2057299328880065e-9,4.924288260184099e-9,8.169629044929229e-9,8.229624122598324e-9,5.648898284344996e-9,6.029534737839938e-9,0.0,6.901642645776264e-9,8.903134202297757e-9,7.524621243743526e-9,7.563617570978937e-9,5.085168989195964e-9,7.821221360459516e-9,5.213672215710926e-9,9.085650483001454e-9,1.0274767953153157e-8,7.860544891131369e-9,6.4526329232035415e-9,5.782862582510813e-9,6.969352755965783e-9,7.87378931667675e-9,7.510897328206808e-9,7.064560969989915e-9,6.329096173031333e-9,7.850395137520593e-9,9.054709265249958e-9,5.893512503935068e-9,8.690240770241816e-9,7.47375408231344e-9,8.472752641883344e-9,6.753586279446432e-9,8.484671319611366e-9,0.0,6.496155795632935e-9,4.83735950332239e-9,8.609009022435075e-9,8.728811597162841e-9,0.0,7.500321836304657e-9,7.591044941928064e-9,7.0064358200199934e-9,7.216583058415476e-9,0.0,5.909044154428144e-9,8.577670296270347e-9,7.585472215564963e-9,7.762706784665483e-9,7.666300110392049e-9,6.470267587767916e-9,7.103540396878312e-9,8.256815125159289e-9,7.701589225743368e-9,8.460925572870221e-9,8.372469436687873e-9,0.0,7.346486138839833e-9,4.740372164126809e-9,1.049272637867656e-8,7.447919613696214e-9,5.935600112452123e-9,5.065408791876378e-9,4.559309866982609e-9,0.0,9.530515743694945e-9,9.519904952410514e-9,8.080506397033272e-9,6.543933926379413e-9,6.996463895911862e-9,6.747526077638217e-9,5.408778940681101e-9,6.3109034947903165e-9,6.921485299521205e-9,6.1248033775736e-9,7.825778387973883e-9,7.1683951314752756e-9,8.926950116484256e-9
1.6855650546144338e-8,1.4579870045287252e-8,1.4058053361695216e-8,1.3830422813309443e-8,1.2779129141618828e-8,1.586641619924448e-8,1.0169858665543612e-8,0.0,0.0,1.2002425867040617e-8,1.3833298721954262e-8,1.524966220874265e-8,1.7159329284230777e-8,1.3064148262182085e-8,1.4802160705386146e-8,1.3568126907514594e-8,1.5405076355199768e-8,1.2358469551208622e-8,1.7372360428773783e-8,1.757090393422339e-8,1.326464733076064e-8,0.0,1.318691259571399e-8,1.447125081371273e-8,1.2320428805229515e-8,1.042554052386579e-8,1.5398348674426236e-8,1.5408628997670008e-8,1.1475406128389853e-8,1.208250845114869e-8,0.0,1.3322697060004399e-8,1.6535839431087206e-8,1.4475619030625035e-8,1.4291629187317509e-8,1.05008197905214e-8,1.4735028605331214e-8,1.0798558119764843e-8,1.6629414084712853e-8,1.8582505721025268e-8,1.4953859993342335e-8,1.2655064273916766e-8,1.1750044703211903e-8,1.390495523501898e-8,1.4976040202182894e-8,1.4255441093900742e-8,1.3559567512910976e-8,1.2455927175806121e-8,1.4939188898422124e-8,1.6475592536054585e-8,1.2089779171713768e-8,1.6145666994246298e-8,1.430380520439739e-8,1.5807455164435257e-8,1.3115201614208655e-8,1.573667988816586e-8,0.0,1.2950716743988608e-8,1.0213966037622727e-8,1.5947912038195128e-8,1.6320837427593976e-8,0.0,1.440062849737256e-8,1.4355161917915166e-8,1.3334815066423725e-8,1.3829308264416017e-8,0.0,1.1881327544536353e-8,1.5890483316216084e-8,1.4703802868524023e-8,1.4996768181268195e-8,1.4674483396346049e-8,1.2825761512186894e-8,1.3862062080182741e-8,1.5586564497557376e-8,1.4677880804184681e-8,1.5762683385588117e-8,1.554307363173255e-8,0.0,1.4413381422799361e-8,1.0332976074411095e-8,1.8881652677417063e-8,1.4225317672873438e-8,1.2017028243598204e-8,1.071031794332608e-8,9.936778796587278e-9,0.0,1.711149141767666e-8,1.7377668017469424e-8,1.5240066197435863e-8,1.2948999998295198e-8,1.3326831824351759e-8,1.3150454376611033e-8,1.1202431802536346e-8,1.2330421218126827e-8,1.3506872875111564e-8,1.2174348664587593e-8,1.4737248598159177e-8,1.4150558682697275e-8,1.6277755787905197e-8
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.1119186840417246e-8,9.755847024309676e-9,1.1729207191090451e-8,1.0533648142980669e-8,1.273481440095443e-8,1.1190257317793415e-8,1.0130626995628157e-8,1.019436096008559e-8,1.1464582753139012e-8,1.0365759651068001e-8,9.557021819640311e-9,7.450784228582716e-9,1.1454101742549329e-8,1.3428095208980985e-8,1.2550830364507058e-8,1.2598246740279125e-8,1.3358723187933667e-8,1.2362728272600609e-8,8.993448081200326e-9,1.0923830039708252e-8,1.227883179932169e-8,1.0075328170929445e-8,9.453627916097322e-9,9.595091387161803e-9,9.743135007045e-9,1.0494606513194177e-8,1.1656195373459645e-8,1.188354114893572e-8,1.2131850550173736e-8,1.415959103186623e-8,1.364961797140074e-8,9.785061980865433e-9,1.0266860953474492e-8,8.847872124420032e-9,1.106790870471668e-8,1.1612538332463492e-8,1.2380766518680127e-8,1.157708290332741e-8,1.2541079267058368e-8,1.0133667925066181e-8,1.2231299941852384e-8,1.2226920958332116e-8,1.4086397730365874e-8,9.972715207645776e-9,1.1859376619078313e-8,1.0864970414734736e-8,1.501356694236055e-8,1.5096447982892054e-8,1.1600142253136424e-8,1.215424252673274e-8,1.1609819064786885e-8,1.1801505267774403e-8,1.553114187246324e-8,1.1001384493780506e-8,1.307493032605603e-8,9.555315846829886e-9,1.1455451225145955e-8,9.467649406414064e-9,9.819678252269235e-9,1.1689704892628229e-8,1.3967178097310613e-8,1.1992263063582805e-8,1.1661179305674645e-8,1.2197692229926267e-8,1.2579143550006447e-8,9.583826150490053e-9,1.4102357254846299e-8,9.28768742739777e-9,9.130310927778544e-9,7.231883716136755e-9,1.3237525077676839e-8,1.0207185545727576e-8,1.1596104734182597e-8,1.4060486443257926e-8,1.3300138004806233e-8,1.2273888108714565e-8,1.1798031876199351e-8,1.4289130220683861e-8,7.786434031666661e-9,1.1596278139440234e-8,1.053458273781092e-8,1.3079569221873438e-8,1.2555787893370043e-8,1.216983111378793e-8,9.003867675928573e-9,1.082641686612427e-8,1.4442618900514945e-8,9.40580161736716e-9,9.531110906770136e-9,1.1983191336422887e-8,1.3226854336183194e-8,1.1393475136061413e-8,1.0494740695042037e-8,1.1537278556463859e-8,1.2627235757675868e-8,1.061277967400822e-8,9.285110574448686e-9,1.2270315624524432e-8,1.2811546575866111e-8,1.1830858459401773e-8
7.838796488464496e-9,6.5837246939943564e-9,8.207472483751137e-9,7.31824772577269e-9,9.03998466531602e-9,7.74858133026938e-9,7.0032088230385925e-9,0.0,0.0,7.204584119538858e-9,6.526831644346094e-9,4.899714250777177e-9,8.092581929230428e-9,9.556056096006667e-9,8.90705759888065e-9,8.882903493201573e-9,9.650731890239385e-9,8.764243714905778e-9,6.009603440272246e-9,7.56306813873744e-9,8.72292744502234e-9,0.0,6.4724685728721085e-9,6.515593206737811e-9,6.660207995761636e-9,7.205651268282125e-9,8.235798438100813e-9,8.41609511114066e-9,8.602473962840246e-9,1.0130555079802837e-8,0.0,6.669346768226031e-9,7.043326475973992e-9,5.884636820016008e-9,7.759543241676302e-9,8.222567943881619e-9,8.75468424302355e-9,8.102640071846568e-9,8.920396373674585e-9,6.933248120463334e-9,8.730615885343928e-9,8.696768362040667e-9,1.0147892841972256e-8,6.80868075635696e-9,8.418546176926116e-9,7.500372885969395e-9,1.0936941694701889e-8,1.1083424572003886e-8,8.082521287947346e-9,8.59487010429062e-9,8.203113512855916e-9,8.415547989297569e-9,1.1294820501340337e-8,7.742899994377812e-9,9.264070355454746e-9,6.521559129569366e-9,0.0,6.501321355202566e-9,6.696360330781393e-9,8.279241399110491e-9,1.0096737330814632e-8,0.0,8.295650381924305e-9,8.639336032897236e-9,8.93652896018208e-9,6.472064692173867e-9,0.0,6.339765503915005e-9,6.254385186647366e-9,4.658220174974032e-9,9.387337291037804e-9,7.093706560417741e-9,8.147955281416537e-9,1.0220714137739064e-8,9.585422567165941e-9,8.735045748532304e-9,8.267870452034553e-9,1.0317111484909358e-8,0.0,8.14459780436191e-9,7.378926216508346e-9,9.40148246631384e-9,8.854961718586133e-9,8.613830461673947e-9,6.08204580004679e-9,7.574181107187699e-9,0.0,6.413450375215046e-9,6.480343535716445e-9,8.426805822019498e-9,9.418929590184538e-9,8.053158523661737e-9,7.242113682407244e-9,8.147503768715029e-9,9.049718723139641e-9,7.353409076306808e-9,6.191618691057998e-9,8.83262293025615e-9,9.261242419556893e-9,8.266949155612626e-9
1.515639091506339e-8,1.3737108061573917e-8,1.6058296176363187e-8,1.4532762440874848e-8,1.7236919015258082e-8,1.546669404970257e-8,1.4024541538484797e-8,0.0,0.0,1.4273936831879823e-8,1.3351538540936546e-8,1.072552768776705e-8,1.5578341343313043e-8,1.8126519264693206e-8,1.699286777315472e-8,1.7144529261589547e-8,1.782625913356074e-8,1.6755826084274764e-8,1.2764164264021945e-8,1.50731461756324e-8,1.6608221598450628e-8,0.0,1.3196719583992099e-8,1.3451059715565286e-8,1.359525910007818e-8,1.4578508260334969e-8,1.5850943680911048e-8,1.6120261361606718e-8,1.6437338384405186e-8,1.903212380335883e-8,0.0,1.3696143472254127e-8,1.430340373361377e-8,1.2617960600705972e-8,1.5151097739559354e-8,1.5760664819067387e-8,1.682024478442855e-8,1.585314989639024e-8,1.6962304542644115e-8,1.41284263892203e-8,1.6486920792770212e-8,1.6539540942928337e-8,1.8833139328950905e-8,1.3933731918830732e-8,1.607059079131537e-8,1.5034022181662228e-8,1.990589159397628e-8,1.989523779169558e-8,1.5929425133166735e-8,1.649470304340064e-8,1.5789738028355404e-8,1.5941001146142397e-8,2.0613558158069953e-8,1.5001654524355025e-8,1.7702930108623205e-8,1.3355887866332251e-8,0.0,1.3177857742057307e-8,1.3736083502136568e-8,1.585939350447216e-8,1.8631907122584297e-8,0.0,1.5768833173711112e-8,1.656501929218224e-8,1.7029319426831865e-8,1.3514084528261524e-8,0.0,1.2980872558939872e-8,1.2739778006384402e-8,1.057524462033379e-8,1.7914213023313992e-8,1.407991496004733e-8,1.5834102692462627e-8,1.868841933743057e-8,1.7794764831067302e-8,1.6593335290807513e-8,1.612964570547694e-8,1.907547942509013e-8,0.0,1.5842559017487104e-8,1.4433824399102664e-8,1.752814488036878e-8,1.708681196016316e-8,1.6518120471496352e-8,1.2694609271995155e-8,1.4852311383940622e-8,0.0,1.3158756022362597e-8,1.337476803560415e-8,1.6376877639506016e-8,1.7867624879214357e-8,1.5486674914056504e-8,1.4527103911625497e-8,1.5700061501187196e-8,1.697050715067589e-8,1.4658658940192107e-8,1.320437719464525e-8,1.645175968218807e-8,1.7107972558853583e-8,1.619853915340779e-8
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
