mutation_rate_off,mutation_rate_on,division_rate_on,fraction_on,mutation_rate_p,fitness_mutants_p,mutation_rate_s,fitness_mutants_s,AIC
1.0972469314078387e-8,1.4725353015666468e-6,0.0,0.0,0.0,0.0,0.0,0.0,423.5458711158024
7.871444663664443e-9,1.2794779821874104e-6,0.0,0.0,0.0,0.0,0.0,0.0,375.9729427352085
1.1194688813412636e-8,1.7088596823432249e-6,0.0,0.0,0.0,0.0,0.0,0.0,439.8831186739556
1.0398772852378145e-8,1.035268312501507e-6,0.0,0.0,0.0,0.0,0.0,0.0,400.9027689019889
9.921859190106413e-9,1.3331678052318907e-6,0.0,0.0,0.0,0.0,0.0,0.0,438.64854241364765
9.470346908429931e-9,1.1334211562313983e-6,0.0,0.0,0.0,0.0,0.0,0.0,393.80283635992043
1.031064575690648e-8,1.50030626705053e-6,0.0,0.0,0.0,0.0,0.0,0.0,397.2453909298906
1.06601852461681e-8,1.019812770968041e-6,0.0,0.0,0.0,0.0,0.0,0.0,413.4637952296813
9.503796130295205e-9,1.4627888402290552e-6,0.0,0.0,0.0,0.0,0.0,0.0,421.09831324486663
1.0797337524186965e-8,7.519225691832604e-7,0.0,0.0,0.0,0.0,0.0,0.0,419.8647490739694
6.901734700132505e-9,1.162072443694031e-6,0.0,0.0,0.0,0.0,0.0,0.0,384.3213136608787
1.0201947011347914e-8,6.287043174160436e-7,0.0,0.0,0.0,0.0,0.0,0.0,381.47065075356846
1.2078690729785812e-8,1.200728670435442e-6,0.0,0.0,0.0,0.0,0.0,0.0,458.94927159226506
1.2197425516995734e-8,1.3916828291043198e-6,0.0,0.0,0.0,0.0,0.0,0.0,479.7403978386363
1.0747701022527584e-8,1.4330289325570087e-6,0.0,0.0,0.0,0.0,0.0,0.0,408.57171832663096
1.0537782209518225e-8,1.0315137446539366e-6,0.0,0.0,0.0,0.0,0.0,0.0,428.6059831709768
7.268491832481863e-9,1.192562476599383e-6,0.0,0.0,0.0,0.0,0.0,0.0,340.14810270563436
9.233571856294547e-9,8.417916084698231e-7,0.0,0.0,0.0,0.0,0.0,0.0,439.218568347957
1.0864413093027299e-8,1.6612013381260328e-6,0.0,0.0,0.0,0.0,0.0,0.0,472.30766261367023
9.096876056061697e-9,8.537399894789264e-7,0.0,0.0,0.0,0.0,0.0,0.0,390.39403954003797
1.051425429176517e-8,1.7471402855152867e-6,0.0,0.0,0.0,0.0,0.0,0.0,433.0651584593871
8.795500267825923e-9,7.885024417976026e-7,0.0,0.0,0.0,0.0,0.0,0.0,387.29863059304284
1.0446116064478322e-8,1.0941851211070529e-6,0.0,0.0,0.0,0.0,0.0,0.0,418.7207997976885
9.351050378650771e-9,7.463597688014324e-7,0.0,0.0,0.0,0.0,0.0,0.0,395.6253815585867
8.64309013648557e-9,1.277693690007426e-6,0.0,0.0,0.0,0.0,0.0,0.0,404.37919842900476
1.368471073346002e-8,1.2613425456817626e-6,0.0,0.0,0.0,0.0,0.0,0.0,476.72239374405046
9.795750780171896e-9,1.09084195495812e-6,0.0,0.0,0.0,0.0,0.0,0.0,426.2840153877944
9.069305512275122e-9,1.4001239086934304e-6,0.0,0.0,0.0,0.0,0.0,0.0,407.5140841465459
1.139739050821021e-8,7.995327378332689e-7,0.0,0.0,0.0,0.0,0.0,0.0,445.8483883604821
9.369203350077901e-9,1.13210342921606e-6,0.0,0.0,0.0,0.0,0.0,0.0,374.5579044096546
1.0877617313647685e-8,1.267375026612699e-6,0.0,0.0,0.0,0.0,0.0,0.0,453.1754710507664
1.1151852639165064e-8,1.3155502657822178e-6,0.0,0.0,0.0,0.0,0.0,0.0,464.1761246845607
1.0357463342208825e-8,1.1247736324006517e-6,0.0,0.0,0.0,0.0,0.0,0.0,484.4069780270984
1.1367885020748545e-8,1.093081146800809e-6,0.0,0.0,0.0,0.0,0.0,0.0,427.3903039290691
1.324240849577096e-8,1.031424613646841e-6,0.0,0.0,0.0,0.0,0.0,0.0,490.7420149636382
1.1176110504997174e-8,1.1463838080986184e-6,0.0,0.0,0.0,0.0,0.0,0.0,432.8489567731474
8.52497630032694e-9,1.0301697377721545e-6,0.0,0.0,0.0,0.0,0.0,0.0,387.29551573481945
8.931707307716526e-9,1.0015337267209087e-6,0.0,0.0,0.0,0.0,0.0,0.0,375.7687291015733
1.0735427818599717e-8,9.592969434697269e-7,0.0,0.0,0.0,0.0,0.0,0.0,420.25099449136343
1.1233824456237022e-8,1.8819558694486817e-6,0.0,0.0,0.0,0.0,0.0,0.0,424.48519463706407
8.001109724865124e-9,1.279815495287426e-6,0.0,0.0,0.0,0.0,0.0,0.0,412.0206370585524
1.185651033353992e-8,1.6823849341989252e-6,0.0,0.0,0.0,0.0,0.0,0.0,435.60694969647443
1.1134582402179223e-8,7.183321470972044e-7,0.0,0.0,0.0,0.0,0.0,0.0,433.0645710689084
1.2112106966891326e-8,7.474641388630091e-7,0.0,0.0,0.0,0.0,0.0,0.0,408.52186182226603
1.0356233874388153e-8,8.447898992226962e-7,0.0,0.0,0.0,0.0,0.0,0.0,412.8799387009866
1.1762254071726468e-8,7.27999442891075e-7,0.0,0.0,0.0,0.0,0.0,0.0,465.1050873222939
7.72654566312095e-9,1.2464727583973515e-6,0.0,0.0,0.0,0.0,0.0,0.0,404.5598336070768
9.67413866254148e-9,1.585047435791478e-6,0.0,0.0,0.0,0.0,0.0,0.0,460.19280215358646
8.836445725391983e-9,1.7057035896865874e-6,0.0,0.0,0.0,0.0,0.0,0.0,426.84692662317565
9.373411102231187e-9,1.290286786661061e-6,0.0,0.0,0.0,0.0,0.0,0.0,452.1668472391966
9.473073016919448e-9,8.507034228390739e-7,0.0,0.0,0.0,0.0,0.0,0.0,405.2957030288334
1.3678377198618613e-8,1.454417118655076e-6,0.0,0.0,0.0,0.0,0.0,0.0,487.3502843958325
8.727631622024298e-9,1.2655903793847928e-6,0.0,0.0,0.0,0.0,0.0,0.0,376.2044171914715
7.2020273873566595e-9,1.294129633780147e-6,0.0,0.0,0.0,0.0,0.0,0.0,398.05700968138467
1.1691373663165462e-8,7.165776619186481e-7,0.0,0.0,0.0,0.0,0.0,0.0,465.19789667461083
9.787996589874234e-9,1.6457900793237185e-6,0.0,0.0,0.0,0.0,0.0,0.0,454.5517343684438
1.3927611129075945e-8,9.491003025123266e-7,0.0,0.0,0.0,0.0,0.0,0.0,467.4249598101429
9.009570085959588e-9,8.330531089667412e-7,0.0,0.0,0.0,0.0,0.0,0.0,380.1320198120011
9.848379421817948e-9,2.329493547946208e-6,0.0,0.0,0.0,0.0,0.0,0.0,456.86979325341713
1.1368461426742744e-8,9.822361090798444e-7,0.0,0.0,0.0,0.0,0.0,0.0,453.4633747933573
1.0132022102747048e-8,1.0789610990810348e-6,0.0,0.0,0.0,0.0,0.0,0.0,438.8618777105821
8.96766193347779e-9,1.7022621627675033e-6,0.0,0.0,0.0,0.0,0.0,0.0,383.0527723734317
1.1996584126657629e-8,1.0948374585322975e-6,0.0,0.0,0.0,0.0,0.0,0.0,422.9115236224888
9.047156361611355e-9,1.9880000610529383e-6,0.0,0.0,0.0,0.0,0.0,0.0,389.5270697976588
1.0199155778356033e-8,8.775825188433945e-7,0.0,0.0,0.0,0.0,0.0,0.0,430.45374092217105
1.0201070736380344e-8,1.953452530936524e-6,0.0,0.0,0.0,0.0,0.0,0.0,453.7393677062159
8.361608886761135e-9,2.0881338504965342e-6,0.0,0.0,0.0,0.0,0.0,0.0,421.4763474175895
9.336986916184332e-9,1.6089523096307489e-6,0.0,0.0,0.0,0.0,0.0,0.0,405.7596486268154
1.1105738256796427e-8,7.670042186664223e-7,0.0,0.0,0.0,0.0,0.0,0.0,442.1792203016587
1.367211980875385e-8,9.376724635915448e-7,0.0,0.0,0.0,0.0,0.0,0.0,464.90254394992485
1.0747135907703122e-8,1.404648626118715e-6,0.0,0.0,0.0,0.0,0.0,0.0,423.43232403107635
1.0546719606303634e-8,7.520391934069925e-7,0.0,0.0,0.0,0.0,0.0,0.0,402.18314879283093
9.391451061670485e-9,2.063487564556204e-6,0.0,0.0,0.0,0.0,0.0,0.0,405.0469431396263
1.0634084420295847e-8,1.0237059944392308e-6,0.0,0.0,0.0,0.0,0.0,0.0,424.4809253407656
8.741311110092603e-9,1.4262599055326297e-6,0.0,0.0,0.0,0.0,0.0,0.0,361.24648860029515
1.0209157651915378e-8,1.6694530836394875e-6,0.0,0.0,0.0,0.0,0.0,0.0,432.6094957428792
9.663105399030624e-9,9.65768026525013e-7,0.0,0.0,0.0,0.0,0.0,0.0,427.0095417740545
1.1255274282615336e-8,8.955302823801826e-7,0.0,0.0,0.0,0.0,0.0,0.0,399.72643808966325
1.0382601194533084e-8,1.1025984496717806e-6,0.0,0.0,0.0,0.0,0.0,0.0,414.86831944675464
9.846545913855432e-9,1.7421164185541657e-6,0.0,0.0,0.0,0.0,0.0,0.0,400.6271350545129
1.0878753036987068e-8,1.1427654325246876e-6,0.0,0.0,0.0,0.0,0.0,0.0,436.2049792647104
1.3743658536434235e-8,1.749648879498388e-6,0.0,0.0,0.0,0.0,0.0,0.0,510.62992117349893
1.0515510555189491e-8,1.220367727226229e-6,0.0,0.0,0.0,0.0,0.0,0.0,410.0802878054509
1.1718288216438681e-8,7.60304227100644e-7,0.0,0.0,0.0,0.0,0.0,0.0,424.24335222199414
9.604740506405821e-9,1.2333624009482264e-6,0.0,0.0,0.0,0.0,0.0,0.0,492.786433738519
1.1277920933546018e-8,1.6055599252733578e-6,0.0,0.0,0.0,0.0,0.0,0.0,466.85842043984843
8.892314838434208e-9,2.022223953339211e-6,0.0,0.0,0.0,0.0,0.0,0.0,428.4882351997319
1.3243604591971452e-8,1.3243324596286478e-6,0.0,0.0,0.0,0.0,0.0,0.0,464.82375988912247
1.1632503274897872e-8,2.130645172635535e-6,0.0,0.0,0.0,0.0,0.0,0.0,455.61850164273886
1.0279020125501299e-8,1.1150223192363782e-6,0.0,0.0,0.0,0.0,0.0,0.0,420.0958339878395
1.0477684540770935e-8,1.0824888999278258e-6,0.0,0.0,0.0,0.0,0.0,0.0,391.88952215278914
9.259565794269118e-9,1.7643400005648313e-6,0.0,0.0,0.0,0.0,0.0,0.0,393.3588710703719
1.0797202068006481e-8,6.963152778617498e-7,0.0,0.0,0.0,0.0,0.0,0.0,416.80165128564806
1.0375257077190845e-8,1.3409040653494385e-6,0.0,0.0,0.0,0.0,0.0,0.0,443.50310720261757
9.231549581226046e-9,1.2569924042687711e-6,0.0,0.0,0.0,0.0,0.0,0.0,390.38651072542586
9.911521693362677e-9,1.5133119541040967e-6,0.0,0.0,0.0,0.0,0.0,0.0,434.9321295778023
9.021567398499422e-9,1.5864813709408697e-6,0.0,0.0,0.0,0.0,0.0,0.0,407.60283451830617
1.2451428982924408e-8,7.567417389851454e-7,0.0,0.0,0.0,0.0,0.0,0.0,480.4689260444725
