mutation_rate_off,mutation_rate_on,division_rate_on,fraction_on,mutation_rate_p,fitness_mutants_p,mutation_rate_s,fitness_mutants_s,AIC
1.1358411217244757e-8,7.713068823687417e-7,0.0,0.0,0.0,0.0,0.0,0.0,419.98649367901714
1.1439292435345834e-8,1.0450728940629874e-6,0.0,0.0,0.0,0.0,0.0,0.0,409.57372350583773
1.0392219808345062e-8,1.279386429576063e-6,0.0,0.0,0.0,0.0,0.0,0.0,411.05897404081543
1.0614859826506979e-8,9.356772830180446e-7,0.0,0.0,0.0,0.0,0.0,0.0,363.31153985422384
8.18716250253607e-9,9.560424684760329e-7,0.0,0.0,0.0,0.0,0.0,0.0,347.8959770186374
8.594147781823637e-9,1.1039011003631117e-6,0.0,0.0,0.0,0.0,0.0,0.0,347.74299576372897
1.0603814274177903e-8,8.366764893709946e-7,0.0,0.0,0.0,0.0,0.0,0.0,387.0766329008866
9.8337576511816e-9,1.1886799211939952e-6,0.0,0.0,0.0,0.0,0.0,0.0,387.6183492907178
9.808016582330992e-9,8.370019215290857e-7,0.0,0.0,0.0,0.0,0.0,0.0,377.5636632067017
1.0055848681190415e-8,1.1359003555738118e-6,0.0,0.0,0.0,0.0,0.0,0.0,388.6203089790199
1.0579422563093673e-8,1.1020510219789112e-6,0.0,0.0,0.0,0.0,0.0,0.0,437.3136048823295
6.1868202489095584e-9,6.291839336468906e-7,0.0,0.0,0.0,0.0,0.0,0.0,293.4723609270982
7.170838050115473e-9,1.0849786855455933e-6,0.0,0.0,0.0,0.0,0.0,0.0,339.0382714101408
8.911304250360225e-9,1.2722729704270915e-6,0.0,0.0,0.0,0.0,0.0,0.0,386.386775108621
1.1361901815288762e-8,1.186751373868908e-6,0.0,0.0,0.0,0.0,0.0,0.0,444.1822822910732
1.0277788995490742e-8,1.1492558028084905e-6,0.0,0.0,0.0,0.0,0.0,0.0,403.66167093245593
9.110991937758673e-9,9.463400539785897e-7,0.0,0.0,0.0,0.0,0.0,0.0,347.8212774430991
1.1980263071599572e-8,8.999310893823486e-7,0.0,0.0,0.0,0.0,0.0,0.0,403.1138772079328
9.302892239149932e-9,1.05949354583239e-6,0.0,0.0,0.0,0.0,0.0,0.0,367.15508459512023
1.1974787501555453e-8,9.88529337077971e-7,0.0,0.0,0.0,0.0,0.0,0.0,398.06623077100033
8.006185558969044e-9,1.1775578700163518e-6,0.0,0.0,0.0,0.0,0.0,0.0,362.60099331433037
7.810768992867196e-9,1.0333233089787476e-6,0.0,0.0,0.0,0.0,0.0,0.0,326.6261404863971
7.895179866574887e-9,7.556673552430243e-7,0.0,0.0,0.0,0.0,0.0,0.0,339.1658885723476
1.05626333266114e-8,1.1826224338812925e-6,0.0,0.0,0.0,0.0,0.0,0.0,406.92124059264603
8.673863227894467e-9,1.3146185199003372e-6,0.0,0.0,0.0,0.0,0.0,0.0,368.35882315022917
1.0054801620608819e-8,1.0023369131157867e-6,0.0,0.0,0.0,0.0,0.0,0.0,371.93639301907785
7.89443829793693e-9,8.619489797987346e-7,0.0,0.0,0.0,0.0,0.0,0.0,368.001383812894
1.4447378587874715e-8,7.584523877540843e-7,0.0,0.0,0.0,0.0,0.0,0.0,424.7679657232417
5.8522028569934855e-9,1.2516763010072287e-6,0.0,0.0,0.0,0.0,0.0,0.0,335.49473189628577
1.0306252021786307e-8,8.955716582927128e-7,0.0,0.0,0.0,0.0,0.0,0.0,370.3427542047453
8.011454654650687e-9,9.190594059038571e-7,0.0,0.0,0.0,0.0,0.0,0.0,338.23793774049614
1.328050009876844e-8,8.541709671223039e-7,0.0,0.0,0.0,0.0,0.0,0.0,410.35337874709364
7.387285329305491e-9,1.1781402793867405e-6,0.0,0.0,0.0,0.0,0.0,0.0,357.78293508916806
6.922326171589565e-9,1.1379919409265428e-6,0.0,0.0,0.0,0.0,0.0,0.0,355.70363379314205
9.476338460499739e-9,8.957853064220705e-7,0.0,0.0,0.0,0.0,0.0,0.0,366.53796062499725
1.2294345438616528e-8,1.0846561222709955e-6,0.0,0.0,0.0,0.0,0.0,0.0,414.13045462876903
9.637011299156351e-9,9.242091744813147e-7,0.0,0.0,0.0,0.0,0.0,0.0,360.21050012618616
6.548612741534808e-9,9.988932647290324e-7,0.0,0.0,0.0,0.0,0.0,0.0,337.0395935077429
9.643390039735848e-9,8.47856510732805e-7,0.0,0.0,0.0,0.0,0.0,0.0,358.60955632541885
8.898611318855039e-9,1.110110070141874e-6,0.0,0.0,0.0,0.0,0.0,0.0,370.57221988715753
1.1341100581464225e-8,7.406209483144433e-7,0.0,0.0,0.0,0.0,0.0,0.0,372.81161095460607
1.0967644302468477e-8,1.3224127819553919e-6,0.0,0.0,0.0,0.0,0.0,0.0,452.0184885536005
7.274255069158212e-9,1.112464985795704e-6,0.0,0.0,0.0,0.0,0.0,0.0,326.0722001590965
9.079200073333359e-9,1.3294656833426804e-6,0.0,0.0,0.0,0.0,0.0,0.0,389.3972965686693
1.0080849337851108e-8,1.1021182587573495e-6,0.0,0.0,0.0,0.0,0.0,0.0,394.27586607503645
8.164863800871036e-9,1.2552956387944666e-6,0.0,0.0,0.0,0.0,0.0,0.0,334.2026150278
9.051258986667626e-9,1.083471482098239e-6,0.0,0.0,0.0,0.0,0.0,0.0,370.10608210133927
1.093899257083706e-8,1.0599141863907077e-6,0.0,0.0,0.0,0.0,0.0,0.0,402.0887351378363
7.162628630904302e-9,1.3097830623464173e-6,0.0,0.0,0.0,0.0,0.0,0.0,377.66062882331744
