mutation_rate_off,mutation_rate_on,division_rate_on,fraction_on,mutation_rate_p,fitness_mutants_p,mutation_rate_s,fitness_mutants_s,AIC
6.7189519938777626e-9,1.2328209127441376e-7,0.0,0.0,0.0,0.0,0.0,0.0,402.74712000608326
9.054548713853865e-9,7.429332165543477e-8,0.0,0.0,0.0,0.0,0.0,0.0,447.13588155489435
1.0089087519313422e-8,7.612651468348698e-8,0.0,0.0,0.0,0.0,0.0,0.0,476.29806148198657
8.667183864058481e-9,4.307658148509852e-8,0.0,0.0,0.0,0.0,0.0,0.0,414.1563831036831
1.1045951540996766e-8,1.5596349999214514e-14,0.0,0.0,0.0,0.0,0.0,0.0,494.07399469131144
9.964434921618447e-9,3.1355000965123043e-8,0.0,0.0,0.0,0.0,0.0,0.0,498.56611055213267
1.0061383070983366e-8,2.1795825589351466e-16,0.0,0.0,0.0,0.0,0.0,0.0,483.5804234701116
8.807439377790459e-9,5.500406166128787e-8,0.0,0.0,0.0,0.0,0.0,0.0,449.075491112752
1.185989190133733e-8,2.1494316668190542e-8,0.0,0.0,0.0,0.0,0.0,0.0,508.56890050264553
8.316734683608692e-9,6.919207774641494e-8,0.0,0.0,0.0,0.0,0.0,0.0,429.00146911758793
1.0770134186838904e-8,2.481769717747934e-15,0.0,0.0,0.0,0.0,0.0,0.0,474.06277917325355
1.0745451782170878e-8,1.025656451214501e-16,0.0,0.0,0.0,0.0,0.0,0.0,506.7743510396093
1.2621619422006045e-8,7.581735908442547e-18,0.0,0.0,0.0,0.0,0.0,0.0,517.3057783216377
9.658456714414317e-9,4.4163580342784304e-8,0.0,0.0,0.0,0.0,0.0,0.0,513.6874106398827
9.751641768888647e-9,6.618640750198652e-8,0.0,0.0,0.0,0.0,0.0,0.0,516.7765145473768
9.142962765731635e-9,1.753572017958464e-7,0.0,0.0,0.0,0.0,0.0,0.0,453.63777793692043
8.549566688245945e-9,4.3215197388240675e-8,0.0,0.0,0.0,0.0,0.0,0.0,438.4350336628661
7.958991884086848e-9,1.3431769748176119e-8,0.0,0.0,0.0,0.0,0.0,0.0,415.9886790351344
1.0037488012540995e-8,7.227385575848352e-8,0.0,0.0,0.0,0.0,0.0,0.0,479.020066720626
1.0598965948842522e-8,1.4224049163293147e-15,0.0,0.0,0.0,0.0,0.0,0.0,486.1668673816091
1.004550717298872e-8,4.0111504490808544e-15,0.0,0.0,0.0,0.0,0.0,0.0,464.08386195175683
1.0172257526904191e-8,7.193902452472805e-17,0.0,0.0,0.0,0.0,0.0,0.0,463.3041446960249
1.0523816585278809e-8,2.8830367653031164e-17,0.0,0.0,0.0,0.0,0.0,0.0,485.24830076976207
9.333143375145267e-9,7.432001052786652e-8,0.0,0.0,0.0,0.0,0.0,0.0,494.25056766949456
9.693263027877895e-9,5.588782622182661e-16,0.0,0.0,0.0,0.0,0.0,0.0,445.81392609202715
7.98497223540522e-9,6.721157042786819e-16,0.0,0.0,0.0,0.0,0.0,0.0,428.9452659681358
8.387614444356882e-9,9.074982811572758e-8,0.0,0.0,0.0,0.0,0.0,0.0,471.64559641105683
1.190632082223027e-8,1.9417175787862194e-8,0.0,0.0,0.0,0.0,0.0,0.0,516.406148698682
9.268649395425538e-9,7.471274548634962e-8,0.0,0.0,0.0,0.0,0.0,0.0,473.4137872914878
1.0305417233033707e-8,7.18042714705781e-8,0.0,0.0,0.0,0.0,0.0,0.0,472.4170882359215
8.70739930011184e-9,5.754315700226681e-8,0.0,0.0,0.0,0.0,0.0,0.0,457.2777055790099
9.509294511000561e-9,1.8182405992275735e-8,0.0,0.0,0.0,0.0,0.0,0.0,474.4622985342865
8.324189791478193e-9,8.85006963474138e-8,0.0,0.0,0.0,0.0,0.0,0.0,434.3926386123494
8.834203885818836e-9,1.2516466791817035e-7,0.0,0.0,0.0,0.0,0.0,0.0,447.1958122263684
1.1140041822008676e-8,6.651934304060492e-8,0.0,0.0,0.0,0.0,0.0,0.0,508.3108485475518
9.912178908393846e-9,3.477234113094071e-8,0.0,0.0,0.0,0.0,0.0,0.0,505.941795641969
1.0693481141476055e-8,1.930739994738061e-8,0.0,0.0,0.0,0.0,0.0,0.0,492.9234432937985
1.0636524415071115e-8,8.55294263965471e-8,0.0,0.0,0.0,0.0,0.0,0.0,528.9176139219409
