mutation_rate_off,mutation_rate_on,division_rate_on,fraction_on,mutation_rate_p,fitness_mutants_p,mutation_rate_s,fitness_mutants_s,AIC
8.276273002723893e-9,9.46902275578372e-7,0.0,0.0,0.0,0.0,0.0,0.0,453.51020397245406
9.033694172482896e-9,8.826485558434041e-7,0.0,0.0,0.0,0.0,0.0,0.0,436.26355632851755
1.0643642445555675e-8,7.797719037223481e-7,0.0,0.0,0.0,0.0,0.0,0.0,447.794808972927
1.0218530633681811e-8,1.0830877412695688e-6,0.0,0.0,0.0,0.0,0.0,0.0,485.9042934942581
6.7564307759584275e-9,1.352686084784478e-6,0.0,0.0,0.0,0.0,0.0,0.0,439.6058556999192
8.129410463687168e-9,8.237099131891335e-7,0.0,0.0,0.0,0.0,0.0,0.0,422.29686429239655
9.501145509411483e-9,1.4069784768207608e-6,0.0,0.0,0.0,0.0,0.0,0.0,487.0540294611795
1.0413381622367379e-8,1.0183502766796685e-6,0.0,0.0,0.0,0.0,0.0,0.0,438.0145807999355
1.0784053214781222e-8,8.877090478872097e-7,0.0,0.0,0.0,0.0,0.0,0.0,440.0691334792631
8.454896856380575e-9,9.852127359939725e-7,0.0,0.0,0.0,0.0,0.0,0.0,451.34724420209193
1.007709278318347e-8,7.963590301480634e-7,0.0,0.0,0.0,0.0,0.0,0.0,432.23137103759666
1.001010491634862e-8,6.608559481469257e-7,0.0,0.0,0.0,0.0,0.0,0.0,400.2250282998369
1.0113000084357036e-8,1.2512138763706103e-6,0.0,0.0,0.0,0.0,0.0,0.0,465.6666588799055
8.407897581237248e-9,9.901420954523744e-7,0.0,0.0,0.0,0.0,0.0,0.0,423.2908914220525
1.2181892511605094e-8,1.097543448659939e-6,0.0,0.0,0.0,0.0,0.0,0.0,481.5904049723329
8.819978372769982e-9,7.748569913442677e-7,0.0,0.0,0.0,0.0,0.0,0.0,421.7318481397103
8.24127311283977e-9,1.1421304572336844e-6,0.0,0.0,0.0,0.0,0.0,0.0,484.8222281714438
9.867245167845172e-9,1.1049192134151066e-6,0.0,0.0,0.0,0.0,0.0,0.0,459.2419687754422
9.217915285702371e-9,1.1124917761702722e-6,0.0,0.0,0.0,0.0,0.0,0.0,419.1113663188133
6.520640894238074e-9,1.017710300692861e-6,0.0,0.0,0.0,0.0,0.0,0.0,388.8514421379096
1.0387086471363762e-8,1.2436550815439585e-6,0.0,0.0,0.0,0.0,0.0,0.0,514.6309700291062
8.454158162449142e-9,8.6492837841426e-7,0.0,0.0,0.0,0.0,0.0,0.0,446.30595226165485
1.4466950231672562e-8,7.649224791681334e-7,0.0,0.0,0.0,0.0,0.0,0.0,458.8618121968199
9.521792439199873e-9,9.266791498276478e-7,0.0,0.0,0.0,0.0,0.0,0.0,411.43528343631476
7.615029998463099e-9,8.707367480676664e-7,0.0,0.0,0.0,0.0,0.0,0.0,421.97382566781266
8.52239706421325e-9,7.695891888998198e-7,0.0,0.0,0.0,0.0,0.0,0.0,399.5062104845857
6.306699202830462e-9,8.029410255070604e-7,0.0,0.0,0.0,0.0,0.0,0.0,398.37713732015294
9.434984434670911e-9,1.054606742388124e-6,0.0,0.0,0.0,0.0,0.0,0.0,455.54040774226144
8.73435058373015e-9,7.186061301905211e-7,0.0,0.0,0.0,0.0,0.0,0.0,425.63355966816596
1.1473747367154075e-8,8.679112327250316e-7,0.0,0.0,0.0,0.0,0.0,0.0,449.6507634614549
1.0030078400570622e-8,9.990479998774415e-7,0.0,0.0,0.0,0.0,0.0,0.0,444.3345253747848
1.0155191736001465e-8,8.26402944670599e-7,0.0,0.0,0.0,0.0,0.0,0.0,432.1579244637968
9.068876475796907e-9,1.1113238811594183e-6,0.0,0.0,0.0,0.0,0.0,0.0,452.537840206866
1.1141885016996943e-8,9.577560724751538e-7,0.0,0.0,0.0,0.0,0.0,0.0,496.31151436090767
1.0141321257250984e-8,8.710661521460411e-7,0.0,0.0,0.0,0.0,0.0,0.0,424.88666973030723
9.577441653633122e-9,1.0174580396263478e-6,0.0,0.0,0.0,0.0,0.0,0.0,479.72644193499633
1.1340967065787087e-8,9.62204866892506e-7,0.0,0.0,0.0,0.0,0.0,0.0,445.3549300956521
1.2901111356849377e-8,1.0626431682052366e-6,0.0,0.0,0.0,0.0,0.0,0.0,512.1331288809445
9.686500287059961e-9,1.1725471281330954e-6,0.0,0.0,0.0,0.0,0.0,0.0,467.06674929982336
1.1148426076289267e-8,1.0081911950678133e-6,0.0,0.0,0.0,0.0,0.0,0.0,446.9773825863349
7.71187154743417e-9,9.354067702627328e-7,0.0,0.0,0.0,0.0,0.0,0.0,420.04824224305236
1.1541340811060803e-8,6.904770439157748e-7,0.0,0.0,0.0,0.0,0.0,0.0,452.8135286456006
8.295977661200281e-9,1.0128433021701675e-6,0.0,0.0,0.0,0.0,0.0,0.0,439.67152151646553
1.0096944146398418e-8,8.15395398248545e-7,0.0,0.0,0.0,0.0,0.0,0.0,423.7081897669983
1.1632473173453837e-8,1.051189870446455e-6,0.0,0.0,0.0,0.0,0.0,0.0,497.3964626511316
9.282931126765317e-9,1.0302239506058115e-6,0.0,0.0,0.0,0.0,0.0,0.0,443.4278715418585
1.0436513560864906e-8,1.0234523720645342e-6,0.0,0.0,0.0,0.0,0.0,0.0,469.17007449367213
8.57178412740914e-9,1.1541364127202694e-6,0.0,0.0,0.0,0.0,0.0,0.0,459.25877957999876
1.0597071746567549e-8,6.92729759896973e-7,0.0,0.0,0.0,0.0,0.0,0.0,412.67618118803273
9.984484704491482e-9,8.428744277669809e-7,0.0,0.0,0.0,0.0,0.0,0.0,448.17482166007414
1.0702805858529375e-8,1.13069804271452e-6,0.0,0.0,0.0,0.0,0.0,0.0,516.6081698335416
8.405213463632859e-9,1.1492950346816059e-6,0.0,0.0,0.0,0.0,0.0,0.0,414.9048004341811
8.66242660476845e-9,7.261172793446192e-7,0.0,0.0,0.0,0.0,0.0,0.0,374.39912165618887
9.512813986362588e-9,6.664247761216689e-7,0.0,0.0,0.0,0.0,0.0,0.0,414.42443729926254
1.149231559420135e-8,9.405675545287693e-7,0.0,0.0,0.0,0.0,0.0,0.0,456.6230754863757
7.951123851287556e-9,8.949862679765867e-7,0.0,0.0,0.0,0.0,0.0,0.0,419.9594561407565
8.867928116765226e-9,9.187237103273829e-7,0.0,0.0,0.0,0.0,0.0,0.0,414.38362001523046
7.734590216055172e-9,1.0320889456134023e-6,0.0,0.0,0.0,0.0,0.0,0.0,428.6420029358035
1.1284086481368976e-8,8.68996122330818e-7,0.0,0.0,0.0,0.0,0.0,0.0,434.1659133882704
1.145937212521106e-8,1.0359386074097461e-6,0.0,0.0,0.0,0.0,0.0,0.0,471.5048327739381
8.268498768448251e-9,1.015405835748274e-6,0.0,0.0,0.0,0.0,0.0,0.0,420.7620301703066
8.413846917164659e-9,8.257348694735704e-7,0.0,0.0,0.0,0.0,0.0,0.0,427.53737505999584
1.1747356872307244e-8,8.23694853793548e-7,0.0,0.0,0.0,0.0,0.0,0.0,444.07322744463596
7.895220073970743e-9,8.540024916040936e-7,0.0,0.0,0.0,0.0,0.0,0.0,430.37862241833693
1.0162013496202528e-8,1.071711717410434e-6,0.0,0.0,0.0,0.0,0.0,0.0,455.71853759151986
7.847496966386919e-9,1.1841009608401331e-6,0.0,0.0,0.0,0.0,0.0,0.0,424.15108942725203
1.2600125343886402e-8,8.511490850266711e-7,0.0,0.0,0.0,0.0,0.0,0.0,472.39283804260754
1.2016222389309964e-8,8.375548017167628e-7,0.0,0.0,0.0,0.0,0.0,0.0,454.17546870925867
