mutation_rate_off,mutation_rate_on,division_rate_on,fraction_on,mutation_rate_p,fitness_mutants_p,mutation_rate_s,fitness_mutants_s,AIC
1.0063524891898134e-8,1.4379221882981459e-7,0.0,0.2278976698804967,0.0,0.0,0.0,0.0,406.0948469783246
1.0038639657934826e-8,2.3525727450204388e-7,0.0,0.16928421840895114,0.0,0.0,0.0,0.0,389.885337995277
7.243233594448276e-9,6.365004907309525e-8,0.0,0.4259751065479425,0.0,0.0,0.0,0.0,348.53626421425906
9.326742448810466e-9,2.6639555683469054e-7,0.0,0.1755622042171483,0.0,0.0,0.0,0.0,402.64780735530906
8.567258885514568e-9,2.2620779070786603e-7,0.0,0.21027315171525895,0.0,0.0,0.0,0.0,396.5673503487984
6.247805749057049e-9,2.9390653139944626e-7,0.0,0.192885564684135,0.0,0.0,0.0,0.0,353.02440805954836
1.2659493033134029e-8,2.1055354127846375e-7,0.0,0.23727699396641916,0.0,0.0,0.0,0.0,438.4606814369462
1.196714856327762e-8,1.492268556804613e-7,0.0,0.2547804194280774,0.0,0.0,0.0,0.0,451.8286460927487
1.29357231929737e-8,4.9883288239913714e-8,0.0,0.35236311435088663,0.0,0.0,0.0,0.0,447.7747972738414
1.0085550824958424e-8,9.675886052379332e-8,0.0,0.30864428097279106,0.0,0.0,0.0,0.0,404.85519980020007
1.0211616057212714e-8,3.544414609746318e-8,0.0,0.5944188328706372,0.0,0.0,0.0,0.0,424.26380169048036
8.508899247203101e-9,2.705774533498237e-7,0.0,0.15886945283898674,0.0,0.0,0.0,0.0,360.2235018740787
1.2556191332553696e-8,1.0475739331711691e-8,0.0,0.8339235495311688,0.0,0.0,0.0,0.0,390.1695223134253
8.533552284383217e-9,1.3987970622284238e-7,0.0,0.30818110413190475,0.0,0.0,0.0,0.0,381.42727434812
8.526269342428777e-9,2.918279779203266e-7,0.0,0.17310122229143166,0.0,0.0,0.0,0.0,372.792596776716
7.221680667491409e-9,1.0611359671473446e-7,0.0,0.314553156439346,0.0,0.0,0.0,0.0,373.2126816796307
8.74725880027291e-9,1.9545875157692497e-7,0.0,0.19681510249716952,0.0,0.0,0.0,0.0,356.4632821847557
1.0873441682747009e-8,1.1648089637646492e-7,0.0,0.24776154936631692,0.0,0.0,0.0,0.0,388.6063795236617
1.1572829002465535e-8,9.961976942204429e-8,0.0,0.29721063653019414,0.0,0.0,0.0,0.0,409.4272604727961
1.2085983407497603e-8,5.186140283631055e-8,0.0,0.4301870165859224,0.0,0.0,0.0,0.0,386.30873411910534
1.2961577408338243e-8,1.506088515171278e-8,0.0,0.6881867895404078,0.0,0.0,0.0,0.0,444.3476177400463
9.837610833324511e-9,4.840961022298362e-7,0.0,0.11985089667058679,0.0,0.0,0.0,0.0,437.9835188145506
7.788941205693261e-9,1.299215973114223e-7,0.0,0.26562551885532637,0.0,0.0,0.0,0.0,350.17391023337944
9.74506759879215e-9,1.9584450821089562e-7,0.0,0.1892335595514464,0.0,0.0,0.0,0.0,383.78242763649087
1.0691653781276973e-8,1.4512737593832707e-7,0.0,0.2382469645000292,0.0,0.0,0.0,0.0,426.14631454762036
1.2325601469494629e-8,1.1833448269213412e-7,0.0,0.34414985830472766,0.0,0.0,0.0,0.0,446.90006958389483
9.350622524270398e-9,1.8880804461836315e-7,0.0,0.2241078070193914,0.0,0.0,0.0,0.0,413.6392275970211
9.896001375415866e-9,1.9329733843676348e-7,0.0,0.24148192055832898,0.0,0.0,0.0,0.0,401.58332975618134
1.1670764651918742e-8,9.441463175254963e-8,0.0,0.38910795316851265,0.0,0.0,0.0,0.0,411.5299459408185
8.469423801969041e-9,1.4069170021109059e-7,0.0,0.2616366947931562,0.0,0.0,0.0,0.0,381.01188601180013
1.2175898545196487e-8,4.989687221231927e-7,0.0,0.12321614423971024,0.0,0.0,0.0,0.0,416.34596605031606
9.370436223929022e-9,1.577261178481479e-7,0.0,0.2270797201847088,0.0,0.0,0.0,0.0,378.63345491243786
8.602948534084741e-9,1.1422111709771002e-7,0.0,0.29414359409308566,0.0,0.0,0.0,0.0,366.7761166165982
9.03137020473967e-9,2.2287625949785256e-7,0.0,0.19865497910826962,0.0,0.0,0.0,0.0,399.91660315528236
1.2678702315317673e-8,4.9800382586588314e-8,0.0,0.4552193597022435,0.0,0.0,0.0,0.0,444.3097281732872
1.026499769179361e-8,1.2052421919586335e-7,0.0,0.31777719814405514,0.0,0.0,0.0,0.0,393.73318560248583
1.0021985081439818e-8,1.1396793771488729e-7,0.0,0.29928405541321795,0.0,0.0,0.0,0.0,415.91430563323763
1.2205998919153369e-8,4.532565718174188e-8,0.0,0.4056727001188364,0.0,0.0,0.0,0.0,419.534493648327
1.0771727342395385e-8,1.2729589388460014e-7,0.0,0.23846852314533706,0.0,0.0,0.0,0.0,390.4752756925378
9.159334750888555e-9,1.613591503803023e-7,0.0,0.29540681479548764,0.0,0.0,0.0,0.0,378.34957709220544
