mutation_rate_off,mutation_rate_on,division_rate_on,fraction_on,mutation_rate_p,fitness_mutants_p,mutation_rate_s,fitness_mutants_s,AIC
1.1805238640576874e-8,3.5714094522867446e-6,0.0,0.026121191798080166,0.0,0.0,0.0,0.0,471.32538754810236
1.2081937630896008e-8,3.2521452193449016e-6,0.0,0.031916302617320376,0.0,0.0,0.0,0.0,465.36232242889037
8.940998842132416e-9,1.055801197401436e-6,0.0,0.08063197578985838,0.0,0.0,0.0,0.0,394.6459515555876
1.2652282052113797e-8,1.1846309987701281e-6,0.0,0.05729810336802094,0.0,0.0,0.0,0.0,426.24428560488354
8.442406555118e-9,1.610609680130952e-6,0.0,0.03558569471401448,0.0,0.0,0.0,0.0,392.67809480649555
1.001899769369475e-8,2.3656140778172724e-6,0.0,0.02998544982728936,0.0,0.0,0.0,0.0,399.4063289909555
8.04404843708453e-9,5.832332264451167e-6,0.0,0.016800648013730584,0.0,0.0,0.0,0.0,377.25874543111155
8.980160211289721e-9,1.376213387216626e-6,0.0,0.04606038699498084,0.0,0.0,0.0,0.0,399.9076244448279
1.0395978386322984e-8,1.7693933999695648e-6,0.0,0.04442273729738865,0.0,0.0,0.0,0.0,429.60859542873334
9.699879808140763e-9,2.2364054139411145e-6,0.0,0.031549309605107975,0.0,0.0,0.0,0.0,391.381380292888
8.064907662516762e-9,1.7839075643895709e-6,0.0,0.041091503072952146,0.0,0.0,0.0,0.0,382.3580615070805
7.265875967893025e-9,2.637202182941583e-6,0.0,0.03152329958436674,0.0,0.0,0.0,0.0,373.6067290361865
1.2762377499998463e-8,1.95720186806409e-6,0.0,0.03601036567046561,0.0,0.0,0.0,0.0,473.36403774859275
1.0722861499577395e-8,2.9691919711356283e-6,0.0,0.026594185609336227,0.0,0.0,0.0,0.0,434.08571291122814
1.2419436048397033e-8,2.0009483571867354e-6,0.0,0.047461495997685135,0.0,0.0,0.0,0.0,434.4785491649376
9.432270388819574e-9,5.442514569324536e-6,0.0,0.02478705359802463,0.0,0.0,0.0,0.0,463.6474734011924
9.008904033538143e-9,1.4726077635312017e-6,0.0,0.05656031817359795,0.0,0.0,0.0,0.0,417.8556604995505
1.2997465315516413e-8,2.325225167174743e-6,0.0,0.02976342705899863,0.0,0.0,0.0,0.0,422.32393279207633
6.621609753765739e-9,3.2313822484911627e-6,0.0,0.028498713462095152,0.0,0.0,0.0,0.0,365.33404488754934
9.884707001767099e-9,2.0392030109869725e-6,0.0,0.04700781960188535,0.0,0.0,0.0,0.0,439.09996489094357
7.173209696075835e-9,1.6203519197038015e-6,0.0,0.05917471411654071,0.0,0.0,0.0,0.0,371.2831246868122
1.050140839322691e-8,2.211788510587696e-6,0.0,0.03431537043596771,0.0,0.0,0.0,0.0,429.41202506573984
1.2125112018357113e-8,1.080748452751326e-6,0.0,0.052679784320942905,0.0,0.0,0.0,0.0,411.44748582665363
8.12437575576898e-9,1.376341857359237e-6,0.0,0.05232575651452969,0.0,0.0,0.0,0.0,397.3893923410136
1.512316866940879e-8,1.9291614685723813e-6,0.0,0.04103001690842336,0.0,0.0,0.0,0.0,494.54454273339206
9.720242766374701e-9,3.3637070169151722e-6,0.0,0.024256645498859523,0.0,0.0,0.0,0.0,430.29064536505473
1.1388001219892697e-8,1.7823862392044363e-6,0.0,0.04567312798336117,0.0,0.0,0.0,0.0,406.84240146532466
1.1428215217543573e-8,2.0580791070497356e-6,0.0,0.04701391351032214,0.0,0.0,0.0,0.0,441.1178080561713
1.1507871683149001e-8,1.2101013453646921e-6,0.0,0.07114363227478246,0.0,0.0,0.0,0.0,419.56985964531896
8.234380342392078e-9,3.0355825616678867e-6,0.0,0.03473920660407667,0.0,0.0,0.0,0.0,380.6039656568338
1.456722069203964e-8,1.961392735278276e-6,0.0,0.028218487768339816,0.0,0.0,0.0,0.0,484.8930583991066
1.28320439357803e-8,7.498607267639703e-7,0.0,0.06496318702438768,0.0,0.0,0.0,0.0,398.52294260415806
1.0379158831059933e-8,1.848043147298562e-6,0.0,0.04907254661720087,0.0,0.0,0.0,0.0,441.65200792122874
1.1506786444413939e-8,2.5521011439423823e-6,0.0,0.03939789439886694,0.0,0.0,0.0,0.0,491.981360343525
1.0770965061606465e-8,2.130980252102363e-6,0.0,0.05024872188817848,0.0,0.0,0.0,0.0,413.20419357360436
1.1258732952242967e-8,1.2332047508268066e-6,0.0,0.06540344549477606,0.0,0.0,0.0,0.0,442.24158392256595
1.2552553224412826e-8,3.0453744627184262e-6,0.0,0.018020459184622556,0.0,0.0,0.0,0.0,471.6784595400936
1.1165143569436388e-8,2.467042881192834e-6,0.0,0.028311761353557126,0.0,0.0,0.0,0.0,406.3109155630874
1.3174930028179282e-8,1.364249224240986e-6,0.0,0.06274954956071636,0.0,0.0,0.0,0.0,477.32634513135156
1.4331818919008712e-8,2.2988203295630265e-6,0.0,0.03956817845098828,0.0,0.0,0.0,0.0,451.5279171183589
1.2589153854262486e-8,1.3868048428847316e-6,0.0,0.045218060838237,0.0,0.0,0.0,0.0,398.8169460507787
9.286032139149866e-9,2.4369250686026404e-6,0.0,0.03391511178299233,0.0,0.0,0.0,0.0,404.1150727709795
1.192185991376048e-8,2.477854411822631e-6,0.0,0.028572861406665293,0.0,0.0,0.0,0.0,420.0432610055616
1.3929241869170153e-8,1.8864484379858164e-6,0.0,0.052027521548907635,0.0,0.0,0.0,0.0,448.4877147967467
1.0313274745220474e-8,1.1994292227000118e-6,0.0,0.05924535479724708,0.0,0.0,0.0,0.0,436.05403393805557
1.2038318693163593e-8,2.0524439323680872e-6,0.0,0.036633465814015505,0.0,0.0,0.0,0.0,453.3778014768558
9.448496185285334e-9,3.017493700919404e-6,0.0,0.023958322422279167,0.0,0.0,0.0,0.0,393.4999534099104
9.475464735064105e-9,2.4385694475783376e-6,0.0,0.026023297525547547,0.0,0.0,0.0,0.0,403.28396908046636
1.4457800279178857e-8,2.5452559522878225e-6,0.0,0.035860172458847615,0.0,0.0,0.0,0.0,431.5081861888875
7.554342569495119e-9,4.499728659841564e-6,0.0,0.02458623297979469,0.0,0.0,0.0,0.0,406.50571364714904
1.2076278850381045e-8,2.7519304166816744e-6,0.0,0.028659471843551807,0.0,0.0,0.0,0.0,442.18504691842793
1.1277847060894983e-8,3.1699820610386812e-6,0.0,0.018359709569126324,0.0,0.0,0.0,0.0,399.14103514154397
9.057987329154586e-9,6.217053406498881e-6,0.0,0.014857255120527157,0.0,0.0,0.0,0.0,371.07764748285894
