mutation_rate_off,mutation_rate_on,division_rate_on,fraction_on,mutation_rate_p,fitness_mutants_p,mutation_rate_s,fitness_mutants_s,AIC
9.929822999177301e-9,3.58918191338015e-6,0.08167066124813843,0.011224313066595448,0.0,0.0,0.0,0.0,407.7246031961498
1.0030725500960571e-8,1.4823314212297623e-6,0.005815062411163938,0.031254839253679056,0.0,0.0,0.0,0.0,391.89852536469107
7.161506979485196e-9,1.6285637611175363e-6,0.06913106191407223,0.026929712634710536,0.0,0.0,0.0,0.0,350.16946444777255
9.132705187389668e-9,2.4625050637478966e-6,0.08498492432489635,0.021712169619717125,0.0,0.0,0.0,0.0,404.2546634490306
7.684992891748812e-9,2.020532311758699e-6,0.38924094992994096,0.0259625921667754,0.0,0.0,0.0,0.0,391.2337696884789
6.0657906115177354e-9,1.3554754220533933e-6,0.20700470083644582,0.04233623212082842,0.0,0.0,0.0,0.0,352.1751777429805
1.2654117268690896e-8,1.6226018551581385e-6,0.00580566777015728,0.03866737777670344,0.0,0.0,0.0,0.0,440.4601146123799
1.1960164586944213e-8,1.6514783727981916e-6,0.005788379617494484,0.029900769150806215,0.0,0.0,0.0,0.0,453.88192643658215
1.2661703132885405e-8,2.094460546495916e-6,0.12884850921695357,0.012365393064564707,0.0,0.0,0.0,0.0,448.9859330225612
9.99050253558817e-9,8.485223474193252e-7,0.07359624893752843,0.04681591385092256,0.0,0.0,0.0,0.0,406.61875595754634
1.0211101004615466e-8,1.5885199250749426e-6,0.00577865478428662,0.031539606315667025,0.0,0.0,0.0,0.0,426.3347016248267
8.50663213947536e-9,1.6266947478405762e-6,0.005785865981485312,0.030323999199371808,0.0,0.0,0.0,0.0,362.24751535732037
1.2556394419539872e-8,1.8346834496317885e-6,0.005801202183151487,0.027739040707046064,0.0,0.0,0.0,0.0,392.2386303131633
8.13685357347769e-9,1.7015834725730003e-6,0.2274847524282019,0.03216085819793752,0.0,0.0,0.0,0.0,381.6436158690799
8.526501191699496e-9,2.2998675366848335e-6,0.0058128939751225395,0.02576735352892419,0.0,0.0,0.0,0.0,374.87971627306376
7.221317874534933e-9,1.7542289765317533e-6,0.005806149779062448,0.02690407466512234,0.0,0.0,0.0,0.0,375.31428249339103
8.742836511976803e-9,1.555851622715785e-6,0.005789282437883817,0.029748552083221712,0.0,0.0,0.0,0.0,358.496156934584
1.0871872036926608e-8,1.6500191428391808e-6,0.005831388732064006,0.022649537529439108,0.0,0.0,0.0,0.0,390.6797407540442
1.157060534859409e-8,2.2893483050645368e-6,0.005858922234630363,0.01800736435230975,0.0,0.0,0.0,0.0,411.4590419400126
1.208363286935579e-8,1.6502791735585092e-6,0.00582872387922783,0.023098459834815007,0.0,0.0,0.0,0.0,388.3573016002189
1.2960243593276835e-8,1.0675405939248913e-6,0.005786597425588821,0.03020004073121813,0.0,0.0,0.0,0.0,446.42426308692404
9.072980876819556e-9,1.0509257297127003e-6,0.39262684273964477,0.05302582172505333,0.0,0.0,0.0,0.0,437.54862387961566
7.373766042566009e-9,2.262571749352768e-6,0.24408134594956793,0.018769876989567856,0.0,0.0,0.0,0.0,349.93271559262297
9.702271364203643e-9,1.5794935863853497e-6,0.027622308694055374,0.0278437394213127,0.0,0.0,0.0,0.0,385.7607586641087
1.0668500486820974e-8,1.582127787314418e-6,0.023809413982137,0.02746963474256998,0.0,0.0,0.0,0.0,428.1158724297302
1.1577512827877788e-8,1.6057862269649204e-6,0.283555002692139,0.035814663209571634,0.0,0.0,0.0,0.0,448.00932056547924
9.277415520403122e-9,1.4488825054355661e-6,0.05844866582859025,0.035024150422906596,0.0,0.0,0.0,0.0,415.44507557683954
9.882830194043455e-9,2.0541454020514726e-6,0.011468758682214166,0.028873448196670107,0.0,0.0,0.0,0.0,403.5767666552445
1.1662010967666296e-8,1.7494325985378551e-6,0.005768847517519543,0.03319215997414696,0.0,0.0,0.0,0.0,413.6504559428641
8.465321463164044e-9,1.5570448007270767e-6,0.005782432165817042,0.030902148621825998,0.0,0.0,0.0,0.0,383.0359826845107
1.2147615694451334e-8,3.598400304247779e-6,0.02679355821601064,0.01872636650426513,0.0,0.0,0.0,0.0,418.2996321866764
9.299709375370668e-9,1.077093791685551e-6,0.07715070498235194,0.0391736202723334,0.0,0.0,0.0,0.0,380.2283013190069
8.189771583420077e-9,1.5495959438009814e-6,0.23295473864774044,0.027493999279542592,0.0,0.0,0.0,0.0,366.6011911494385
9.031362113771367e-9,1.415459779958924e-6,0.005743478780922519,0.037468580752909354,0.0,0.0,0.0,0.0,401.95344800551544
1.217551639071149e-8,1.8257445823257073e-6,0.18678567912777289,0.02244167394508455,0.0,0.0,0.0,0.0,445.91729867789775
1.0203235750329188e-8,1.963381390232025e-6,0.07475243409392116,0.026519844211506258,0.0,0.0,0.0,0.0,395.5660381150932
9.586358856885213e-9,1.58969831237751e-6,0.17923803904100968,0.029719810887457516,0.0,0.0,0.0,0.0,418.0124973609556
1.2205607548717159e-8,1.1006336067541097e-6,0.005803898937888198,0.027283487885702434,0.0,0.0,0.0,0.0,421.582053117986
1.0720612408532386e-8,1.8996343726705758e-6,0.06997467733523341,0.01949266572399828,0.0,0.0,0.0,0.0,392.12778902034177
9.152178772763866e-9,1.8477773204888132e-6,0.005791571344058289,0.035191550089957495,0.0,0.0,0.0,0.0,380.3544168988909
1.0267860095722713e-8,2.4418941178552348e-6,0.0821439775400456,0.018913610609910952,0.0,0.0,0.0,0.0,395.566935976281
9.171779887803897e-9,2.471590043054616e-6,0.08121881056673397,0.019139328748510282,0.0,0.0,0.0,0.0,395.87061019636803
6.766823261001291e-9,3.835036712230872e-6,0.04314317997287527,0.01565229905570969,0.0,0.0,0.0,0.0,343.4215405675361
1.1799247203612011e-8,1.8095341471709644e-6,0.16555086137333447,0.017263327445577882,0.0,0.0,0.0,0.0,422.9621854380675
9.52046453688116e-9,3.4731281020710287e-6,0.005845827709899885,0.020215311209096882,0.0,0.0,0.0,0.0,410.95912914143935
1.0315009911395285e-8,1.4270380594928541e-6,0.005794987137722872,0.028786030902765887,0.0,0.0,0.0,0.0,393.3055822993156
9.934749214433301e-9,1.254977589085408e-6,0.005728065501904758,0.04006631475074516,0.0,0.0,0.0,0.0,421.1196373321407
