mutation_rate_off,mutation_rate_on,division_rate_on,fraction_on,mutation_rate_p,fitness_mutants_p,mutation_rate_s,fitness_mutants_s,AIC
1.0054664068311469e-8,3.537958997618578e-7,1.0,0.5800838893895246,0.0,0.0,0.0,0.0,455.6458310444025
1.4049548589194879e-8,2.3861332934267596e-7,1.0,0.9811244677385005,0.0,0.0,0.0,0.0,513.8134222171245
7.254823334218119e-9,7.489127455592707e-7,1.0,0.40090294058961395,0.0,0.0,0.0,0.0,462.4608589218877
8.097306599002979e-9,9.798207713826757e-7,1.0,0.2529668955728594,0.0,0.0,0.0,0.0,452.0305491715553
1.156712966884404e-8,3.497554470408077e-6,1.0,0.06495774975007888,0.0,0.0,0.0,0.0,477.8945694226766
8.69095239952001e-9,1.6006558362352978e-6,1.0,0.15750197619792028,0.0,0.0,0.0,0.0,441.9197704629411
1.102763553997279e-8,2.400239787036973e-7,1.0,0.9794788049626564,0.0,0.0,0.0,0.0,499.8897890939694
7.546163952581985e-9,5.894951892413436e-6,1.0,0.0436319720598213,0.0,0.0,0.0,0.0,408.81249084502633
1.1696782736074952e-8,2.732996459468561e-7,1.0,0.9886868895324413,0.0,0.0,0.0,0.0,503.02276746717376
9.352751177893176e-9,2.470958512145403e-6,1.0,0.10594344340431101,0.0,0.0,0.0,0.0,456.9482204410275
9.133608159608084e-9,2.4596970614676653e-7,1.0,0.9648111736583789,0.0,0.0,0.0,0.0,439.84262914700287
8.066847725559199e-9,6.443920921927743e-6,1.0,0.043512225955605596,0.0,0.0,0.0,0.0,450.453996246384
9.193143531486616e-9,2.7619082845529602e-6,1.0,0.08570482884577936,0.0,0.0,0.0,0.0,437.10993177566866
6.949205025189383e-9,1.898746705284604e-6,1.0,0.15482895734515548,0.0,0.0,0.0,0.0,454.5492088779999
9.417976924395693e-9,3.09025056629627e-7,1.0,0.9802089538020655,0.0,0.0,0.0,0.0,491.9442760175329
1.0009651716821192e-8,6.610431223013258e-6,1.0,0.0377653760965743,0.0,0.0,0.0,0.0,457.97947050320676
1.1036125545971602e-8,3.791810423623906e-7,1.0,0.5591245244712284,0.0,0.0,0.0,0.0,452.3520366671231
1.0907360340363395e-8,3.839105096605609e-6,1.0,0.08006790282357205,0.0,0.0,0.0,0.0,497.1307381013039
1.1173668083716044e-8,1.1919658031587394e-6,1.0,0.20513295270172027,0.0,0.0,0.0,0.0,479.9149337577278
9.875149109492647e-9,3.4568984078610307e-6,1.0,0.07421283019966649,0.0,0.0,0.0,0.0,449.3023555270463
1.3020438312428677e-8,2.628031754558499e-7,1.0,0.9790911366834951,0.0,0.0,0.0,0.0,527.771800420901
8.613531842264899e-9,2.810969886075146e-7,1.0,0.9912764917120322,0.0,0.0,0.0,0.0,465.94521925213314
1.4082524558145546e-8,4.926105573942638e-6,1.0,0.049583721916074346,0.0,0.0,0.0,0.0,515.3581720614526
9.187143969899076e-9,2.0052559411377912e-7,1.0,0.9687504670911955,0.0,0.0,0.0,0.0,437.67785957023676
