mutation_rate_off,mutation_rate_on,division_rate_on,fraction_on,mutation_rate_p,fitness_mutants_p,mutation_rate_s,fitness_mutants_s,AIC
1.139040518752786e-8,1.3269023831891704e-6,0.0,0.0,0.0,0.0,0.0,0.0,520.083776594141
1.2523527485751733e-8,1.177488227751565e-6,0.0,0.0,0.0,0.0,0.0,0.0,473.36668092677314
1.4686857237449873e-8,7.225042300833482e-7,0.0,0.0,0.0,0.0,0.0,0.0,494.4194045698612
1.4143447869618483e-8,1.317649717598281e-6,0.0,0.0,0.0,0.0,0.0,0.0,453.55747261970134
1.1234696967302538e-8,1.1521196434632884e-6,0.0,0.0,0.0,0.0,0.0,0.0,462.13339116997815
1.0538727504994015e-8,8.542032859252004e-7,0.0,0.0,0.0,0.0,0.0,0.0,404.733794397249
1.3490119221033888e-8,1.3713469583660264e-6,0.0,0.0,0.0,0.0,0.0,0.0,471.26493351037175
1.1542782229251975e-8,1.2198276908589814e-6,0.0,0.0,0.0,0.0,0.0,0.0,476.9146542265271
8.828075444217855e-9,1.4275071122628403e-6,0.0,0.0,0.0,0.0,0.0,0.0,415.00808215087716
1.2467190973445183e-8,8.719367402768593e-7,0.0,0.0,0.0,0.0,0.0,0.0,454.4804443049012
1.2252521895971073e-8,1.0070364570752464e-6,0.0,0.0,0.0,0.0,0.0,0.0,468.9435410495269
1.0368263476314641e-8,9.267466738652237e-7,0.0,0.0,0.0,0.0,0.0,0.0,419.93961833918263
1.0654744774205138e-8,1.1391368552906964e-6,0.0,0.0,0.0,0.0,0.0,0.0,462.8663210410449
1.1579115329194557e-8,1.0437608625887211e-6,0.0,0.0,0.0,0.0,0.0,0.0,422.3816327968101
9.341211206774414e-9,1.1286288445315861e-6,0.0,0.0,0.0,0.0,0.0,0.0,437.8167652545327
8.119062941997406e-9,1.3267563995899058e-6,0.0,0.0,0.0,0.0,0.0,0.0,445.8215544534241
1.2248805452933344e-8,9.621377106356248e-7,0.0,0.0,0.0,0.0,0.0,0.0,453.5557161490674
1.2809315576237952e-8,9.017022637810672e-7,0.0,0.0,0.0,0.0,0.0,0.0,446.4192323172084
8.9347945285745e-9,1.4010155877355155e-6,0.0,0.0,0.0,0.0,0.0,0.0,431.9768406102936
1.4588572021199276e-8,9.670116468235605e-7,0.0,0.0,0.0,0.0,0.0,0.0,541.8621522758986
7.56218839271427e-9,1.1067710999106102e-6,0.0,0.0,0.0,0.0,0.0,0.0,403.6180697977752
1.1467372420359817e-8,1.0199659257026195e-6,0.0,0.0,0.0,0.0,0.0,0.0,452.8755040254017
1.2237790262727362e-8,1.2149896092182276e-6,0.0,0.0,0.0,0.0,0.0,0.0,461.04746299467894
1.2334675013536232e-8,1.436290935116265e-6,0.0,0.0,0.0,0.0,0.0,0.0,506.644361611216
1.2952429583139581e-8,1.0195550018289334e-6,0.0,0.0,0.0,0.0,0.0,0.0,531.6507190053438
1.132624977791987e-8,1.117128925720603e-6,0.0,0.0,0.0,0.0,0.0,0.0,458.1257386942294
9.006985472717838e-9,1.335980774660695e-6,0.0,0.0,0.0,0.0,0.0,0.0,453.54167093165063
1.5049843021069798e-8,9.036523875903293e-7,0.0,0.0,0.0,0.0,0.0,0.0,491.2333588503305
1.1688798313728708e-8,1.0686063821145384e-6,0.0,0.0,0.0,0.0,0.0,0.0,471.619120015127
8.771690122389838e-9,8.601602589479894e-7,0.0,0.0,0.0,0.0,0.0,0.0,395.7492590567424
1.0880276935350135e-8,1.359405588716616e-6,0.0,0.0,0.0,0.0,0.0,0.0,436.4494339059699
1.2232164936928968e-8,1.425655168444185e-6,0.0,0.0,0.0,0.0,0.0,0.0,477.9769231282516
1.1468459398596165e-8,9.460736263983879e-7,0.0,0.0,0.0,0.0,0.0,0.0,457.354667912692
1.4797279345390356e-8,9.084163700331323e-7,0.0,0.0,0.0,0.0,0.0,0.0,494.3027310670998
1.0089812496223528e-8,1.1385795730563568e-6,0.0,0.0,0.0,0.0,0.0,0.0,428.0164948270203
1.0584463893050136e-8,1.3004198046646546e-6,0.0,0.0,0.0,0.0,0.0,0.0,451.0244694770779
1.0967596757206565e-8,7.376764473516375e-7,0.0,0.0,0.0,0.0,0.0,0.0,438.76134033746905
1.3012671669742317e-8,9.520337287996882e-7,0.0,0.0,0.0,0.0,0.0,0.0,444.87185075989464
1.0518689973269563e-8,1.0981843437157356e-6,0.0,0.0,0.0,0.0,0.0,0.0,448.0629741127551
1.1601329363650757e-8,1.1870794337481307e-6,0.0,0.0,0.0,0.0,0.0,0.0,467.7546981373472
