mutation_rate_off,mutation_rate_on,division_rate_on,fraction_on,mutation_rate_p,fitness_mutants_p,mutation_rate_s,fitness_mutants_s,AIC
0.0,0.0,0.0,0.0,8.783536801334936e-9,0.0,4.759063761732892e-8,0.0,394.62907308207866
0.0,0.0,0.0,0.0,1.2908349728506936e-8,0.0,4.387715306778213e-8,0.0,411.770759148258
0.0,0.0,0.0,0.0,7.702954175437932e-9,0.0,5.4770126177894674e-8,0.0,394.10497580806964
0.0,0.0,0.0,0.0,9.488887559326411e-9,0.0,4.4866875780087034e-8,0.0,394.94696536751894
0.0,0.0,0.0,0.0,8.907970673998975e-9,0.0,4.853328151997696e-8,0.0,386.0183110922688
0.0,0.0,0.0,0.0,1.0370726348749043e-8,0.0,5.658380762101213e-8,0.0,440.92509419916456
0.0,0.0,0.0,0.0,6.6563412690788875e-9,0.0,6.735564654528922e-8,0.0,393.6394127565993
0.0,0.0,0.0,0.0,1.1349676387341923e-8,0.0,4.638664082949215e-8,0.0,415.83861834346783
0.0,0.0,0.0,0.0,1.0135620952416499e-8,0.0,4.5817345016728034e-8,0.0,388.44503370869813
0.0,0.0,0.0,0.0,8.567951928913976e-9,0.0,3.9561420488521164e-8,0.0,368.5766175671049
0.0,0.0,0.0,0.0,1.1349885587770058e-8,0.0,4.5684189211842435e-8,0.0,389.83866877411293
0.0,0.0,0.0,0.0,9.22422261969863e-9,0.0,5.5675677629020975e-8,0.0,424.851640305445
0.0,0.0,0.0,0.0,9.241342311009651e-9,0.0,4.1293613558959985e-8,0.0,403.9465774131205
0.0,0.0,0.0,0.0,1.2816658778071087e-8,0.0,5.2225466769424535e-8,0.0,437.98132038675874
0.0,0.0,0.0,0.0,1.1506211844223417e-8,0.0,3.857609263122878e-8,0.0,393.7075131107701
0.0,0.0,0.0,0.0,8.40217976451822e-9,0.0,6.203864134491747e-8,0.0,416.52461602315043
0.0,0.0,0.0,0.0,1.1419623849376285e-8,0.0,4.908705067756998e-8,0.0,427.06270721013317
0.0,0.0,0.0,0.0,1.2059661278722707e-8,0.0,5.631965317137371e-8,0.0,447.66849933636195
0.0,0.0,0.0,0.0,6.860546382545647e-9,0.0,6.656614575178392e-8,0.0,384.83797733002837
0.0,0.0,0.0,0.0,1.1425559131777314e-8,0.0,5.299929327720453e-8,0.0,411.2083548823399
0.0,0.0,0.0,0.0,6.3251895548565085e-9,0.0,4.2889397083377495e-8,0.0,336.1511484256123
0.0,0.0,0.0,0.0,1.0413610254586972e-8,0.0,5.07109719733226e-8,0.0,410.9109400833773
0.0,0.0,0.0,0.0,8.546345750404582e-9,0.0,5.302671706226268e-8,0.0,382.8102660038946
0.0,0.0,0.0,0.0,1.1506052092352575e-8,0.0,5.506420009295678e-8,0.0,486.73264774979987
0.0,0.0,0.0,0.0,8.777215876923124e-9,0.0,4.453564703434306e-8,0.0,413.1497931058716
0.0,0.0,0.0,0.0,9.310151118073134e-9,0.0,5.2607267339651045e-8,0.0,413.6915528465054
0.0,0.0,0.0,0.0,1.022893287045503e-8,0.0,4.7731693312182084e-8,0.0,402.5998592924275
0.0,0.0,0.0,0.0,8.512616308842344e-9,0.0,4.843322820665673e-8,0.0,387.89124108111366
0.0,0.0,0.0,0.0,1.0437379021054625e-8,0.0,5.235784221778088e-8,0.0,436.81388340397496
0.0,0.0,0.0,0.0,7.976097635454823e-9,0.0,5.177229174579079e-8,0.0,409.1033568106792
0.0,0.0,0.0,0.0,9.19983017588381e-9,0.0,5.805030894463863e-8,0.0,409.8260945614237
0.0,0.0,0.0,0.0,9.953794137750508e-9,0.0,4.731370055480779e-8,0.0,411.8546210852062
0.0,0.0,0.0,0.0,9.096891011073292e-9,0.0,6.541802944653045e-8,0.0,398.4548072433301
0.0,0.0,0.0,0.0,1.0022963421689913e-8,0.0,4.538616609230041e-8,0.0,380.2411747148624
0.0,0.0,0.0,0.0,1.0552400312228399e-8,0.0,5.4961748672251006e-8,0.0,415.80950399819346
0.0,0.0,0.0,0.0,8.908184883452745e-9,0.0,6.894071696781235e-8,0.0,423.0813417925715
0.0,0.0,0.0,0.0,9.316924838812132e-9,0.0,5.6158953739008925e-8,0.0,403.22219346813284
0.0,0.0,0.0,0.0,8.423818705554306e-9,0.0,5.605865403705281e-8,0.0,402.3333743074753
0.0,0.0,0.0,0.0,1.0922102607603174e-8,0.0,4.2858987010176994e-8,0.0,407.53992242570723
0.0,0.0,0.0,0.0,8.278736374196933e-9,0.0,6.701252747488713e-8,0.0,430.2168934333172
0.0,0.0,0.0,0.0,1.0777642273242013e-8,0.0,4.931476323343696e-8,0.0,401.5330316743709
0.0,0.0,0.0,0.0,9.964216108045404e-9,0.0,5.437821636339828e-8,0.0,429.56644987480604
0.0,0.0,0.0,0.0,1.3194216390942677e-8,0.0,5.959026852777373e-8,0.0,460.7263075161087
0.0,0.0,0.0,0.0,9.21549851307514e-9,0.0,5.32359423394887e-8,0.0,418.4619192206137
0.0,0.0,0.0,0.0,1.1205144347438993e-8,0.0,4.697121957232148e-8,0.0,391.8982286675175
0.0,0.0,0.0,0.0,1.0297897467065276e-8,0.0,5.4409885463503247e-8,0.0,449.51405476348816
0.0,0.0,0.0,0.0,1.1262176531024154e-8,0.0,5.286119145032555e-8,0.0,404.558372065369
0.0,0.0,0.0,0.0,1.1088556578309425e-8,0.0,4.6720268547241667e-8,0.0,417.06646991710693
0.0,0.0,0.0,0.0,1.128249161186707e-8,0.0,4.719723464467768e-8,0.0,439.08964622534245
0.0,0.0,0.0,0.0,1.0551996916749373e-8,0.0,4.497954857656632e-8,0.0,406.9373042623548
0.0,0.0,0.0,0.0,8.310656448864582e-9,0.0,3.794928428997589e-8,0.0,367.61784120902655
0.0,0.0,0.0,0.0,9.678829466632322e-9,0.0,5.049222456587875e-8,0.0,399.4771277773102
0.0,0.0,0.0,0.0,1.0004567014213046e-8,0.0,5.537768967081944e-8,0.0,396.31687618639427
0.0,0.0,0.0,0.0,1.0087877847325115e-8,0.0,4.4676679333381505e-8,0.0,395.62541306238734
0.0,0.0,0.0,0.0,1.2730174557283943e-8,0.0,5.3601831866262344e-8,0.0,434.87015591773184
0.0,0.0,0.0,0.0,1.2035736374517545e-8,0.0,4.6754772499314875e-8,0.0,445.1623356506808
0.0,0.0,0.0,0.0,1.1792275435523054e-8,0.0,4.723542063129593e-8,0.0,425.44812113462126
0.0,0.0,0.0,0.0,9.920458103948205e-9,0.0,4.718509990535179e-8,0.0,423.3260314187771
0.0,0.0,0.0,0.0,7.842119667169913e-9,0.0,4.5291573741775285e-8,0.0,390.55182739241883
0.0,0.0,0.0,0.0,9.111401058487241e-9,0.0,4.747341023895207e-8,0.0,410.6720750521449
0.0,0.0,0.0,0.0,1.0762264454190067e-8,0.0,4.760713956603317e-8,0.0,393.1988770963814
0.0,0.0,0.0,0.0,1.1148451108229147e-8,0.0,5.451543101301938e-8,0.0,426.6086958795512
0.0,0.0,0.0,0.0,1.2484856833418601e-8,0.0,4.627902312190681e-8,0.0,432.55921942602833
0.0,0.0,0.0,0.0,1.1766804606181217e-8,0.0,6.647182791886609e-8,0.0,454.9630388541267
0.0,0.0,0.0,0.0,8.829792630449695e-9,0.0,5.180663468800611e-8,0.0,382.2765064664391
0.0,0.0,0.0,0.0,1.0186412657058282e-8,0.0,4.7938072713033703e-8,0.0,392.89106034609887
0.0,0.0,0.0,0.0,8.130285559043554e-9,0.0,5.4438772614301125e-8,0.0,385.4456444989189
0.0,0.0,0.0,0.0,1.032258170461095e-8,0.0,5.0900412332343434e-8,0.0,406.16159612505385
0.0,0.0,0.0,0.0,9.765848392545898e-9,0.0,6.896266665243279e-8,0.0,439.1183229534365
0.0,0.0,0.0,0.0,8.779968698748679e-9,0.0,5.306026019736776e-8,0.0,387.54559834905956
0.0,0.0,0.0,0.0,9.021249645974287e-9,0.0,4.9216478748586684e-8,0.0,414.40441549364573
0.0,0.0,0.0,0.0,7.412949002590032e-9,0.0,6.042284420776123e-8,0.0,417.3521760758978
0.0,0.0,0.0,0.0,1.1226912583232383e-8,0.0,5.2760003935125044e-8,0.0,417.73389518363024
0.0,0.0,0.0,0.0,8.456979878026641e-9,0.0,4.891593846094531e-8,0.0,379.7132735295234
0.0,0.0,0.0,0.0,9.37196331201368e-9,0.0,6.385022993289836e-8,0.0,420.43167178508895
0.0,0.0,0.0,0.0,9.082879576774073e-9,0.0,3.876480199749319e-8,0.0,371.5024490014325
