mutation_rate_off,mutation_rate_on,division_rate_on,fraction_on,mutation_rate_p,fitness_mutants_p,mutation_rate_s,fitness_mutants_s,AIC
9.601007249490216e-9,6.541481533182193e-8,0.43880611598553393,0.0,0.0,0.0,0.0,0.0,437.6203824468553
1.080093849613821e-8,6.54576906373832e-8,0.41146603399652487,0.0,0.0,0.0,0.0,0.0,467.68899731799524
8.641297749403948e-9,1.0291439951034525e-7,0.6110211237646022,0.0,0.0,0.0,0.0,0.0,433.41007188241974
1.0220649320729707e-8,1.0377778336508274e-7,0.42532096334551817,0.0,0.0,0.0,0.0,0.0,460.24828787883763
1.224251634594756e-8,1.44352412960939e-7,0.33554577636971833,0.0,0.0,0.0,0.0,0.0,492.3497346888273
6.874024174187546e-9,1.037579955272874e-7,0.4694108647032607,0.0,0.0,0.0,0.0,0.0,387.7738508567971
6.4269067024186905e-9,1.2766575167762707e-7,0.2531247861044859,0.0,0.0,0.0,0.0,0.0,375.17852504749396
8.634731646433747e-9,7.374089986802086e-8,3.6118415873609356e-6,0.0,0.0,0.0,0.0,0.0,440.6069946588283
1.0307883184223242e-8,1.8014481237995503e-7,0.4174202918743726,0.0,0.0,0.0,0.0,0.0,495.18078157331985
9.950543275529987e-9,7.94480889958306e-8,0.5335591819971004,0.0,0.0,0.0,0.0,0.0,449.647426688254
8.505547880517556e-9,1.1524168324480373e-7,0.14690323469119076,0.0,0.0,0.0,0.0,0.0,419.64889053984155
1.4456778802899146e-8,1.1286771351550311e-7,0.5212842219381671,0.0,0.0,0.0,0.0,0.0,537.5283663404991
1.1606621001912578e-8,4.810669069820556e-8,0.005287206549038537,0.0,0.0,0.0,0.0,0.0,436.73354566627404
9.219428247303692e-9,1.527954655026024e-7,0.18590120350210565,0.0,0.0,0.0,0.0,0.0,497.33306353833484
1.176268253753846e-8,9.968744350209666e-8,0.10635877000452681,0.0,0.0,0.0,0.0,0.0,500.794302162987
9.490852956870986e-9,1.0300490422403052e-7,0.5009839246392981,0.0,0.0,0.0,0.0,0.0,459.1393999860554
8.863984090888064e-9,1.3850175402507388e-7,0.2692873264811995,0.0,0.0,0.0,0.0,0.0,447.9535060257066
1.062535101662427e-8,8.661753304651319e-8,0.5222825455671309,0.0,0.0,0.0,0.0,0.0,458.1435677393208
9.897997439780857e-9,8.863831329919239e-8,0.4940490223120174,0.0,0.0,0.0,0.0,0.0,437.99428624554616
1.004529474278148e-8,1.4698061167097914e-7,0.6035847484903614,0.0,0.0,0.0,0.0,0.0,467.7361063828424
8.402811582221846e-9,1.171173936119793e-7,0.8959933736160557,0.0,0.0,0.0,0.0,0.0,466.9369169414498
6.987742912402281e-9,4.438270033196694e-8,0.6283453788088764,0.0,0.0,0.0,0.0,0.0,363.15282980110726
1.0950737629926062e-8,7.654175054343406e-8,0.399400438458774,0.0,0.0,0.0,0.0,0.0,466.07802851880024
9.702256927244478e-9,1.864090246183497e-7,0.6440583773960147,0.0,0.0,0.0,0.0,0.0,505.73155036885873
7.69841024646218e-9,1.3888408964593705e-7,0.5092451921335315,0.0,0.0,0.0,0.0,0.0,469.40087142013124
8.600077444421357e-9,1.0195406074884268e-7,0.271752236135312,0.0,0.0,0.0,0.0,0.0,422.98636439252755
1.1049916901209018e-8,4.6907559561603934e-8,1.6859240110976618e-9,0.0,0.0,0.0,0.0,0.0,456.42031175999216
9.759441599098942e-9,1.2679611008457938e-7,0.9698851894902205,0.0,0.0,0.0,0.0,0.0,487.0917130464955
1.075206199425093e-8,8.939926456280666e-8,0.06560829500073236,0.0,0.0,0.0,0.0,0.0,452.4760521825479
9.931984908581396e-9,1.5856475603782116e-7,0.3780736366145708,0.0,0.0,0.0,0.0,0.0,479.282062375749
1.0954808123893421e-8,1.065731416994281e-7,8.089879642438772e-7,0.0,0.0,0.0,0.0,0.0,468.42918174590943
1.2943413551489103e-8,9.197662694507927e-8,1.0358095031117593,0.0,0.0,0.0,0.0,0.0,506.049713788997
