mutation_rate_off,mutation_rate_on,division_rate_on,fraction_on,mutation_rate_p,fitness_mutants_p,mutation_rate_s,fitness_mutants_s,AIC
0.0,0.0,0.0,0.0,9.174213289853568e-9,1.0,2.9718755093392868e-8,1.0,432.3841280506324
0.0,0.0,0.0,0.0,1.0731361346379648e-8,1.0,3.383308093140858e-8,1.0,498.97582153912964
0.0,0.0,0.0,0.0,1.299826167802842e-8,1.0,2.583638298063766e-8,1.0,479.94282226008374
0.0,0.0,0.0,0.0,1.2216683969874355e-8,1.0,3.5698554645332265e-8,1.0,509.58821728027704
0.0,0.0,0.0,0.0,1.0543339889130168e-8,1.0,2.3456046364949952e-8,1.0,429.5817285670323
0.0,0.0,0.0,0.0,1.2367517220768705e-8,1.0,2.1300607368541356e-8,1.0,462.8511044153536
0.0,0.0,0.0,0.0,8.81456321406444e-9,1.0,3.028579552148176e-8,1.0,415.38171876222884
0.0,0.0,0.0,0.0,9.536934212437319e-9,1.0,3.380832831818686e-8,1.0,452.34412182901946
0.0,0.0,0.0,0.0,5.832592431520292e-9,1.0,2.930814458429803e-8,1.0,368.36611221565056
0.0,0.0,0.0,0.0,9.34204833147885e-9,1.0,2.8896488554267543e-8,1.0,418.8567734938182
0.0,0.0,0.0,0.0,7.117926354526049e-9,1.0,2.28267708841018e-8,1.0,401.53820982303967
0.0,0.0,0.0,0.0,8.368524172528911e-9,1.0,4.003810192615288e-8,1.0,476.12683470777915
0.0,0.0,0.0,0.0,7.735869776083617e-9,1.0,2.785352949278547e-8,1.0,415.6645244188993
0.0,0.0,0.0,0.0,1.1799207986971529e-8,1.0,3.487835463537794e-8,1.0,460.8678885227032
0.0,0.0,0.0,0.0,9.494378595094765e-9,1.0,3.6488271645222126e-8,1.0,463.6090761913624
0.0,0.0,0.0,0.0,1.0180538007845186e-8,1.0,1.9356518985187496e-8,1.0,426.7403382849162
0.0,0.0,0.0,0.0,1.1525706665037722e-8,1.0,3.095860229673861e-8,1.0,485.10211245126675
0.0,0.0,0.0,0.0,9.19495798416649e-9,1.0,2.898058746040104e-8,1.0,430.412920265315
0.0,0.0,0.0,0.0,9.840806898749568e-9,1.0,3.383355159439501e-8,1.0,451.2914227363474
0.0,0.0,0.0,0.0,1.0221384650918728e-8,1.0,2.8081694551913597e-8,1.0,457.8748198903967
0.0,0.0,0.0,0.0,1.3882505744372075e-8,1.0,3.681607854226706e-8,1.0,520.1423963528827
0.0,0.0,0.0,0.0,1.656151431742775e-8,1.0,2.883129524156438e-8,1.0,515.4162195692923
0.0,0.0,0.0,0.0,1.2095197054148988e-8,1.0,3.637041333359094e-8,1.0,510.6338738675357
0.0,0.0,0.0,0.0,1.3746983421776087e-8,1.0,3.507166321075196e-8,1.0,486.2233885011918
0.0,0.0,0.0,0.0,1.0134970704385043e-8,1.0,3.0380241002779934e-8,1.0,488.0829359124584
0.0,0.0,0.0,0.0,7.981400509819167e-9,1.0,3.576428354463219e-8,1.0,503.5049675386872
0.0,0.0,0.0,0.0,8.819474756140128e-9,1.0,3.556566936023018e-8,1.0,481.0081674097523
0.0,0.0,0.0,0.0,1.1202147478767115e-8,1.0,4.006324090093147e-8,1.0,504.6588381174651
0.0,0.0,0.0,0.0,9.411747972463999e-9,1.0,3.134144525249057e-8,1.0,477.30281555688566
0.0,0.0,0.0,0.0,9.802140439424716e-9,1.0,2.974779217736435e-8,1.0,433.36592664457123
0.0,0.0,0.0,0.0,9.981843474254744e-9,1.0,3.312259948514542e-8,1.0,435.4803451546127
0.0,0.0,0.0,0.0,8.564579458368045e-9,1.0,3.643994128710638e-8,1.0,441.8376436751031
0.0,0.0,0.0,0.0,8.095702066799425e-9,1.0,2.85861895376714e-8,1.0,417.7520366532989
0.0,0.0,0.0,0.0,9.495642211841684e-9,1.0,3.252878702243772e-8,1.0,445.9031537908464
0.0,0.0,0.0,0.0,9.67595587068711e-9,1.0,3.222187911577438e-8,1.0,454.171341150115
0.0,0.0,0.0,0.0,1.0312856951510916e-8,1.0,2.3695699572567587e-8,1.0,447.49507902558946
0.0,0.0,0.0,0.0,1.0101898511843813e-8,1.0,3.1330002165397706e-8,1.0,459.4518106692143
0.0,0.0,0.0,0.0,8.720003096581362e-9,1.0,3.667693727629911e-8,1.0,484.32502471806515
0.0,0.0,0.0,0.0,9.617433186416227e-9,1.0,3.707798424836764e-8,1.0,507.6080504462608
0.0,0.0,0.0,0.0,8.887309740325424e-9,1.0,2.8644151316235817e-8,1.0,415.38746706622226
0.0,0.0,0.0,0.0,1.3194581481281956e-8,1.0,2.49373208008178e-8,1.0,477.4086150571258
0.0,0.0,0.0,0.0,1.2377702852496508e-8,1.0,3.2464159850843735e-8,1.0,455.9397483122682
0.0,0.0,0.0,0.0,8.559050155432541e-9,1.0,3.997629805403853e-8,1.0,480.5006085578875
0.0,0.0,0.0,0.0,9.431360364243997e-9,1.0,2.7365461755520416e-8,1.0,421.3944583101825
0.0,0.0,0.0,0.0,7.421530556289961e-9,1.0,2.9504393325168914e-8,1.0,438.080500869199
0.0,0.0,0.0,0.0,6.698490152443255e-9,1.0,3.78814753610622e-8,1.0,443.9224313095225
0.0,0.0,0.0,0.0,6.882602731187636e-9,1.0,5.117109483043862e-8,1.0,504.84726910792415
0.0,0.0,0.0,0.0,9.409152892628137e-9,1.0,2.8643784040431902e-8,1.0,467.4781476305478
0.0,0.0,0.0,0.0,9.186891690493986e-9,1.0,2.5305740321302535e-8,1.0,396.9067163344074
0.0,0.0,0.0,0.0,1.0437198334647477e-8,1.0,3.1887119243053683e-8,1.0,480.37146687763425
0.0,0.0,0.0,0.0,9.15083983251063e-9,1.0,3.7813252492116014e-8,1.0,489.1320767154599
0.0,0.0,0.0,0.0,7.61498580820884e-9,1.0,4.098075468360046e-8,1.0,482.576212181016
0.0,0.0,0.0,0.0,1.0212603975708514e-8,1.0,3.918101163816395e-8,1.0,481.6488961303277
0.0,0.0,0.0,0.0,1.2298895806031232e-8,1.0,2.3823131121712834e-8,1.0,451.4426030065772
