mutation_rate_off,mutation_rate_on,division_rate_on,fraction_on,mutation_rate_p,fitness_mutants_p,mutation_rate_s,fitness_mutants_s,AIC
8.267232236683248e-9,1.0463993281819195e-6,0.9,0.0,0.0,0.0,0.0,0.0,430.5688902774277
1.0298616249618351e-8,5.236408669990847e-7,0.9,0.0,0.0,0.0,0.0,0.0,446.78068329383336
8.551269841200721e-9,8.48544716146802e-7,0.9,0.0,0.0,0.0,0.0,0.0,428.5667808427089
1.0155435918888645e-8,1.2212249316373368e-6,0.9,0.0,0.0,0.0,0.0,0.0,535.785604120359
1.3966570341635156e-8,1.0224266157596863e-6,0.9,0.0,0.0,0.0,0.0,0.0,503.68667465326416
9.61873673709852e-9,7.444314132185366e-7,0.9,0.0,0.0,0.0,0.0,0.0,452.17502688560023
1.0987968959037158e-8,1.1664782187412355e-6,0.9,0.0,0.0,0.0,0.0,0.0,514.077898659783
1.1336594485000096e-8,8.54882774237758e-7,0.9,0.0,0.0,0.0,0.0,0.0,470.42802746378015
8.870954612292552e-9,9.45064780676563e-7,0.9,0.0,0.0,0.0,0.0,0.0,479.9525215017301
1.0784903644096101e-8,8.800123542639991e-7,0.9,0.0,0.0,0.0,0.0,0.0,498.39090001857096
9.426673040638205e-9,7.809874271199083e-7,0.9,0.0,0.0,0.0,0.0,0.0,455.51547055664696
9.028313864013121e-9,8.219092293857602e-7,0.9,0.0,0.0,0.0,0.0,0.0,458.5765532412619
9.389532769636956e-9,8.712226654645847e-7,0.9,0.0,0.0,0.0,0.0,0.0,423.3796898383687
9.453072546616834e-9,7.601109072852556e-7,0.9,0.0,0.0,0.0,0.0,0.0,434.189575462168
1.0800118715057194e-8,8.166580676951201e-7,0.9,0.0,0.0,0.0,0.0,0.0,497.7011553089943
1.1303671924413145e-8,9.327496330662799e-7,0.9,0.0,0.0,0.0,0.0,0.0,493.5633925818133
9.18225038000362e-9,8.414778751001071e-7,0.9,0.0,0.0,0.0,0.0,0.0,424.81337156238794
1.0363104953160968e-8,8.410534419395934e-7,0.9,0.0,0.0,0.0,0.0,0.0,477.05406318816904
1.0590201342298647e-8,7.35966991008914e-7,0.9,0.0,0.0,0.0,0.0,0.0,446.3102754573782
1.0738272420966536e-8,8.425514831129681e-7,0.9,0.0,0.0,0.0,0.0,0.0,454.89515253039315
9.540059905947042e-9,7.001377875615478e-7,0.9,0.0,0.0,0.0,0.0,0.0,477.4939453096524
6.6479316028963885e-9,8.171708179770406e-7,0.9,0.0,0.0,0.0,0.0,0.0,382.4350072791053
1.1049267691507925e-8,1.0200033485402855e-6,0.9,0.0,0.0,0.0,0.0,0.0,494.6691330714759
1.2259724227578365e-8,7.75446205435152e-7,0.9,0.0,0.0,0.0,0.0,0.0,443.56341722838306
1.0222982277495474e-8,7.14302073422054e-7,0.9,0.0,0.0,0.0,0.0,0.0,438.5751334462923
9.080088400153425e-9,6.991505047311077e-7,0.9,0.0,0.0,0.0,0.0,0.0,446.946445915115
9.43014129781053e-9,9.870517255927549e-7,0.9,0.0,0.0,0.0,0.0,0.0,451.53398885370314
9.558793175903992e-9,9.062704271181716e-7,0.9,0.0,0.0,0.0,0.0,0.0,445.21936177054505
7.596338352301708e-9,7.534884508919553e-7,0.9,0.0,0.0,0.0,0.0,0.0,445.0327458783483
7.245344113362198e-9,7.645558718317855e-7,0.9,0.0,0.0,0.0,0.0,0.0,401.2451888207174
1.1954969918337665e-8,1.0206570993312394e-6,0.9,0.0,0.0,0.0,0.0,0.0,516.2508443801058
1.1399812554385346e-8,1.021598515833024e-6,0.9,0.0,0.0,0.0,0.0,0.0,475.5075399291677
1.4202847794675962e-8,9.103095960061367e-7,0.9,0.0,0.0,0.0,0.0,0.0,509.29723433924573
1.3450318650312793e-8,8.362929377643811e-7,0.9,0.0,0.0,0.0,0.0,0.0,500.29552755954956
8.748530994107948e-9,1.042031295099898e-6,0.9,0.0,0.0,0.0,0.0,0.0,473.62578657937695
8.128728340732654e-9,8.187299068077039e-7,0.9,0.0,0.0,0.0,0.0,0.0,441.26988076229037
9.619834677722085e-9,9.011410565544281e-7,0.9,0.0,0.0,0.0,0.0,0.0,449.607868447149
8.645569129052554e-9,9.62619275410378e-7,0.9,0.0,0.0,0.0,0.0,0.0,427.9969412106145
1.2381611096489903e-8,9.828880623101033e-7,0.9,0.0,0.0,0.0,0.0,0.0,466.7439068692064
1.041069324090258e-8,8.436549299008103e-7,0.9,0.0,0.0,0.0,0.0,0.0,449.2071636914551
9.287779600130242e-9,7.263748170608257e-7,0.9,0.0,0.0,0.0,0.0,0.0,416.84520305452634
9.763421855458741e-9,7.009964919190267e-7,0.9,0.0,0.0,0.0,0.0,0.0,400.37764350668624
1.1423739754078569e-8,7.357303648455344e-7,0.9,0.0,0.0,0.0,0.0,0.0,488.8132604617382
8.342644135642906e-9,6.17525579035497e-7,0.9,0.0,0.0,0.0,0.0,0.0,372.598497910913
