mutation_rate_off,mutation_rate_on,division_rate_on,fraction_on,mutation_rate_p,fitness_mutants_p,mutation_rate_s,fitness_mutants_s,AIC
9.992865287781208e-9,1.155651572763816e-6,0.0,0.0,0.0,0.0,0.0,0.0,414.5583619543063
1.1586253303623504e-8,1.0253767749151145e-6,0.0,0.0,0.0,0.0,0.0,0.0,412.97195427944234
1.0072633345063782e-8,1.0187720270565678e-6,0.0,0.0,0.0,0.0,0.0,0.0,370.3835131599043
8.003676181349022e-9,1.0450643180848235e-6,0.0,0.0,0.0,0.0,0.0,0.0,361.38647016992235
1.1091492606785195e-8,8.429881033314921e-7,0.0,0.0,0.0,0.0,0.0,0.0,433.91652714405143
1.0333320259414372e-8,1.0369731166247873e-6,0.0,0.0,0.0,0.0,0.0,0.0,375.9062938597864
1.0555513264790686e-8,9.94084886148729e-7,0.0,0.0,0.0,0.0,0.0,0.0,398.45192042813153
9.629490076445872e-9,1.1856482028879784e-6,0.0,0.0,0.0,0.0,0.0,0.0,407.95468665082115
1.0769401036104345e-8,6.496221418641648e-7,0.0,0.0,0.0,0.0,0.0,0.0,404.81800639709127
8.113535201921702e-9,1.2921394919823959e-6,0.0,0.0,0.0,0.0,0.0,0.0,385.61573011736596
1.291726238655459e-8,9.035500071034603e-7,0.0,0.0,0.0,0.0,0.0,0.0,445.7739563032147
1.023369803200146e-8,1.033511263789306e-6,0.0,0.0,0.0,0.0,0.0,0.0,376.43433509670996
1.0282444959633886e-8,1.0798450146482865e-6,0.0,0.0,0.0,0.0,0.0,0.0,421.1103173975854
1.0230895625169262e-8,1.109999961197573e-6,0.0,0.0,0.0,0.0,0.0,0.0,409.89354075400337
1.0636760461542103e-8,1.0816760643080864e-6,0.0,0.0,0.0,0.0,0.0,0.0,403.65375442789474
8.064850524754014e-9,7.185637575815209e-7,0.0,0.0,0.0,0.0,0.0,0.0,354.035894258988
1.0326625665330707e-8,8.643517128518864e-7,0.0,0.0,0.0,0.0,0.0,0.0,380.7357859936412
9.337101347036061e-9,1.0581569715115981e-6,0.0,0.0,0.0,0.0,0.0,0.0,388.9433322763029
1.104702546927079e-8,8.567428369392883e-7,0.0,0.0,0.0,0.0,0.0,0.0,458.87251925763053
9.470844492600035e-9,1.2674382554985425e-6,0.0,0.0,0.0,0.0,0.0,0.0,396.6580252518455
7.669153034873559e-9,1.1739633150285333e-6,0.0,0.0,0.0,0.0,0.0,0.0,392.71045470860383
8.23163955621536e-9,1.2371016452961273e-6,0.0,0.0,0.0,0.0,0.0,0.0,409.51115001168125
8.948657435011494e-9,1.0681062165487502e-6,0.0,0.0,0.0,0.0,0.0,0.0,387.321296940575
9.10095962800191e-9,1.4266031096784357e-6,0.0,0.0,0.0,0.0,0.0,0.0,410.78482840483116
1.3144021709138834e-8,1.0975823833581675e-6,0.0,0.0,0.0,0.0,0.0,0.0,473.95002175445825
9.215764524381277e-9,1.4323226240172172e-6,0.0,0.0,0.0,0.0,0.0,0.0,412.50505925418554
1.0996506566879242e-8,1.196385880468239e-6,0.0,0.0,0.0,0.0,0.0,0.0,402.29688167709526
1.0582086179438126e-8,9.606911059603962e-7,0.0,0.0,0.0,0.0,0.0,0.0,409.03262203524264
8.209877632736187e-9,1.0886318463172218e-6,0.0,0.0,0.0,0.0,0.0,0.0,387.1091955271096
1.1358481657858886e-8,1.490805319812426e-6,0.0,0.0,0.0,0.0,0.0,0.0,426.7143378743305
1.2368291730821615e-8,1.0985588626948978e-6,0.0,0.0,0.0,0.0,0.0,0.0,442.36605301154543
7.5794258207779e-9,1.1230762994057237e-6,0.0,0.0,0.0,0.0,0.0,0.0,389.0951326373752
8.476750168253832e-9,1.2269586494102594e-6,0.0,0.0,0.0,0.0,0.0,0.0,374.58374399436576
7.286478632276229e-9,8.163643162672544e-7,0.0,0.0,0.0,0.0,0.0,0.0,350.7790208855231
1.1475840395200498e-8,1.2181011314195123e-6,0.0,0.0,0.0,0.0,0.0,0.0,411.5508808248368
1.0312776788160079e-8,8.782851005404951e-7,0.0,0.0,0.0,0.0,0.0,0.0,376.10068198563306
1.3627788642476628e-8,6.00132549288393e-7,0.0,0.0,0.0,0.0,0.0,0.0,426.95471279330087
1.0848169716346254e-8,6.185823053638885e-7,0.0,0.0,0.0,0.0,0.0,0.0,360.43941212077186
