mutation_rate_off,mutation_rate_on,division_rate_on,fraction_on,mutation_rate_p,fitness_mutants_p,mutation_rate_s,fitness_mutants_s,AIC
1.104187633223422e-8,9.8144382004209e-7,0.6480432979511754,0.0,0.0,0.0,0.0,0.0,464.1106450927453
1.7061566982703917e-8,9.647386133128675e-7,0.7735913506447554,0.0,0.0,0.0,0.0,0.0,552.7573111343503
1.2989576081258696e-8,8.136275705858205e-7,0.6696044168182583,0.0,0.0,0.0,0.0,0.0,485.7607126682072
7.2302023549594086e-9,9.761433853580645e-7,0.96123587009597,0.0,0.0,0.0,0.0,0.0,417.9842277474497
8.311371137537186e-9,1.3347765839791932e-6,0.7428034845136331,0.0,0.0,0.0,0.0,0.0,482.100061893269
1.1325798136791834e-8,1.0058171128987905e-6,0.674001762826907,0.0,0.0,0.0,0.0,0.0,485.58201908096737
9.860797395766891e-9,4.2055181239439124e-7,0.3171234897255958,0.0,0.0,0.0,0.0,0.0,351.5376028250696
8.804302793387632e-9,1.1182581097264558e-6,0.5901264049267034,0.0,0.0,0.0,0.0,0.0,439.9608689507836
9.735002679521286e-9,9.662015082458294e-7,0.9231698540510608,0.0,0.0,0.0,0.0,0.0,481.70855407300417
9.01412537471515e-9,1.1145871782699144e-6,0.608181455132574,0.0,0.0,0.0,0.0,0.0,466.6263373938111
1.0147595366859556e-8,1.2863922332844404e-6,0.743587454945812,0.0,0.0,0.0,0.0,0.0,498.8444300892892
9.010677246567428e-9,8.002396383900672e-7,0.7871826220920721,0.0,0.0,0.0,0.0,0.0,421.62905611367376
8.841356434748331e-9,1.0594452499286995e-6,0.5011645888332874,0.0,0.0,0.0,0.0,0.0,433.4301110756594
8.89505206579799e-9,1.21876024554723e-6,0.3861491187590007,0.0,0.0,0.0,0.0,0.0,467.3232898079177
7.948516145805577e-9,1.254683662649506e-6,0.7403339893232378,0.0,0.0,0.0,0.0,0.0,439.96899421451604
6.820520655658144e-9,7.632375088840992e-7,0.6137984213016716,0.0,0.0,0.0,0.0,0.0,382.79695149796055
1.1134014600973211e-8,8.361949924886762e-7,0.052795319976492186,0.0,0.0,0.0,0.0,0.0,448.7907099348249
1.1250734193901587e-8,1.1545272459866894e-6,0.7809779050324211,0.0,0.0,0.0,0.0,0.0,552.597511980125
1.1040478554491896e-8,8.313235376097375e-7,0.7318963175342003,0.0,0.0,0.0,0.0,0.0,469.6338590657698
1.1804590014636933e-8,1.0724946605939588e-6,0.6497556679114078,0.0,0.0,0.0,0.0,0.0,482.5724016204298
1.0099174100389846e-8,1.3107438814289064e-6,0.7642071738310734,0.0,0.0,0.0,0.0,0.0,490.6382837070871
1.595758589573152e-8,6.216006675857833e-7,0.7469534422713757,0.0,0.0,0.0,0.0,0.0,498.1932419400729
9.904245107725762e-9,7.669034210078789e-7,0.8216451401931153,0.0,0.0,0.0,0.0,0.0,462.5676567778561
9.513756675263348e-9,9.344760339911344e-7,0.18534999883685377,0.0,0.0,0.0,0.0,0.0,383.60599682799136
8.9334855251752e-9,9.84110356135982e-7,0.5164278093143898,0.0,0.0,0.0,0.0,0.0,402.24357982753224
1.0618575165488112e-8,8.183924123056373e-7,0.8671882768236829,0.0,0.0,0.0,0.0,0.0,448.6000232938802
7.823925323330944e-9,1.14029654252677e-6,0.6053216839566,0.0,0.0,0.0,0.0,0.0,458.4708291180909
8.959956443712305e-9,1.1751109536050244e-6,0.5329554402544225,0.0,0.0,0.0,0.0,0.0,436.6607830633275
1.2073676236099211e-8,9.738664168686395e-7,0.9083439983939667,0.0,0.0,0.0,0.0,0.0,505.6963983625776
8.57097912936659e-9,9.94790778433936e-7,0.8429974133972671,0.0,0.0,0.0,0.0,0.0,448.97683200103603
8.799603620261603e-9,8.682704187725738e-7,1.0712302756205196,0.0,0.0,0.0,0.0,0.0,461.0637531904591
1.1045845855855777e-8,6.560082697270465e-7,0.5632342846935675,0.0,0.0,0.0,0.0,0.0,417.82525994802944
8.867294506431485e-9,1.170639358418821e-6,0.6469711996809901,0.0,0.0,0.0,0.0,0.0,449.6633693003847
1.2963432351310557e-8,6.854592918910672e-7,0.3945043008368584,0.0,0.0,0.0,0.0,0.0,442.2168940614351
7.957305528109115e-9,8.33940658113769e-7,0.4571810452874937,0.0,0.0,0.0,0.0,0.0,403.2208434754525
1.042167169206091e-8,1.1174271092402728e-6,0.6258945403977787,0.0,0.0,0.0,0.0,0.0,459.0140840248191
9.819719521968601e-9,9.750229075664715e-7,0.7403156786435436,0.0,0.0,0.0,0.0,0.0,466.43213350036694
1.0330022770583698e-8,7.97942577967118e-7,0.7956138459611855,0.0,0.0,0.0,0.0,0.0,465.24276347069565
1.1563162466243323e-8,9.998362985062266e-7,0.6480808598799452,0.0,0.0,0.0,0.0,0.0,487.99006659781304
1.0093236366523161e-8,1.175668255807267e-6,0.5024359667372235,0.0,0.0,0.0,0.0,0.0,508.30566037997494
6.992890495846646e-9,1.3333421616627806e-6,0.2433898754768488,0.0,0.0,0.0,0.0,0.0,361.8813950543947
9.430929305221635e-9,8.179099172142502e-7,0.5866736418054763,0.0,0.0,0.0,0.0,0.0,419.47804727690664
6.1605727297449235e-9,1.037688822732604e-6,0.5596858080264031,0.0,0.0,0.0,0.0,0.0,380.92232698438465
1.0435053708968318e-8,9.284965619684103e-7,0.5500152465664403,0.0,0.0,0.0,0.0,0.0,463.1620201603523
