mutation_rate_off,mutation_rate_on,division_rate_on,fraction_on,mutation_rate_p,fitness_mutants_p,mutation_rate_s,fitness_mutants_s,AIC
1.0985237464182433e-8,9.947313989048459e-7,0.4,0.0,0.0,0.0,0.0,0.0,431.5967166832957
1.086319823645588e-8,5.962589767718601e-7,0.4,0.0,0.0,0.0,0.0,0.0,442.89077311910484
7.0917757910397716e-9,1.0285480513596444e-6,0.4,0.0,0.0,0.0,0.0,0.0,387.3175435707803
1.0398596865984968e-8,6.857231970594688e-7,0.4,0.0,0.0,0.0,0.0,0.0,452.00722822845586
1.168973450478359e-8,1.2168132685443817e-6,0.4,0.0,0.0,0.0,0.0,0.0,449.73666080820294
1.0811523133002577e-8,1.0483864019947384e-6,0.4,0.0,0.0,0.0,0.0,0.0,456.42433166071186
7.970411320700008e-9,1.2798459790999175e-6,0.4,0.0,0.0,0.0,0.0,0.0,397.1296703342931
9.211548458043163e-9,6.96429864022395e-7,0.4,0.0,0.0,0.0,0.0,0.0,393.16739847565134
1.0235874789859541e-8,8.157363400355229e-7,0.4,0.0,0.0,0.0,0.0,0.0,449.9077217640424
1.2903846086337884e-8,7.323061008524165e-7,0.4,0.0,0.0,0.0,0.0,0.0,515.7859022012681
8.083376982040208e-9,1.2275963470801838e-6,0.4,0.0,0.0,0.0,0.0,0.0,442.8373033401401
8.961237703757171e-9,1.785081669985685e-6,0.4,0.0,0.0,0.0,0.0,0.0,465.3506955916994
1.1379372788666281e-8,1.2574880822653773e-6,0.4,0.0,0.0,0.0,0.0,0.0,475.4670459556769
1.3614508450743044e-8,7.329226481831713e-7,0.4,0.0,0.0,0.0,0.0,0.0,473.21196085772635
7.78701855595173e-9,9.357657770686126e-7,0.4,0.0,0.0,0.0,0.0,0.0,409.2987538387773
8.504515290453351e-9,1.024725678947807e-6,0.4,0.0,0.0,0.0,0.0,0.0,420.22224697693554
8.513226169220369e-9,1.1108659481320757e-6,0.4,0.0,0.0,0.0,0.0,0.0,422.27307274732476
1.1870002588713862e-8,7.099158804853674e-7,0.4,0.0,0.0,0.0,0.0,0.0,445.7093003849703
1.0071242551745095e-8,9.809284292050096e-7,0.4,0.0,0.0,0.0,0.0,0.0,408.3257890360363
1.1237003988280793e-8,9.77514121119834e-7,0.4,0.0,0.0,0.0,0.0,0.0,480.746593082184
1.0141796668842959e-8,1.0223322826311202e-6,0.4,0.0,0.0,0.0,0.0,0.0,458.04724030334387
