mutation_rate_off,mutation_rate_on,division_rate_on,fraction_on,mutation_rate_p,fitness_mutants_p,mutation_rate_s,fitness_mutants_s,AIC
9.48838871372751e-9,7.038570470442816e-7,0.0,0.0,0.0,0.0,0.0,0.0,409.84553251551745
9.768463849871648e-9,9.422990568152175e-7,0.0,0.0,0.0,0.0,0.0,0.0,425.37859137849625
9.133653144801501e-9,7.852328043323138e-7,0.0,0.0,0.0,0.0,0.0,0.0,372.99271027250956
8.527025538241012e-9,1.360710683167158e-6,0.0,0.0,0.0,0.0,0.0,0.0,462.06546031816595
1.0651772771230361e-8,7.900653795371918e-7,0.0,0.0,0.0,0.0,0.0,0.0,418.8729410136587
8.793132743917948e-9,6.472109465067072e-7,0.0,0.0,0.0,0.0,0.0,0.0,407.0663775863367
1.2651155288914941e-8,1.214031128491601e-6,0.0,0.0,0.0,0.0,0.0,0.0,475.6531860909306
1.3857031578861355e-8,1.2538468727762747e-6,0.0,0.0,0.0,0.0,0.0,0.0,543.0880716776478
1.0393062928806624e-8,1.1548638290072075e-6,0.0,0.0,0.0,0.0,0.0,0.0,431.27861286654354
8.608211522326569e-9,7.045800032529926e-7,0.0,0.0,0.0,0.0,0.0,0.0,374.35114533606713
1.198633302547216e-8,2.525840323759072e-7,0.0,0.0,0.0,0.0,0.0,0.0,434.25700313994184
1.0107223055489715e-8,1.0144614759442409e-6,0.0,0.0,0.0,0.0,0.0,0.0,444.41277588304683
1.0526336512502935e-8,9.325277947557618e-7,0.0,0.0,0.0,0.0,0.0,0.0,440.9202279504681
1.1165214291769465e-8,1.093144053378687e-6,0.0,0.0,0.0,0.0,0.0,0.0,430.46359088337556
9.987074388482161e-9,6.326136804704274e-7,0.0,0.0,0.0,0.0,0.0,0.0,409.13487712569065
8.168446642575096e-9,1.6726061859695944e-6,0.0,0.0,0.0,0.0,0.0,0.0,386.95306819651705
1.2166041533907908e-8,4.519070000451688e-7,0.0,0.0,0.0,0.0,0.0,0.0,496.60186778397355
1.0731533259789091e-8,1.0786635161618482e-6,0.0,0.0,0.0,0.0,0.0,0.0,414.51473482024386
7.313079334824462e-9,1.047366728823937e-6,0.0,0.0,0.0,0.0,0.0,0.0,377.9046862830423
1.040930809236533e-8,1.014142125819241e-6,0.0,0.0,0.0,0.0,0.0,0.0,428.63131036237985
9.231767062447616e-9,4.770787420761036e-7,0.0,0.0,0.0,0.0,0.0,0.0,396.8729690861758
7.460852889635087e-9,1.2749732014644141e-6,0.0,0.0,0.0,0.0,0.0,0.0,397.55806951216954
1.043121308132859e-8,7.298044680924249e-7,0.0,0.0,0.0,0.0,0.0,0.0,447.88909114322416
1.1442747578986985e-8,7.061185400122936e-7,0.0,0.0,0.0,0.0,0.0,0.0,479.47658796934104
6.233859147295488e-9,1.578825243063488e-6,0.0,0.0,0.0,0.0,0.0,0.0,382.44879533197513
1.0319538300684006e-8,7.089199960822481e-7,0.0,0.0,0.0,0.0,0.0,0.0,400.0341832328352
1.1637721225782234e-8,7.634799258089966e-7,0.0,0.0,0.0,0.0,0.0,0.0,430.4676129298185
7.762654900847444e-9,8.877737182292676e-7,0.0,0.0,0.0,0.0,0.0,0.0,403.80245536445034
1.0254712516747508e-8,9.959639651453184e-7,0.0,0.0,0.0,0.0,0.0,0.0,456.9998579948134
7.914691836025993e-9,2.0646520304660936e-6,0.0,0.0,0.0,0.0,0.0,0.0,429.2708039598565
9.216335429629716e-9,8.564147217686393e-7,0.0,0.0,0.0,0.0,0.0,0.0,415.31962152913525
7.968232233580198e-9,2.0975968839360306e-6,0.0,0.0,0.0,0.0,0.0,0.0,436.07246519459034
1.1511158412802607e-8,3.9668453722157077e-7,0.0,0.0,0.0,0.0,0.0,0.0,462.5203801700184
1.0406867785618205e-8,1.7024415187032854e-6,0.0,0.0,0.0,0.0,0.0,0.0,460.3086770272659
9.81265969434095e-9,7.964791399386881e-7,0.0,0.0,0.0,0.0,0.0,0.0,450.1115127727757
8.646987953108879e-9,7.024640154150496e-7,0.0,0.0,0.0,0.0,0.0,0.0,388.2922375161595
1.1343369812254973e-8,1.1612750758371749e-6,0.0,0.0,0.0,0.0,0.0,0.0,476.5508933707423
8.440121418905552e-9,1.2286863722455723e-6,0.0,0.0,0.0,0.0,0.0,0.0,404.42146384598
9.858087546947676e-9,1.5284772812938636e-6,0.0,0.0,0.0,0.0,0.0,0.0,419.7700840137063
1.2238776342861633e-8,1.1391986743206514e-6,0.0,0.0,0.0,0.0,0.0,0.0,480.43189401043924
1.1796205701693438e-8,8.719678086755335e-7,0.0,0.0,0.0,0.0,0.0,0.0,436.12638832510663
1.0114037171252063e-8,1.1840194670520127e-6,0.0,0.0,0.0,0.0,0.0,0.0,454.4983086290066
9.467610715044431e-9,1.1455296319300186e-6,0.0,0.0,0.0,0.0,0.0,0.0,407.82058997108527
9.216583292769896e-9,1.0619559479242893e-6,0.0,0.0,0.0,0.0,0.0,0.0,440.2400502573815
1.0326832353089103e-8,1.417281841348437e-6,0.0,0.0,0.0,0.0,0.0,0.0,432.2924680352803
1.0626621193575278e-8,2.167585140492808e-6,0.0,0.0,0.0,0.0,0.0,0.0,473.15001453101297
1.004528152916082e-8,7.902230049541496e-7,0.0,0.0,0.0,0.0,0.0,0.0,410.6655319921573
1.1027012793426727e-8,5.923387495710948e-7,0.0,0.0,0.0,0.0,0.0,0.0,410.25416067364233
9.435451437119128e-9,1.1003751112598751e-6,0.0,0.0,0.0,0.0,0.0,0.0,421.88580542835336
8.65750870632224e-9,1.3961044207392827e-6,0.0,0.0,0.0,0.0,0.0,0.0,397.6936144794384
8.961588173123218e-9,7.406950896829667e-7,0.0,0.0,0.0,0.0,0.0,0.0,404.10489938937656
1.1215937474919046e-8,6.807186383460756e-7,0.0,0.0,0.0,0.0,0.0,0.0,459.2340942351011
8.239513409419809e-9,9.903852777887394e-7,0.0,0.0,0.0,0.0,0.0,0.0,417.9508198401427
8.98087266991445e-9,1.1190631864407098e-6,0.0,0.0,0.0,0.0,0.0,0.0,411.4888241819307
1.2515179750244075e-8,3.88775768966916e-7,0.0,0.0,0.0,0.0,0.0,0.0,431.84604625297925
9.734937097459995e-9,1.3052732947521516e-6,0.0,0.0,0.0,0.0,0.0,0.0,464.64579994260515
6.900366266921467e-9,1.7062263548561103e-6,0.0,0.0,0.0,0.0,0.0,0.0,384.8681900593549
7.930114568799952e-9,8.866782854421886e-7,0.0,0.0,0.0,0.0,0.0,0.0,388.3179556362314
1.0737014281751805e-8,1.1299646816444996e-6,0.0,0.0,0.0,0.0,0.0,0.0,437.0714666719887
1.3392647947538895e-8,9.757585235294636e-7,0.0,0.0,0.0,0.0,0.0,0.0,475.78459568212514
9.275828449457454e-9,1.2548063749251146e-6,0.0,0.0,0.0,0.0,0.0,0.0,422.74024509090975
8.81018481878437e-9,1.0491039659575203e-6,0.0,0.0,0.0,0.0,0.0,0.0,402.3787416732979
1.0478206674915764e-8,3.9826585507645243e-7,0.0,0.0,0.0,0.0,0.0,0.0,406.2479222045374
9.601911644382744e-9,2.486770883019297e-7,0.0,0.0,0.0,0.0,0.0,0.0,428.11185908452774
1.2686032788390523e-8,3.7352207654463206e-7,0.0,0.0,0.0,0.0,0.0,0.0,477.9870247859854
9.379825452795962e-9,1.5056787806860172e-6,0.0,0.0,0.0,0.0,0.0,0.0,438.47834616027626
9.909879450736261e-9,1.127815990536863e-6,0.0,0.0,0.0,0.0,0.0,0.0,437.30020778519275
6.606196767947733e-9,1.6448130175645153e-6,0.0,0.0,0.0,0.0,0.0,0.0,406.24559443462476
1.264768465910566e-8,6.771843274109549e-7,0.0,0.0,0.0,0.0,0.0,0.0,487.21201663660554
