mutation_rate_off,mutation_rate_on,division_rate_on,fraction_on,mutation_rate_p,fitness_mutants_p,mutation_rate_s,fitness_mutants_s,AIC
0.0,0.0,0.0,0.0,9.81239335167687e-9,1.0,1.9654004347801082e-8,1.0,438.03890237483967
0.0,0.0,0.0,0.0,1.1154506486218472e-8,1.0,2.2787700270283005e-8,1.0,470.93030629588117
0.0,0.0,0.0,0.0,9.098169559994119e-9,1.0,1.9070236686136296e-8,1.0,429.2389741561042
0.0,0.0,0.0,0.0,9.576046030929152e-9,1.0,1.8392477744170196e-8,1.0,379.4448967563749
0.0,0.0,0.0,0.0,8.653477459735002e-9,1.0,1.8835766038032596e-8,1.0,397.5706945480292
0.0,0.0,0.0,0.0,8.977640432954011e-9,1.0,1.2915599710950749e-8,1.0,398.31692324537903
0.0,0.0,0.0,0.0,9.111913270846702e-9,1.0,1.785543532940795e-8,1.0,399.8507164662295
0.0,0.0,0.0,0.0,8.365106568175116e-9,1.0,1.8662205420907908e-8,1.0,394.2892491982792
0.0,0.0,0.0,0.0,7.623101299316116e-9,1.0,2.140658615600716e-8,1.0,436.8778414194255
0.0,0.0,0.0,0.0,1.0114308092453015e-8,1.0,1.9684077833975575e-8,1.0,456.54427345994395
0.0,0.0,0.0,0.0,1.095412464790858e-8,1.0,1.477055350888848e-8,1.0,424.38845443161154
0.0,0.0,0.0,0.0,8.605977291482707e-9,1.0,1.58854452277734e-8,1.0,384.3454189636766
0.0,0.0,0.0,0.0,8.50233543570029e-9,1.0,2.085078182199349e-8,1.0,419.05897030581616
0.0,0.0,0.0,0.0,9.038795707349684e-9,1.0,2.1949715596213594e-8,1.0,420.123744890285
0.0,0.0,0.0,0.0,9.914947014771829e-9,1.0,1.6174009269741403e-8,1.0,452.0697171491223
0.0,0.0,0.0,0.0,1.1368504155884742e-8,1.0,1.7592448785153905e-8,1.0,437.8872262475986
0.0,0.0,0.0,0.0,1.3029364178686278e-8,1.0,2.227333303711181e-8,1.0,480.25629703817197
0.0,0.0,0.0,0.0,1.249251019241142e-8,1.0,2.1137043589884594e-8,1.0,461.9400945569291
0.0,0.0,0.0,0.0,6.390002591842399e-9,1.0,1.776867562562808e-8,1.0,386.188664177972
0.0,0.0,0.0,0.0,8.7845861528702e-9,1.0,2.4033403238505235e-8,1.0,485.098252049507
0.0,0.0,0.0,0.0,1.3073690012783599e-8,1.0,1.8899260796346436e-8,1.0,447.1614717712557
0.0,0.0,0.0,0.0,1.0308896090172947e-8,1.0,1.920398901025989e-8,1.0,452.7257123725408
0.0,0.0,0.0,0.0,1.1372384742758582e-8,1.0,2.0203143624421348e-8,1.0,477.1504441121096
0.0,0.0,0.0,0.0,9.34066101526708e-9,1.0,2.0932682736841648e-8,1.0,414.2078908528316
0.0,0.0,0.0,0.0,1.182587167461263e-8,1.0,1.6396361424009754e-8,1.0,451.3788024384786
0.0,0.0,0.0,0.0,8.148845240880102e-9,1.0,1.8719029213944167e-8,1.0,427.21933078497716
