1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,p
0,8,0,0,15,1,8,0,2,1,0,4,0,1,2,1,2,15,1,0,0,1
0,1,0,0,2,7,4,1,0,0,11,2,1,0,0,0,3,5,0,1,1,0
0,30,1,1,0,1,1,0,0,0,1,0,5,1,1,1,1,1,6,2,0,5
1,0,5,4,4,2,1,0,2,0,0,1,0,1,2,1,2,2,1,0,0,1
2,0,16,1,3,0,4,0,1,0,1,32,1,32,2,1,0,0,0,1,1,2
3,1,1,7,2,0,3,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0
1,0,5,3,7,13,1,0,0,0,9,0,3,1,1,0,5,1,0,0,1,1
5,1,0,2,0,0,0,0,0,0,0,0,2,0,1,1,1,1,1,2,3,6
0,4,16,2,1,2,1,4,0,10,4,0,0,0,0,1,2,0,0,0,2,11
2,5,1,0,2,1,1,1,1,0,1,1,3,0,2,1,1,2,1,1,1,2
0,0,1,1,0,0,0,2,0,1,2,1,0,0,2,0,2,2,1,2,1,3
1,2,1,0,0,0,11,0,1,1,0,1,2,2,3,0,2,0,0,0,0,1
3,0,3,3,2,1,2,58,0,1,3,3,1,2,0,5,1,0,0,1,0,2
0,3,4,20,0,6,8,5,0,2,0,0,3,0,0,4,0,1,1,3,1,0
1,1,566,0,0,1,2,2,3,1,2,3,31,0,0,0,1,2,1,0,1,14
12,1,4,0,0,1,0,1,1,0,0,11,1,2,0,1,1,1,1,1,2,7
0,0,3,0,187,1,1,0,0,1,1,0,1,4,2,1,0,1,2,0,1,0
2,0,20,1,0,4,3,0,1,1,3,2,2,1,4,0,2,1,1,0,2,0
2,2,0,1,20,1,1,4,0,0,1,0,0,0,0,1,0,0,0,2,0,2
40,0,8,12,0,27,0,1,1,0,4,0,0,1,0,0,2,3,0,1,0,3
2,0,3,0,1,6,0,0,0,1,1,1,1,1,2,0,2,0,10,0,0,23
2,0,4,0,2,0,16,0,0,1,0,0,0,2,3,1,0,0,1,1,1,8
1,1,3,0,0,0,1,0,0,2,0,3,1,1,1,1,0,0,1,0,1,43
3,5,7,0,19,1,4,0,0,8,1,3,2,0,0,5,2,0,6,1,1,0
3,0,1,0,1,6,1,0,1,2,1,3,1,1,0,2,1,1,0,1,1,0
3,5,0,1,0,4,6,0,0,0,2,2,2,0,2,1,1,1,1,0,0,0
4,1,0,1,0,0,0,3,0,3,3,0,1,6,1,2,3,0,0,1,2,1
0,3,4,1,0,0,0,0,3,0,2,2,0,2,0,2,3,3,2,3,2,3
18,1,54,2,1,2,0,1,0,0,0,4,0,0,0,0,1,0,0,5,1,1
0,2,0,1,2,0,1,3,0,0,2,0,1,0,0,0,1,0,0,0,1,4
21,1,4,31,0,367,0,0,0,0,8,1,0,1,2,0,1,0,0,0,1,1
6,2,0,1,3,1,1,2,1,0,0,4,1,0,2,1,0,1,2,1,0,2
3,0,2,1,1,3,14,0,4,3,0,0,2,0,3,0,0,0,1,1,0,1
1,2,1,0,0,4,1,23,13,0,1,1,0,2,0,1,2,3,0,1,0,0
0,0,0,23,3,0,18,0,0,0,1,0,1,0,0,1,1,0,2,1,1,0
0,3,3,0,1,0,0,1,2,2,1,3,1,1,1,0,0,0,2,2,2,0
23,1,0,1,2,2,2,0,20,0,1,2,1,0,1,1,0,1,2,3,3,99
10,1,0,2,1,1,1,2,0,1,1,1,1,0,0,0,3,4,2,4,1,57
4,4,80,4,0,12,4,0,0,0,0,1,0,0,3,0,0,0,2,0,3,2
0,0,4,1,0,8,2,1,252,1,6,0,0,1,0,2,0,0,2,0,10,3
0,0,0,3,1,0,0,11,106,0,1,1,1,1,0,3,0,0,1,0,1,7
1,0,0,10,6,6,0,1,1,3,5,1,0,1,7,0,4,15,0,1,1,13
0,0,4,0,0,0,3,4,1,1,1,1,0,2,0,0,0,1,0,0,1,2
21,1,44,0,21,0,6,11,3,1,2,0,1,0,2,1,0,2,2,2,2,4
2,2,3,2,79,2,1,3,0,1,1,1,0,0,2,2,0,1,1,0,1,3
0,0,7,0,0,3,4,1,3,1,4,0,1,2,0,0,0,1,0,0,2,1
1,2,0,5,1,3,36,0,3,3,0,2,2,2,1,1,1,1,0,1,42,0
0,0,2,1,6,0,2,1,2,0,1,25,0,2,1,0,0,1,1,1,3,1
4,1,0,4,1,8,3,7,2,0,0,0,1,0,0,1,1,0,3,5,2,0
0,0,0,1,4,0,2,0,0,1,1,0,0,51,0,3,0,0,3,2,0,10
17,0,2,5,1,2,0,0,0,2,0,1,1,0,0,1,3,1,10,0,1,2
2,2,1,0,1,0,2,1,2,0,1,0,1,1,2,1,0,0,0,0,2,0
0,0,0,0,3,7,1,5,0,4,1,5,1,1,2,0,3,0,2,0,2,0
1,7,0,5,0,0,4,2,2,0,0,0,1,4,2,1,1,2,0,2,2,1
2,2,10,4,4,0,0,9,0,1,0,0,3,2,0,0,0,1,0,2,4,0
2,0,25,0,2,2,13,0,6,0,10,0,1,0,3,1,0,1,1,0,1,20
0,159,3,1,2,4,5,0,1,1,0,0,1,1,2,0,0,2,1,3,0,3
12,4,0,0,306,10,0,0,1,1,0,2,0,2,3,2,1,1,0,0,0,4
0,0,0,0,0,2,1,0,0,1,1,1,1,2,1,1,0,0,1,0,0,32
1,3,53,8,7,0,1,3,0,0,0,1,1,0,0,1,1,1,1,2,1,2
0,1,0,0,0,0,4,4,11,3,1,0,3,8,3,1,0,1,2,2,2,0
7,7,0,0,16,0,0,4,0,6,2,0,2,1,4,1,0,0,1,1,0,1
0,11,15,0,2,3,0,2,1,3,1,1,1,2,1,1,0,1,0,1,1,4
0,3,1,4,1,0,1,1,7,1,0,0,0,0,0,0,0,2,1,1,0,3
1,0,6,2,0,1,0,0,2,0,0,1,1,0,1,2,1,1,0,2,0,0
0,2,1,0,9,21,2,2,151,2,1,0,5,0,0,1,1,0,1,0,1,11
2,0,0,0,2,5,1,0,2,8,0,1,1,1,1,1,1,1,0,2,2,0
10,19,15,0,3,1,3,2,0,1,1,12,0,1,0,9,3,1,1,0,3,5
1,1,0,10,2,0,0,0,4,1,0,0,0,2,1,1,2,1,0,3,1,1
8,2,9,6,1,0,1,0,1,3,3,0,6,1,0,1,1,0,2,0,2,7
1,5,2,2,0,0,1,0,1,2,3,0,0,1,6,0,0,0,0,1,1,0
0,0,0,2,3,1,5,0,2,1,0,4,0,1,2,2,1,2,2,0,4,0
8,3,0,0,2,6,1,3,0,0,3,1,0,9,2,4,0,0,1,2,19,0
1,7,3,0,0,1,0,2,0,1,1,0,0,2,0,1,2,1,1,1,0,0
0,3,0,36,1,1,2,2,2,0,0,2,1,0,0,0,1,0,0,0,0,0
5,0,0,36,0,1,0,0,1,11,1,0,2,1,2,1,1,3,2,0,2,60
1,0,0,0,0,2,0,1,79,1,0,0,19,3,1,2,4,0,1,1,0,5
2,1,1,0,3,8,0,3,0,0,1,0,2,2,1,2,1,2,0,1,0,14
3,4,6,2,0,5,1,0,3,0,0,3,0,1,1,0,1,2,2,0,1,3
1,1,4,16,2,0,0,1,4,0,84,1,2,0,1,1,1,7,0,2,0,1
5,0,0,11,5,3,0,1,3,3,1,6,1,1,2,0,0,1,1,1,0,0
1,9,2,0,45,0,0,2,0,8,1,0,1,0,71,1,1,2,0,0,2,1
0,100,37,2,1,12,2,0,1,1,0,0,1,0,1,0,0,0,2,0,1,1
13,1,3,2,8,11,0,6,3,2,0,6,0,0,1,1,0,0,1,1,0,1
1,4,0,0,21,0,3,0,1,2,2,1,0,0,4,0,2,1,0,43,2,1
3,8,0,3,0,8,11,2,1,1,0,4,2,0,1,3,0,1,0,2,2,7
3,1,1,4,0,1,4,0,1,4,1,1,2,0,11,0,2,1,1,0,3,2
21,0,7,5,7,5,1,1,0,0,1,2,3,0,1,0,5,0,1,1,2,3
1,2,0,1,4,2,2,0,0,22,0,1,63,2,0,1,0,6,0,1,1,0
0,32,1,0,1,3,1,0,10,0,1,0,0,1,0,0,4,1,4,2,1,1
0,4,0,0,0,1,0,0,0,1,1,3,1,1,0,5,1,0,0,1,0,3
0,3,0,0,0,0,3,1,1,9,2,1,0,0,0,0,1,5,2,2,1,11
2,1,0,0,4,0,0,4,0,2,2,1,0,13,1,0,1,0,6,3,2,0
1,29,0,0,0,5,0,1,2,0,0,0,2,4,3,1,1,1,2,0,1,16
0,1,6,1,15,0,5,15,0,1,6,0,0,2,9,1,1,1,3,2,1,0
0,9,0,4,0,0,1,3,1,0,1,1,0,0,0,18,2,0,7,0,10,0
1,0,3,2,8,2,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,14
3,0,0,0,2,1,0,3,1,1,0,1,1,1,1,2,0,2,2,0,1,1
3,10,0,1,0,4,0,0,0,1,3,17,1,1,1,0,1,2,0,1,2,0
10,0,5,0,13,4,0,0,0,1,1,0,2,0,2,1,3,1,1,3,205,2
2,1,0,1,1,1,4,0,0,0,78,5,0,1,0,1,2,0,3,1,2,4
1,0,4,0,77,1,3,9,9,0,4,3,0,1,3,1,2,0,2,0,1,1
4,25,7,0,7,36,18,2,8,0,45,0,9,1,2,0,1,3,2,1,1,0
1,1,1,3,2,0,0,0,4,1,91,1,0,1,1,3,1,0,0,2,1,30
1,2,5,4,2,12,1,2,4,0,0,0,0,0,1,0,1,0,1,0,2,0
8,0,126,6,1,0,3,0,0,1,8,1,7,3,0,0,0,2,1,1,2,0
2,5,0,0,0,0,0,0,1,0,1,1,2,0,1,0,1,1,5,4,1,4
