1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,p
0,1,0,7,5,0,0,0,2,0,0,3,2,0,1,12,0,0,0,0,0,0,29,0,0,3,0
0,3,0,23,0,2,0,2,0,9,2,1,3,0,0,5,123,1,0,1,2,1,0,0,10,0,2
0,0,0,2,0,1,0,0,1,0,0,9,0,6,0,0,120,17,1,66,1,1,2,17,4,4,2
1,1,4,1,0,69,0,0,0,1,15,4,0,5,0,6,0,1,0,0,0,0,2,0,0,0,2
2,0,7,3,13,1,1,0,0,1,0,0,9,5,0,0,0,0,26,3,1,0,3,1,0,1,0
0,0,0,0,1,2,1,120,1,0,0,1,1,3,0,22,0,1,0,1,3,0,65,1,0,3,0
1,0,0,1,0,88,0,7,1,0,0,3,8,4,0,0,0,1,1,39,0,62,1,0,1,0,0
1,0,4,2,10,0,5,0,0,0,2,29,0,0,7,0,1,1,1,1,1,2,18,0,0,0,1
0,2,1,1,0,3,0,0,0,0,0,0,0,3,0,0,1,1,1,2,3,0,0,1,0,0,0
3,1,1,12,0,2,3,1,2,1,1,1,1,0,0,1,28,0,0,1,3,94,0,11,1,0,1
1,2,0,3,0,3,1,1,7,0,0,5,0,0,0,0,1,55,2,0,3,27,4,0,1,0,4
2,0,0,0,0,0,2,5,0,0,2,0,0,0,0,0,0,3,0,0,0,1,13,0,3,0,5
7,0,1,0,1,0,0,2,0,0,0,2,1,1,1,0,1,0,0,4,3,5,2,4,1,0,1
0,2,0,3,1,1,6,2,11,0,1,0,13,0,1,1,0,0,0,1,0,1,1,0,1,0,2
1,1,1,3,1,1,0,1,0,3,2,0,0,2,0,1,0,0,0,0,0,2,2,1,0,0,1
1,1,0,1,7,1,0,0,1,0,0,0,3,2,1,0,1,4,0,13,0,0,2,0,0,3,0
1,0,1,1,4,0,3,0,0,1,10,0,1,3,10,34,2,0,0,0,2,0,21,0,3,3,0
1,0,1,4,0,0,1,1,3,6,2,1,0,29,6,1,1,1,0,1,3,3,0,0,2,0,0
0,1,1,1,4,1,0,25,0,0,2,0,9,0,1,0,1,0,0,24,1,0,1,0,2,0,0
9,0,10,1,1,0,0,1,1,3,0,0,0,0,0,1,5,0,0,0,0,1,62,47,0,1,160
1,0,13,1,10,1,2,1,0,0,2,0,0,2,0,0,1,0,15,1,0,3,0,0,0,0,4
2,1,4,6,1,0,0,0,0,1,1,1,1,1,0,12,0,3,0,0,1,1,2,0,2,1,10
0,4,4,0,2,139,0,1,3,0,0,2,4,4,0,12,0,0,0,0,0,1,3,0,18,0,0
5,11,1,2,0,3,0,0,1,3,0,0,1,1,0,1,2,0,1,0,1,0,0,0,0,0,0
0,1,2,1,3,1,0,1,18,6,0,0,1,0,0,0,1,0,0,27,0,0,1,0,0,0,0
7,0,0,0,3,10,0,1,1,0,0,5,0,0,0,0,8,0,6,0,1,0,1,0,39,1,1
4,0,0,1,0,2,0,2,1,3,0,0,3,0,0,0,7,0,1,0,3,1,6,1,0,0,7
3,1,1,0,0,1,2,1,2,11,1,3,2,2,10,0,0,1,3,0,0,2,3,0,2,2,2
1,0,0,0,1,1,0,0,1,0,0,4,4,1,4,0,1,0,0,3,2,27,0,3,17,0,2
0,3,0,2,0,35,3,0,0,2,0,2,0,2,0,0,0,2,3,2,0,0,1,0,7,1,1
2,1,0,4,1,14,0,2,2,3,3,0,1,0,0,1,0,0,3,0,0,0,9,1,4,18,3
2,1,1,0,2,0,1,0,0,0,0,3,2,0,0,0,1,0,3,3,0,2,1,0,0,5,1
3,3,13,0,1,2,2,0,0,0,0,5,0,4,1,1,3,1,1,0,6,0,0,3,0,3,0
0,0,9,4,2,3,2,1,1,1,0,1,0,1,4,9,0,2,0,2,2,0,28,0,8,0,2
2,2,0,4,1,4,0,0,0,2,0,1,8,0,0,1,0,0,1,0,2,1,2,0,1,1,11
0,0,7,0,1,2,0,36,0,1,1,7,0,0,0,6,5,1,3,0,1,0,1,0,1,3,1
159,1,3,0,0,7,0,0,0,0,4,1,6,0,0,1,5,2,1,2,0,1,2,1,0,1,1
1,0,2,0,2,2,1,4,0,0,2,1,1,0,3,0,1,0,1,2,3,0,0,0,1,0,53
0,1,1,0,0,0,5,1,1,0,2,9,0,3,0,0,1,1,1,1,0,8,1,7,2,0,0
3,0,0,1,0,1,2,0,1,10,0,4,0,0,0,0,0,0,2,2,26,0,0,2,1,0,8
3,1,0,0,0,0,1,0,5,2,0,2,0,1,10,0,4,2,2,0,0,1,0,3,0,1,0
0,0,0,1,1,0,2,1,1,0,0,3,0,1,1,1,3,26,0,0,0,0,1,0,7,1,1
2,0,55,0,7,0,0,0,0,0,0,0,0,0,0,9,6,1,5,0,0,0,0,3,1,1,0
2,6,3,1,7,7,0,6,1,0,0,1,0,0,0,2,0,1,1,0,0,1,1,2,0,0,3
2,0,0,3,2,3,1,0,2,4,1,3,3,0,0,5,10,1,1,0,1,0,3,4,1,0,4
3,1,1,0,371,6,1,1,2,1,2,0,0,0,1,2,0,0,0,8,0,0,1,1,5,0,0
0,16,44,0,0,1,1,1,0,3,0,0,0,2,0,0,5,1,0,0,0,0,2,0,0,0,0
1,0,0,0,0,0,0,1,3,0,0,6,1,0,1,1,3,0,1,0,0,0,0,0,1,35,1
1,9,1,3,0,1,2,4,1,1,98,3,1,1,10,9,0,12,5,13,0,0,0,1,0,1,8
1,2,0,3,0,0,2,0,0,1,0,0,1,1,1,0,0,3,1,1,1,3,0,1,3,4,2
0,0,0,0,0,1,27,1,3,1,0,1,2,0,1,0,0,1,0,0,1,1,2,0,0,1,0
3,0,7,4,5,7,0,8,3,2,1,8,0,0,0,0,32,4,14,2,0,0,0,7,0,1,29
2,1,4,19,7,0,1,0,14,10,1,1,0,0,2,0,0,0,0,4,2,1,0,0,0,3,5
1,1,1,2,2,1,2,2,0,1,1,0,1,1,0,1,1,0,0,5,0,1,1,1,3,0,0
1,9,0,0,0,0,1,0,1,0,8,12,1,0,0,0,0,0,2,1,2,0,1,0,0,1,0
3,0,0,12,1,1,2,0,0,0,4,0,2,3,0,1,0,0,0,0,11,0,0,2,1,0,1
4,1,2,0,1,0,2,0,1,0,0,1,5,1,0,2,0,16,0,3,0,4,5,9,0,3,1
0,9,0,15,0,0,1,1,9,6,1,0,9,1,2,10,6,0,2,0,2,0,1,1,0,2,11
0,1,9,0,1,8,1,0,1,6,1,0,1,0,5,2,0,11,2,0,0,0,0,0,0,18,2
0,0,2,6,1,1,0,0,1,29,0,1,0,0,0,0,2,0,0,2,0,0,0,4,1,0,1
1,2,0,3,1,5,2,10,1,0,2,1,2,0,0,0,0,0,1,0,18,8,0,0,1,0,0
0,0,0,3,8,7,0,0,10,0,6,5,16,1,1,1,3,0,0,0,1,2,1,0,0,2,0
0,0,1,0,4,0,0,0,3,0,1,1,0,3,2,10,0,1,0,2,0,11,0,0,0,8,1
1,0,0,0,0,0,1,0,2,59,0,0,5,7,0,0,6,0,0,1,1,179,0,1,0,1,0
2,0,3,2,0,1,4,1,0,0,0,6,0,3,1,0,1,0,0,0,9,3,0,2,0,0,1
1,6,0,0,1,0,2,0,1,0,2,0,0,0,0,0,1,1,0,0,1,0,0,2,0,56,0
1,3,8,3,2,0,0,2,2,6,0,0,0,2,0,5,0,5,1,0,0,1,0,1,0,0,0
1,2,20,0,1,5,0,1,1,2,0,3,0,0,122,0,6,1,4,0,0,2,1,0,1,0,0
2,5,27,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,5,6,0,0,2,5,0,5,1
1,0,1,1,1,1,1,2,3,0,2,7,0,0,1,2,1,1,3,0,1,0,0,18,0,1,2
1,0,0,6,0,0,4,1,1,6,1,2,117,1,0,0,0,0,15,118,0,0,14,2,3,5,0
3,1,0,1,0,0,0,4,1,2,0,2,2,5,2,1,0,2,2,6,0,0,1,1,0,0,0
0,1,9,11,0,0,0,4,0,1,0,7,1,0,2,4,1,0,5,0,1,0,0,0,1,0,1
6,1,2,2,27,0,0,10,0,0,0,1,2,2,4,7,3,1,0,1,3,0,1,1,0,1,1
0,1,8,4,9,3,1,6,0,0,0,6,4,0,0,3,6,0,0,0,0,0,0,0,0,1,3
2,0,0,3,5,3,18,0,0,3,0,1,0,3,0,14,0,1,0,0,3,0,2,1,0,2,1
1,0,2,1,3,0,2,2,1,0,0,1,0,3,1,1,1,6,1,4,3,0,0,0,0,1,1
1,2,0,10,0,3,1,0,9,3,0,0,2,2,1,12,0,2,1,8,2,0,0,0,0,2,0
4,0,2,0,0,3,0,0,0,3,3,0,12,0,8,4,0,0,1,0,4,0,24,0,2,1,20
2,0,0,0,0,1,0,4,0,0,0,0,10,0,1,0,0,0,0,1,1,2,3,1,0,6,0
0,0,1,5,0,0,5,2,0,1,0,1,0,1,0,0,0,0,0,0,0,14,1,3,3,0,1
1,4,0,0,0,1,38,3,1,0,1,0,2,0,1,0,2,0,1,0,0,0,0,0,1,0,3
0,4,0,1,0,0,0,0,1,2,1,45,1,2,1,0,17,1,0,0,1,0,1,0,0,6,0
1,1,3,1,0,0,1,19,2,1,7,0,0,0,0,4,0,0,5,0,1,0,0,1,8,23,5
0,1,6,0,5,30,0,0,0,1,0,7,0,0,1,0,7,0,180,65,2,0,0,0,2,0,1
0,3,3,3,0,0,0,0,1,1,0,10,2,0,3,15,10,0,0,2,0,1,1,0,0,1,1
1,7,9,0,2,91,3,1,0,0,0,2,0,0,2,0,0,1,1,8,1,0,0,2,1,0,0
13,0,1,1,0,2,5,2,2,0,0,2,1,0,0,1,2,0,1,0,1,0,1,0,3,0,13
1,12,0,2,0,0,1,0,0,1,0,0,0,0,5,1,6,0,1,3,1,0,2,0,0,6,2
2,5,3,0,2,0,6,0,0,0,1,2,1,2,11,1,0,0,1,3,0,0,13,0,0,0,18
0,1,0,1,1,7,0,8,0,11,2,1,1,0,5,1,2,0,0,15,0,0,1,0,0,7131,0
0,0,2,0,2,0,0,2,0,0,2,2,2,3,0,0,0,0,0,6,12,1,2,0,0,0,0
0,3,0,1,0,0,1,1,0,0,2,2,1,1,0,0,1,1,5,24,8,1,0,0,1,2,1
0,2,0,3,1,1,0,0,0,3,0,1,0,5,0,2,0,0,0,0,0,2,0,1,1,0,2
0,1,1,83,1,2,0,2,0,1,0,0,1,2,1,2,0,1,2,1,1,0,1,0,0,6,6
5,0,0,0,0,0,0,0,2,0,2,1,1,0,3,0,0,1,0,0,4,0,0,0,0,0,0
3,0,2,0,26,3,0,0,7,22,0,4,0,1,10,0,0,0,0,0,1,2,0,0,0,0,5
2,1,12,4,1,3,27,6,2,1,8,0,4,3,0,0,7,0,0,2,1,2,1,1,2,1,54
7,0,0,1,1,1,0,0,0,0,3,0,1,7,0,10,2,2,2,12,0,11,13,1,0,0,10
1,0,1,2,2,0,0,1,1,1,2,0,0,1,16,0,323,6,5,1,0,1,0,0,28,1,1
3,1,1,0,91,2,0,0,13,0,0,2,1,1,0,1,8,0,0,1,0,14,0,1,109,1,1
2,0,0,1,3,0,0,0,1,0,0,0,2,1,0,1,0,3,25,3,0,1,19,0,0,1,0
0,2,2,5,9,1,2,0,13,0,1,4,0,1,0,2,0,0,1,0,1,1,0,0,2,0,9
18,1,2,3,2,1,0,10,0,0,0,1,4,29,0,0,0,5,0,1,0,0,0,0,0,10,0
3,3,1,2,6,3,0,8,0,0,0,0,1,0,2,1,0,0,0,2,0,0,5,2,1,0,2
2,1,0,1,0,0,0,2,4,2,2,3,0,2,0,1,0,0,2,0,3,0,3,5,2,0,0
0,6,9,1,2,0,3,1,0,1,6,1,0,0,0,0,0,1,0,0,1,33,0,0,0,0,0
