1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,p
0,3,3,1,1,0,0,1,2,1,0,2,1,4,2,2,0,0,1,1,4,1,6,1,0,1,1
5,0,0,0,0,0,2,2,0,3,0,0,0,14,0,1,2,0,2,1,0,8,3,14,3,0,0
9,1,4,0,0,0,2,1,2,0,0,1,1,1,7,0,1,0,74,1,0,1,1,0,1,2,11
0,2,1,5,1,1,0,0,0,2,0,1,1,1,3,1,2,2,47,2,1,1,1,0,2,0,0
0,1,0,9,0,18,2,0,1,0,0,0,2,0,2,0,2,0,0,2,0,3,1,0,0,1,51
2,0,8,0,0,0,1,0,4,2,0,1,0,1,7,2,0,0,1,2,1,1,1,0,0,3,2
2,1,6,1,1,1,4,23,2,0,0,0,0,0,6,5,1,1,3,3,0,0,0,2,3,2,4
1,1,7,0,0,7,2,3,1,1,0,2,4,0,13,0,3,1,7,1,1,0,0,0,0,1,6
1,1,1,15,2,0,1,0,0,1,0,0,1,5,0,3,1,1,28,0,0,1,0,0,10,0,1
1,0,1,6,0,0,0,1,1,0,0,19,2,0,0,1,1,0,81,1,0,0,2,0,2,2,2
0,1,3,0,1,0,2,1,0,1,13,0,0,1,1,0,0,5,2,0,1,0,0,1,0,3,12
1,0,2,10,1,0,1,1,0,2,1,1,1,2,0,0,2,1,1,0,4,5,0,1,1,0,2
0,0,0,20,0,0,174,0,4,0,2,26,0,0,1,3,0,1,4,1,2,1,1,0,0,1,3
1,0,0,3,4,1,1,1,1,9,8,107,3,2,1,1,0,0,1,37,0,1,0,1,0,3,1
0,0,0,3,0,0,0,1,1,6,1,1,0,5,3,0,100,0,0,0,0,1,1,0,0,0,1
0,3,30,1,16,5,0,2,3,1,55,1,2,0,3,0,0,0,0,0,0,1,0,0,1,2,1
0,0,4,0,29,1,1,1,2,0,1,0,0,0,0,0,1,0,6,0,3,0,0,0,0,2,5
1,0,1,1,0,0,0,0,3,0,1,2,0,0,2,1,0,3,0,0,0,2,1,3,1,2,1
0,2,1,1,0,0,0,1,0,1,0,0,0,6,0,0,1,0,9,1,0,0,0,2,1,6,53
0,0,1,1,0,0,4,6,0,2,1,0,1,1,1,0,1,0,1,0,3,2,2,0,2,1,6
0,0,2,0,0,2,1,0,1,0,1,3,1,7,2,2,1,0,9,0,1,1,3,3,1,0,2
0,2,2,2,2,1,0,1,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2
3,0,2,1,87,2,1,0,0,0,6,2,5,0,4,0,0,1,0,0,0,56,0,84,3,1,7
2,4,1,0,0,1,4,0,7,6,1,0,1,0,0,0,1,0,0,1,1,2,1,0,0,1,3
1,1,1,1,1,0,0,0,0,0,0,2,0,0,5,6,4,2,1,0,0,0,0,0,1,0,3
0,2,0,0,0,1,1,1,2,1,0,0,1,1,1,0,1,0,0,1,0,1,0,2,5,0,7
0,1,0,1,1,0,1,1,6,0,1,0,1,7,1,1,1,0,1,0,3,17,36,0,0,0,2
0,1,1,1,2,0,4,11,4,2,5,0,1,5,0,1,0,19,2,0,0,1,0,1,0,1,0
18,9,1,2,2,1,1,0,0,1,0,6,2,2,1,29,1,0,0,1,0,1,0,0,0,0,1289
0,4,3,5,1,1,1,0,0,0,2,2,2,0,1,0,2,0,1,0,19,1,1,2,12,5,1
2,0,0,0,0,1,0,0,0,2,6,0,4,0,6,2,2,1,1,0,1,32,0,3,2,2,1
1,0,5,2,17,0,5,0,19,2,17,1,5,1,3,0,0,1,4,0,3,9,4,1,1,0,1
0,0,1,3,0,0,2,0,2,0,17,0,0,2,0,2,3,3,0,3,2,10,10,2,0,0,5
13,2,4,1,3,0,3,0,1,20,5,0,1,1,1,0,1,0,1,2,0,1,6,0,0,0,0
2,1,1,0,1,1,0,1,0,0,0,1,0,0,2,3,2,0,0,0,0,1,2,2,1,0,4
2,1,0,2,0,1,1,3,0,1,1,1,1,0,2,0,4,7,0,0,0,1,0,3,0,1,0
1,2,0,2,4,2,0,1,1,4,8,0,0,0,4,1,0,1,16,0,2,1,1,2,0,0,15
1,1,2,1,0,1,3,0,0,1,6,0,1,0,2,0,1,0,0,1,0,1,1,1,2,2,3
1,1,0,2,0,1,7,1,8,1,1,0,1,8,1,0,1,0,1,1,0,1,2,2,3,2,10
0,1,0,1,3,1,3,0,1,1,0,0,0,0,0,3,1,0,0,0,3,1,0,0,3,5,2
