1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,p
0,4,2,0,1,1,1,0,1,0,1,2,0,1,2,1,1,0,0,0,3,1,0,0,1,0,0
1,1,0,3,5,0,0,1,2,2,3,1,1,2,0,41,1,2,1,0,4,0,0,0,0,2,2
0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0
1,1,2,1,1,1,0,3,1,1,1,1,1,69,0,3,1,1,0,0,0,0,1,0,0,2,0
0,2,3,0,2,1,0,0,1,0,0,0,0,1,1,0,1,2,1,1,0,0,1,0,0,0,3
2,0,0,1,1,1,1,0,1,1,2,1,0,0,1,2,3,0,0,0,0,1,1,2,0,0,12
0,0,0,1,1,1,1,2,0,0,1,1,1,2,157,1,0,1,0,1,0,0,0,1,1,0,1
0,0,1,0,2,0,0,1,9,5,1,2,1,0,1,1,0,2,0,1,2,0,1,0,1,0,3
1,2,0,1,0,5,1,0,2,2,0,0,0,0,2,1,1,1,1,1,0,0,1,0,1,0,0
0,0,1,0,3,0,1,6,0,1,0,1,0,0,1,0,79,0,1,0,0,1,0,0,0,0,3
2,1,1,2,9,4,0,0,2,2,0,2,1,0,2,0,0,0,0,0,0,1,0,41,0,1,8
1,0,1,0,0,5,1,0,0,0,0,1,0,0,0,7,0,2,1,1,3,1,0,1,0,3,0
2,0,1,0,0,1,0,1,0,2,0,0,0,4,1,0,0,0,0,0,2,2,0,1,2,0,3
0,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,2,2
3,2,1,1,0,22,0,3,0,1,1,0,1,1,1,0,1,1,2,0,0,1,0,6,1,0,0
1,31,0,1,0,1,26,2,0,0,2,1,2,2,1,1,0,0,0,0,0,0,1,0,0,0,1
0,0,3,3,0,0,1,0,1,0,0,1,0,1,1,0,0,2,1,0,1,1,1,0,3,1,0
1,0,0,1,3,1,0,1,0,1,0,3,1,1,0,0,1,0,1,0,1,0,5,0,0,0,6
0,2,4,2,1,1,2,0,0,0,1,0,1,0,0,0,14,0,0,0,6,2,0,0,0,0,0
2,1,3,0,0,1,0,1,1,24,0,1,1,0,1,1,17,1,1,0,0,1,1,2,0,0,2
1,0,0,0,0,0,1,0,0,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,6
2,1,4,6,0,0,1,1,0,2,3,0,1,5,1,0,0,0,0,1,1,5,0,0,0,0,1
1,1,0,1,0,2,1,1,5,0,2,0,1,0,0,3,0,0,1,0,0,1,2,0,1,0,6
3,1,0,3,0,2,0,0,0,0,1,0,1,0,2,0,3,1,1,147,0,0,0,1,1,1,9
1,0,59,0,0,0,0,0,26,5,3,1,3,2,3,0,0,5,1,0,0,0,0,3,0,0,0
1,2,5,1,4,1,3,0,2,0,0,0,2,2,0,0,0,0,0,0,2,0,2,0,36,0,0
2,1,0,0,0,7,1,1,0,0,1,0,2,0,0,1,2,1,0,0,1,2,0,2,0,0,1
0,0,0,0,360,0,0,1,2,0,0,2,2,1,1,0,1,2,0,4,0,1,2,0,0,0,3
0,1,0,2,0,1,3,0,1,1,1,0,2,0,0,2,0,2,1,0,0,1,0,1,0,2,0
0,0,2,1,0,0,11,1,2,2,2,2,0,1,17,1,1,0,4,0,1,0,0,3,0,5,2
0,0,2,6,1,13,1,89,0,1,0,2,0,2,1,1,0,0,13,1,1,0,0,1,1,0,2
1,4,0,2,0,3,1,2,8,0,2,0,1,0,3,1,0,0,1,2,1,0,1,1,1,0,1
4,0,3,1,0,1,1,0,8,0,1,0,1,0,1,2,1,0,1,22,2,1,1,0,2,3,1
2,0,1,2,0,2,1,3,0,2,0,0,1,0,0,1,3,1,0,0,1,0,1,2,1,1,0
2,1,2,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,6,0,1,0,4,0,0,2
0,1,0,0,2,2,2,36,0,0,0,2,0,1,4,4,5,20,0,2,2,8,2,0,0,1,0
