1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,p
2,0,12,0,2,3,0,6,1,0,1,0,0,24,0,0,8,5,0,0,1,0
0,67,0,1,1,1,2,0,0,9,0,1,5,3,3,3,0,6,1,2,2,1
0,5,198,0,0,0,1,2,6,1,0,0,4,7,0,0,9,3,2,2,2,36
1,2,4,0,0,7,3,7,1,0,0,1,4,2,0,0,1,0,0,4,10,0
0,1,0,3,0,1,0,3,3,1,0,0,0,2,0,0,6,42,0,0,3,2
1,0,2,13,5,11,3,2,4,0,6,0,1,0,1,0,2,1,6,5,0,0
3,0,0,1,14,3,0,0,25,0,3,3,2,2,3,4,1,6,11,0,0,0
0,0,0,1,2,0,3,3,0,19,0,0,48,1,1,6,1,0,2,2,0,0
1,0,1,3,0,1,0,42,0,3,1,0,3,6,1,7,2,0,0,6,1,0
1,1,0,7,0,0,1,31,0,1,0,2,0,0,1,1,4,3,0,0,5,26
3,1,1,1,2,1,0,0,3,2,0,1,0,0,1,1,1,1,0,2,1,0
3,2,0,11,0,3,8,6,1,1,32,0,1,0,22,0,1,0,2,0,1,6
7,0,1,1,2,31,0,4,1,0,2,0,1,3,0,0,10,0,4,1,2,0
0,5,2,8,0,1,3,1,1,1,1,2,2,3,3,0,1,0,11,1,3,0
0,1,1,23,1,2,0,1,50,2,0,0,0,1,2,2,3,1,2,3,1,1
0,0,1,10,0,1,0,0,0,0,0,9,2,0,9,0,7,1,4,1,2,1
1,1,0,1,0,0,0,0,1,8,2,1,0,3,0,0,5,1,5,15,0,3
3,1,1,2,3,6,1,0,2,4,6,1,7,0,1,2,0,6,43,1,0,9
0,0,0,1,26,0,2,11,4,0,1,0,1,1,1,0,8,2,2,1,1,0
0,0,0,6,0,0,2,31,5,1,1,6,0,7,2,3,4,1,2,1,0,0
1,2,0,0,4,0,1,17,1,1,0,0,5,2,2,1,0,0,0,4,1,0
0,1,1,1,4,2,0,0,1,6,0,0,1,2,13,0,3,13,0,14,0,0
0,2,0,0,0,6,0,2,0,3,0,2,1,5,7,1,1,1,4,1,0,11
1,5,1,1,4,2,0,1,3,0,2,0,3,1,0,3,1,6,7,0,3,0
0,2,5,0,0,1,4,2,2,2,0,3,2,1,3,1,1,4,10,2,4,0
0,5,1,2,13,1,1,0,5,0,0,0,0,3,1,1,1,4,1,0,0,4
2,0,0,15,2,1,0,2,0,0,0,2,0,1,1,5,5,2,3,0,5,2
2,279,5,1,0,7,7,1,18,1,2,0,5,2,1,3,0,0,0,1,1,28
0,0,3,0,1,3,4,4,0,0,1,3,0,0,0,2,0,0,2,2,0,3
0,3,1,6,1,3,2,0,4,11,324,0,1,4,1,7,50,3,1,4,0,2
2,0,0,2,3,3,12,5,3,0,2,2,0,0,2,0,1,0,0,1,5,0
1,1,0,0,13,4,1,4,0,9,3,0,10,0,4,1,1,0,1,4,0,16
1,65,0,0,1,2,1,0,0,2,7,2,1,0,29,7,0,1,0,25,0,2
1,0,0,0,0,1,0,4,0,10,6,2,0,25,0,3,0,2,13,0,0,0
0,1,2,3,0,0,0,0,2,21,3,9,0,1,2,3,1,0,0,1,2,1
0,0,14,1,1,0,1,2,1,0,1,0,5,0,0,0,1,10,8,1,0,3
2,0,0,0,3,0,4,1,0,5,0,0,0,5,2,1,0,0,2,0,5,0
8,0,0,6,0,9,0,0,2,7,1,1,0,1,0,0,0,5,0,0,1,0
1,1,0,0,1,1,1,1,1,1,1,0,40,1,1,1,1,1,2,1,0,8
0,4,1,1,1,0,1,0,19,1,1,0,4,0,0,5,1,0,0,6,8,1
2,1,0,2,1,2,1,1,1,6,2,22,0,2,0,0,0,1,1,2,0,26
0,2,1,0,51,10,0,19,1,0,0,1,1,0,3,7,8,0,3,0,10,1
1,1,2,4,1,0,0,2,0,52,11,3,0,12,0,9,0,3,1,2,3,0
5,0,8,0,15,0,2,1,1,6,2,0,0,1,5,2,42,3,3,1,0,20
