1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,p
0,0,4,2,2,0,2,0,1,11,1,2,2,0,1,1,0,0,1,1,4,1,0,0,2,0,0,2,1,0,1,13
2,0,1,0,1,0,1,0,4,0,0,2,2,26,4,2,18,1,0,0,1,35,0,1,2,3,0,1,0,2,1,1
0,1,0,0,15,4,1,3,1,16,0,2,0,3,0,2,3,2,1,0,1,1,2,0,1,0,1,0,0,1,1,0
0,1,3,2,5,44,0,0,1,0,0,1,51,0,0,0,4,0,5,0,1,0,4,3,2,3,0,1,1,0,0,12
1,0,1,0,0,0,0,0,1,0,2,5,10,1,1,0,0,1,0,0,10,3,3,2,0,0,33,2,5,0,0,0
8,0,15,0,9,0,0,0,2,1,0,1,12,0,1,3,0,0,2,1,1,0,1,1,3,1,1,0,0,0,1,0
6,0,1,2,0,2,0,1,0,14,1,3,0,1,1,14,13,1,1,1,0,1,1,3,3,2,2,3,1,1,0,5
1,1,0,1,1,1,1,0,2,1,0,0,2,2,0,2,3,2,0,4,1,2,0,0,0,4,0,0,1,0,4,2
0,11,0,7,2,0,3,5,5,0,5,4,186,1,1,2,2,4,1,3,2,1,1,0,1,2,0,0,0,2,1,1
0,0,4,0,1,1,3,0,6,27,0,0,0,0,1,2,1,0,3,1,1,0,2,3,2,2,3,1,0,1,1,5
0,3,1,0,2,0,1,0,0,5,0,4,3,0,0,3,3,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0
106,4,328,0,12,1,2,1,5,0,0,1,0,1,0,0,0,0,2,0,1,3,34,0,2,0,0,1,0,4,3,8
1,23,13,2,1,3,1,0,4,1,4,3,34,1,0,0,6,0,0,1,1,0,1,1,2,1,0,1,1,3,2,3
101,6,1,8,3,0,30,0,2,0,3,27,0,1,0,2,2,0,26,13,1,0,1,0,1,0,1,1,1,1,0,2
