1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,p
0,2,2,4,1,1,2,1,1,1,0,4,0,0,2,2,0,1,2,1,1,1,2,1,0,1,2,1,0,1,2,19
0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,8,0,2,3,1,1,1,0,0,0,0
0,2,0,1,1,2,2,2,0,1,1,0,3,1,0,0,0,1,1,0,3,2,1,1,0,1,0,12,0,1,1,0
2,1,2,3,1,0,0,0,1,1,0,2,1,1,1,0,0,3,1,2,0,3,1,1,0,10,0,2,0,2,3,1
2,1,1,1,2,1,2,2,1,1,1,0,3,1,3,0,1,0,0,4,4,3,0,2,0,1,1,3,0,0,0,14
0,1,2,1,1,2,0,0,2,0,1,0,2,225,0,0,22,0,1,1,1,3,2,31,0,4,0,0,3,2,1,6
4,0,1,1,2,0,0,1,2,1,0,1,3,2,0,4,15,2,1,1,1,1,1,17,3,2,1,0,0,0,0,78
1,2,1,1,1,1,1,1,1,1,1,1,3,1,0,0,2,2,0,1,0,2,0,0,1,3,2,0,1,0,0,1
0,0,2,1,1,3,3,1,1,1,1,3,11,0,0,0,0,3,5,0,1,1,1,0,1,0,1,2,0,157,1,19
0,0,3,3,0,1,0,1,0,1,0,0,0,1,0,3,1,3,0,0,1,1,0,2,1,1,1,1,57,5,0,2
0,1,2,5,0,0,0,4,2,0,1,1,0,1,1,0,3,1,8,0,0,0,1,1,1,57,0,1,1,0,2,1
2,0,0,1,2,5,1,1,1,1,3,0,2,2,1,1,2,2,1,6,0,1,7,1,3,1,0,0,0,0,1,0
2,4,0,2,1,1,0,2,2,1,2,2,0,0,0,1,1,2,1,2,0,0,1,2,0,0,0,6,19,0,1,2
2,2,1,1,0,1,0,1,1,1,0,1,2,0,0,0,1,0,0,0,0,1,2,42,2,2,0,0,0,0,1,2
2,4,0,0,2,0,0,2,1,0,2,0,2,0,0,2,1,1,4,3,1,2,1,2,1,0,1,12,1,2,1,0
2,1,1,0,0,2,2,1,0,1,1,0,2,0,0,0,0,0,0,2,1,2,2,3,1,0,1,2,2,0,2,1
1,1,1,1,1,3,2,1,0,2,1,1,1,0,2,1,0,4,3,0,0,1,2,6,0,2,1,0,0,1,0,1
2,1,2,0,2,0,1,0,1,2,4,2,1,2,1,7,1,0,6,0,0,3,1,1,1,38,0,0,11,1,1,0
2,0,1,1,1,0,1,1,0,1,1,0,0,3,2,0,2,5,1,0,2,2,0,1,0,1,0,3,25,1,4,8
1,2,1,2,1,1,1,1,0,3,1,1,2,1,1,2,0,0,1,4,1,0,0,0,0,0,12047,1,2,1,0,21
0,1,0,0,0,1,3,4,2,1,1,0,1,1,0,0,3,0,2,2,2,0,0,2,15,1,1,2,0,2,2,1
1,0,1,2,0,2,3,1,0,2,1,1,0,2,2,1,1,1,0,0,0,2,0,1,0,1,0,0,0,0,1,2
3,1,0,0,0,0,1,1,2,2,1,1,1,2,12,2,1,1,1,5,1,0,3,2,2,0,0,1,0,1,17,0
1,1,1,2,0,0,0,1,1,1,1,2,3,1,0,1,0,0,2,2,2,0,9,5,1,1,4,2,0,0,1,29
1,0,2,1,0,1,0,1,2,0,0,3,1,1,0,0,1,0,1,0,0,0,1,2,19,1,2,0,2,0,0,69
1,0,0,1,2,0,0,1,1,3,0,1,1,3,1,2,3,1,4,1,0,1,1,1,0,1,0,0,1,0,1,2
0,1,0,0,2,1,1,3,3,2,0,0,3,2,1,1,0,0,2,1,2,0,1,2,2,2,0,1,2,1,0,10
0,1,0,2,2,2,1,0,0,6,0,1,1,0,1,1,0,2,0,3,1,0,1,1,1,1,1,5,2,1,0,0
1,2,0,0,0,1,1,1,3,1,2,0,4,7,1,1,2,2,2,1,1,1,3,1,0,0,0,2,0,1,1,0
1,2,0,1,1,0,0,2,1,0,1,2,7,0,0,2,1,3,0,2,0,1,1,1,0,1,1,2,1,0,0,34
0,4,2,2,2,1,2,0,0,2,1,0,0,0,1,2,0,0,0,0,0,2,4,0,2,0,1,0,2,1,2,0
1,1,1,3,1,0,1,1,1,0,1,1,1,3,2,0,0,1,1,1,3,0,0,1,1,2,2,2,0,1,1,1
1,1,0,2,1,1,1,0,2,0,1,0,1,1,3,5,1,1,0,0,0,1,0,1,0,0,0,1,1,0,2,4
3,5,0,0,0,1,1,8,0,0,5,2,0,2,2,1,0,1,0,3,0,0,2,1,3,1,1,1,1,1,1,43
2,2,0,5,0,0,0,1,1,1,0,1,0,0,0,2,0,1,1,0,0,14,0,0,3,1,0,1,1,1,1,2
0,1,2,2,2,1,2,1,5,2,1,0,1,2,1,1,1,1,0,0,0,0,0,1,0,0,2,0,1,1,1,1
0,0,2,2,1,0,1,2,1,1,0,1,7,0,0,0,2,1,0,0,1,0,1,2,7,2,0,0,0,0,1,0
0,2,0,1,1,2,0,1,0,1,0,2,2,0,1,2,1,0,2,1,1,0,0,2,2,0,1,1,4,2,0,2
2,2,0,1,1,1,1,2,1,0,1,1,1,0,0,2,1,0,4,1,1,1,1,0,0,0,1,1,1,3,2,9
0,2,3,0,1,5,0,1,2,1,3,2,1,0,5,1,0,0,1,0,1,0,3,0,2,0,0,1,3,0,1,11
0,2,1,2,0,2,1,0,1,0,0,2,0,0,0,1,1,0,0,2,6,3,0,1,2,1,0,0,2,2,5,2
0,0,1,1,0,0,0,2,2,1,0,0,2,0,1,2,1,0,1,4,3,2,0,1,1,2,2,5,2,1,0,91
0,0,2,0,0,1,0,0,2,2,2,0,0,0,15,2,0,0,1,0,5,1,0,0,0,2,0,1,1,2,2,0
2,0,2,0,1,0,0,1,1,1,2,1,0,2,1,1,0,2,1,0,0,1,5,0,2,5,1,1,2,1,0,0
0,2,1,2,1,2,0,0,0,3,1,1,3,4,1,1,3,1,2,2,1,2,1,0,0,1,0,3,2,1,0,0
0,0,1,0,0,1,0,2,1,1,2,1,1,0,0,3,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0
0,3,1,1,2,1,0,2,0,2,1,2,1,1,0,0,2,0,0,2,1,1,1,2,1,1,2,1,0,0,0,1
1,0,0,1,1,4,2,1,2,3,2,0,0,1,0,0,2,2,0,0,0,2,1,1,1,1,1,0,11,5,0,0
0,1,2,3,1,1,2,0,1,1,0,1,3,3,2,0,1,2,4,1,3,1,0,1,1,2,0,2,2,1,1,1
0,0,1,1,0,0,1,1,1,1,3,0,1,0,0,2,1,1,1,1,1,2,1,0,2,0,1,2,1,1,1,39
0,1,4,1,1,0,1,1,0,0,3,0,1,2,1,3,0,0,4,3,1,2,1,2,0,1,1,0,1,0,0,2
0,0,1,0,0,3,1,1,3,0,0,0,1,0,0,2,1,0,1,0,2,1,0,0,0,1,1,0,0,1,0,213
0,0,0,1,0,4,1,1,1,5,4,0,5,1,0,2,0,2,1,4,2,2,1,4,1,26,0,2,3,1,2,2
1,1,2,1,0,0,0,1,9,1,0,0,0,1,1,1,1,0,1,1,1,0,0,2,1,1,0,0,0,4,1,12
1,1,0,1,1,1,3,0,2,1,0,1,1,1,1,2,0,0,1,2,0,6,1,1,0,1,1,1,2,3,1,0
0,1,1,2,3,1,2,1,1,3,3,2,0,1,35,0,0,2,1,1,2,2,4,0,1,0,3,0,1,0,2,0
3,1,2,1,0,0,1,2,1,2,1,0,4,2,1,1,0,1,1,1,0,2,2,0,166,0,2,0,1,0,1,7
0,1,0,0,2,0,1,1,0,4,1,2,1,0,1,2,0,1,1,3,5,0,0,2,0,1,0,56,0,0,2,213
2,2,2,2,2,1,1,0,1,3,0,4,7,2,0,2,0,1,7,2,2,1,3,1,1,1,2,1,1,5,1,1
0,1,3,0,2,1,0,0,0,2,0,3,0,0,2,0,2,1,0,3,1,2,1,0,0,0,0,2,7,1,0,1
0,0,1,0,2,1,1,1,4,0,2,0,3,0,1,0,1,0,2,1,1,0,1,0,0,1,1,0,2,1,0,0
3,0,0,3,0,3,1,1,2,0,2,1,1,0,1,2,0,0,2,0,4,1,0,0,1,0,0,1,0,2,0,3
0,0,0,0,2,1,1,0,1,0,0,2,3,0,2,1,1,1,2,0,1,0,0,2,0,2,0,0,1,3,0,3
0,1,1,0,2,0,1,1,5,1,2,0,0,2,2,1,0,1,1,4,1,0,1,0,1,52,0,0,0,1,0,5
3,1,0,4,2,0,1,2,2,1,2,1,0,0,1,2,2,2,3,23,0,4,1,1,1,2,1,3,1,12,0,3
0,2,1,2,0,2,2,2,2,0,0,2,0,3,1,0,1,1,0,0,1,1,1,0,4,1,0,1,0,0,0,0
2,1,3,0,1,1,0,0,3,1,0,0,1,0,0,1,2,1,2,0,0,2,1,2,0,1,2,1,0,0,2,1
1,0,1,1,1,0,2,0,1,0,0,2,0,1,0,0,0,0,3,0,1,1,1,1,1,1,0,1,1,2,0,6
1,0,0,2,2,0,0,2,3,0,1,3,2,1,1,2,0,2,3,2,1,0,0,1,0,0,0,1,1,2,0,5
3,0,0,1,1,0,0,1,1,0,5,1,0,1,2,3,1,0,0,1,5,0,2,2,0,3,0,0,0,0,0,0
2,1,1,2,1,1,1,2,2,1,1,2,1,0,0,0,0,4,1,0,1,0,2,1,0,1,0,1,1,4,1,58
