1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,p
0,1,1,0,3,1,2,7,1,4,1,11,18,1,1,1,12,1,14,0,1,1,0,0,1,0,0,0,1,0,0,0
1,3,14,0,0,4,2,1,3,4,0,0,0,0,8,3,7,0,1,1,9,0,76,0,2,1,3,1,2,1,0,8
70,0,2,1,0,8,6,11,7,1,0,3,1,1,0,5,2,0,1,1,5,15,7,2,4,2,2,1,0,0,1,1
0,4,0,26,2,0,2,0,1,5,7,2,2,92,12,0,2,0,9,3,1,2,9,0,1,1,0,0,0,1,0,2
0,4,0,1,0,12,5,0,0,93,1,23,2,11,178,3,2,8,2,2,0,32,1,0,4,1,0,1,0,5,2,7
1,5,7,0,1,1,30,2,1,4,4,0,9,0,4,2,1,0,0,2,12,2,1,0,1,0,2,0,0,4,2,0
3,0,0,0,0,0,13,1,0,5,1,0,3,0,1,99,0,1,34,1,0,6,0,26,0,0,1,1,8,5,1,2
0,0,0,0,0,7,0,0,2,2,0,0,5,0,0,0,0,0,3,2,0,0,0,0,1,6,0,1,0,0,4,18
2,0,22,3,1,2,1,0,1,1,2,0,13,64,0,0,1,1,142,3,0,3,1,0,0,1,1,0,15,1,2,1
0,0,1,0,0,0,2,10,0,2,0,0,0,8,0,0,1,0,1,6,2,2,0,0,0,0,2,4,0,2,0,3
0,1,0,2,0,43,5,0,0,12,1,1,5,12,0,4,0,0,0,5,0,0,2,2,2,0,2,5,0,2,0,0
2,3,5,0,1,14,4,54,2,28,2,4,10,0,2,1,0,22,0,2,0,5,1,0,2,4,0,1,2,1,0,0
0,7,22,0,0,1,0,2,1,0,10,1,0,3,3,0,1,0,1,1,4,0,2,1,2,1,1,2,0,2,2,4
1,0,0,0,2,0,1,0,0,34,3,0,4,2,3,0,1,0,5,0,29,0,0,1,33,2,2,3,1,0,3,8
1,3,0,2,0,1,4,0,2,15,0,2,1,1,2,8,0,4,0,3,0,1,1,1,1,1,2,1,0,4,1,2
7,2,0,0,1,0,0,0,0,6,0,0,6,0,3,0,4,2,3,1,1,2,1,3,2,2,3,1,0,2,1,0
1,1,5,1,0,1,0,63,0,1,0,1,0,1,0,0,23,1,8,0,0,0,0,1,1,1,1,0,0,0,0,1
