1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,p
0,2,3,3,1,2,7,1,16,0,4,0,42,1,6,1,0,0,2,1,10,2
1,0,0,0,0,2,4,4,28,9,32,21,62,0,0,1,0,2,0,8,69,0
11,1,19,2,1,2,0,4,5,7,5,1,32,20,11,3,0,6,3,1,0,1
2,2,4,29,0,5,7,56,0,0,2,2,0,26,0,1,1,0,1,0,1,0
0,0,1,2,2,0,0,0,1,13,2,1,1,124,0,1,9,0,1,34,2,17
1,0,0,11,0,1,0,1,26,3,0,0,4,0,0,3,1,0,0,7,4,1
0,1,0,0,1,4,2,0,0,5,3,6,0,0,4,2,1,1,1,0,5,0
0,2,0,0,2,1,1,5,43,0,1,6,10,3,2,46,138,60,0,0,1,10
1,0,1,6,0,1,0,1,9,1,0,2,0,6,94,10,0,0,2,0,1,0
15,1,3,4,12,0,1,0,1,0,3,0,6,30,0,0,1,1,2,1,0,0
1,2,0,0,0,6,0,24,5,0,1,0,1,0,1,2,3,1,2,0,54,3
1,4,5,1,0,0,1,0,0,2,0,16,9,1,2,1,4,2,3,0,6,20
4,1,1,1,1,0,2,2,5,0,19,0,2,2,6,0,38,5,0,26,1,1
2,0,2,0,1,0,6,0,0,0,1,15,0,0,0,0,1,0,31,0,0,22
1,4,25,2,1,1,3,1,0,0,0,0,0,0,14,3,0,0,23,0,18,2
0,5,0,0,3,1,0,1,6,4,0,4,2,11,2,1,0,12,1,0,3,0
3,5,0,1,3,0,4,44,12,23,1,1,0,7,1,0,0,0,1,2,0,13
2,2,0,24,1,0,1,199,1,0,6,0,5,1,0,6,4,0,0,0,1,2
9,0,75,2,0,1,0,125,2,16,9,8,17,0,0,3,15,2,4,0,0,0
2,0,1,0,1,0,87,0,5,0,0,4,2,6,10,0,3,1,0,2,0,0
1,3,1,1,4,0,9,4,0,4,14,0,0,0,0,0,0,1,1,0,0,5
1,9,1,0,3,2,1,0,2,2,0,0,5,0,0,3,1,1,1,1,1,0
0,1,3,1,0,0,1,1,6,5,7,0,1,1,0,5,14,382,0,1,22,4
0,3,3,1,4,1,0,2,3,1,1,1,10,1,1,0,3,4,0,0,1,0
3,0,40,2,3,30,1,5,15,0,1,58,0,0,1,6,21,0,1,0,1,7
8,0,2,0,0,0,1,3,7,1,0,1,2,0,395,2,2019,3,250,4,1,0
1,18,0,0,4,1,8,5,218,2,1,1,1,0,1,1,5,0,0,14,4,0
18,0,1,3,1,0,11,2,0,1,0,13,1,0,0,87,1,5,10,0,1,7
0,1,0,148,0,4,0,0,56,16,0,1,0,1,4,0,0,2,4,4,1,0
2,1,2,3,0,8,2,3,0,0,2,0,33,0,0,2,8,0,1,0,2,13
3,0,0,3,0,2,5,1,1,0,0,142,1,0,9,0,4,3,2,9,1,1
1,2,2,2,16,3,3,0,0,23,0,9,1,3,6,3,2,0,5,0,1,0
0,1,4,0,4,5,3,1,3,2,0,3,2,18,0,6,1,1,2,0,0,0
0,5,1,4,1,9,1,6,1,0,3,1,1,2,67,0,36,1,0,27,5,2
0,1,0,0,0,0,12,0,0,0,3,1,0,6,0,3,4,0,0,7,4,9
0,2,5,0,1,18,0,0,10,2,0,0,10,3,0,4,1,6,6,12,1,1
1,3,41,1,1,1,2,0,2,4,0,15,6,1,1,2,0,0,0,0,0,1
0,3,2,8,5,0,0,1,4,10,3,0,0,11,9,0,1,0,4,19,0,0
7,3,2,3,23,0,17,1,2,1,5,1,2,0,0,1,0,2,1,0,1,0
190,5,0,1,2,32,0,2,0,1,1,3,11,0,2,40,0,0,2,2,2,0
0,7,3,0,0,0,0,4,1,2,2,2,0,0,1,0,0,0,1,9,0,10
74,2,2,0,0,2,4,0,0,7,5,0,2,0,3,1,2,11,1,6,1,2
3,1,4,1,17,4,102,97,3,6,0,1,7,3,17,1,4,0,4,2,3,2
0,0,0,2,5,0,0,25,8,1,2,0,1,1,26,1,0,13,0,2,1,0
4,1,0,1,21,0,1,0,9,3,2,3,0,0,9,0,0,0,0,1,14,1
0,5,0,0,0,0,0,3,3,2,0,8,0,4,1,5,2,9,0,10,1,11
1,4,0,3,0,3,5,5,1,6,40,16,3,6,21,1,2,1,7,0,1,0
1,2,4,4,1,3,1,2,0,1,0,60,0,0,7,4,20,0,4,1,6,0
5,4,1,0,0,0,6,5,5,3,5,0,0,2,2,1,2,0,1,61,5,0
0,10,1,1,1,6,4,4,3,6,3,14,0,4,87,2,0,1,0,1,2,3
0,10,13,0,0,2,0,0,2,4,0,2,16,8,0,7,2,0,2,0,0,3
0,1,1,16,0,2,10,4,0,3,44,0,1,3,1,0,0,3,1,0,1,19
1,1,0,0,9,18,3,1,3,0,15,0,2,2,3,0,0,0,0,232,7,1
2,0,5,1,0,1,8,1,12,1,2,4,2,0,1,0,1,0,4,0,10,3
1,1,1,2,2,37,0,0,1,0,4,1,0,1,1,1,0,0,9,1,2,1
7,5,5,2,7,5,0,21,0,1,3,0,49,0,8,0,0,6,8,3,3,7
0,0,8,0,1,1159,1,2,1,18,4,1,5,7,30,3,3,22,1,1,0,2
0,4,6,2,1,0,1,0,9,11,1,4,0,7,534,3,2,1,0,1,1,5
4,2,8,0,35,1,1,11,3,1,2,2,0,0,0,0,0,1,0,0,3,1
3,0,31,1,0,0,2,0,1,1,1,2,0,2,4,3,4,0,4,0,0,0
0,2,2,0,0,0,17,0,0,8,0,5,1,1,0,0,20,3,0,3,1,2
0,0,6,0,0,137,3,2,4,0,0,28,0,1,0,0,0,1,6,0,0,0
10,0,0,0,0,0,0,8,0,9,0,17,0,1,16,0,5,0,14,1,0,0
0,27,0,20,4,0,1,5,0,0,0,0,1,19,2,0,9,0,0,0,3,4
1,1,1,10,0,0,1,0,0,3,1,0,0,0,0,15,2,2,0,0,2,23
1,0,5,20,0,1,0,0,1,5,0,1,0,0,3,1,0,2,0,1,0,0
24,46,1,14,0,0,3,0,23,0,7,1,288,0,2,0,1,1,0,4,3,1
0,5,0,2,0,2,5,4,3,6,0,13,3,3,0,0,0,0,12,0,47,1
1,2,0,1,0,2,0,0,0,39,0,1,2,2,57,1,0,5,0,0,4,5
2,3,1,12,0,0,3,38,18,3,0,1,0,1,0,0,0,1,0,1,1,0
1,3,1,0,1,39,3,0,20,0,0,0,1,2,0,1,0,1,1,4,0,0
145,1,7,3,0,1,6,0,0,1,1,0,9,26,0,0,4,8,3,0,1,0
3,1,2,1,0,2,0,18,5,0,16,0,1,0,23,5,18,0,0,0,1,0
8,1,3,0,0,1,2,1,5,2,7,0,1,4,3,76,1,0,26,7,0,1
3,0,1,2,0,5,3,0,1,3,0,1,10,4,1,0,2,1,34,2,0,2
1,2,1,3,0,1,2,0,0,0,0,116,7,12,40,0,3,9,2,1,0,56
0,0,3,72,0,0,2,0,6,0,45,17,2,8,17,0,1,0,0,0,0,1
3,0,3,0,0,0,1485,1,2,1,1,0,0,3,0,2,0,6,2,0,1,0
3,9,0,1,8,1,1,1,0,0,1,5,0,1,0,2,1,1,1,4,1,0
0,4,2,0,2,0,1,9,43,11,5,4,3,3,2,0,0,2,0,5,0,29
1,0,0,0,4,0,34,4,0,111,6,26,1,3,9,3,2,1,5,1,0,2
0,10,8,24,0,0,8,0,9,21,1,2,0,11,12,1,1,1,2,4,2,1
0,0,1,7,6,2,1,0,2,0,0,1,9,3,2,0,31,26,1,0,249,0
2,0,0,0,4,2,1,1,10,0,8,2,1,22,0,1,0,1,1,0,0,13
4,1,0,11,1,0,0,0,1,1,1,2,7,58,4,5,9,2,16,0,0,1
3,0,1,2,0,1,1,0,0,2,0,0,0,4,0,0,0,0,2,22,0,1
0,4,0,1,0,4,0,3,0,6,3,1,0,3,2,28,0,0,0,0,2,0
0,0,19,26,2,2,1,0,17,38,0,1,1,1,15,2,1,1,0,3,1,2
0,4,1,9,0,0,1,3,0,2,31,29,81,2,0,0,9,0,0,0,1,1
3,0,1,1,0,0,0,0,6,0,1,1,1,0,3,2,22,1,1,0,0,1
2,0,0,6,2,0,0,1,0,7,10,3,3,2,1,183,1,1,4,1,2,1
3,0,0,0,0,2,14,0,6,2,0,1,4,1,5,7,2,5,0,1,0,6
