1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
177838,187227,197518,209015,222176,237798,253289,273100,296532,320598,349995,394376,434901,484835,548212,646135,741001,856257,1054442,1269327,1535359
177313,187738,197519,209642,221534,236824,253387,273470,296267,322250,353998,384123,430420,481307,542822,634480,738501,892284,1056204,1292656,1641257
176847,186898,197216,210063,221332,236447,253581,272848,294923,322603,351109,390366,429830,482041,549088,632520,726244,869790,1023641,1243043,1562844
177128,186791,197990,209435,221626,236914,254052,272770,294539,321417,350118,386804,434210,482920,557274,641146,758536,852181,1058953,1254146,1553662
178240,186733,197295,207867,221094,237270,253237,272914,292310,322188,350408,384110,437467,489463,554701,618461,739151,853221,1086530,1272402,1566994
177490,187177,197642,208607,222847,236516,253897,273834,294865,319447,351829,390514,431414,487613,546747,627572,739510,856544,1085077,1241379,1520359
177763,187197,198137,208765,221040,236425,252477,273714,295310,320139,352422,386280,437864,486561,547458,626978,741448,853627,1069045,1242731,1643320
176465,186484,197112,208558,222533,235919,251599,272762,295673,320233,351576,388780,427690,488604,551436,619726,720982,842986,1040202,1299641,1557182
177374,186550,196690,208266,223097,236618,253713,273439,294533,321901,353113,384982,431902,481862,551603,626549,755317,857505,1024388,1317695,1751194
177609,186892,196733,208863,221979,237863,253455,272576,296658,322170,351802,389812,432032,481042,540935,635349,730781,870365,1044090,1220829,1517136
177973,187130,196315,209130,222186,235141,253734,272751,298250,322072,349197,387100,431070,490397,558518,623101,732566,861462,1040449,1287697,1620570
178257,186853,196707,207415,222418,236431,254198,272843,294457,319451,354675,387901,426266,485708,549504,632668,738870,850864,1035507,1247033,1640718
177338,186638,196391,209502,222084,235696,253140,272834,295154,321010,348484,387878,433943,483234,548505,621553,732648,875763,1007295,1262035,1545794
176801,186528,197045,209382,221253,234698,253023,272378,293704,320403,352537,384404,433142,483296,550177,622072,743698,871648,1033705,1315737,1617412
177589,186897,197934,208261,221874,235779,253131,272861,292866,317756,352390,393007,433894,482941,549448,648394,745189,863115,1015037,1246673,1535763
177311,187317,197042,208188,222146,237181,253866,274903,294623,321762,354109,388396,432632,482322,553855,618754,749413,865212,1002251,1274919,1586821
176925,187634,197195,208530,221535,234329,252748,271336,294570,322104,350143,387226,433783,485540,549844,636601,732218,881844,1027358,1259563,1485153
177455,186808,197348,210143,223375,236840,254050,272958,295219,318544,349007,387548,427849,484908,551334,644395,722347,843718,1007803,1265537,1668588
177470,186135,197705,210236,221720,236382,253833,272215,295346,322954,350435,387689,429645,480752,541457,633384,733782,858220,1044865,1254146,1606421
177145,186514,198009,209530,221717,237220,254484,272134,294927,318109,351203,388087,433961,488580,546407,621434,717499,887740,1008155,1247646,1507993
177767,186606,198129,208717,222589,236925,253678,272246,294433,321517,353172,386198,434375,472776,555224,623569,729745,868127,1012209,1228510,1581678
177264,186890,197265,208790,221832,235718,252366,271407,294202,319761,354142,385472,430774,491853,555824,624684,734281,885340,1033721,1182083,1672249
