1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
890272,935754,989884,1048005,1115299,1188257,1273778,1377955,1492850,1620481,1786649,1978732,2194902,2472001,2843537,3252614,3796192,4474695,5414871,6455975,8200829
890258,938906,990237,1051437,1114285,1188690,1279289,1376707,1487192,1623269,1781716,1964136,2199830,2481971,2812746,3276264,3839605,4541301,5332011,6607333,8393540
890511,935157,991230,1048851,1117995,1190637,1274412,1373967,1487487,1619945,1778829,1977393,2209443,2487349,2811127,3264207,3798560,4503111,5322336,6836167,8382709
890542,937639,991314,1048050,1116739,1188997,1274991,1378757,1489917,1622343,1786936,1967141,2188190,2468562,2844054,3292857,3805933,4505188,5385436,6778682,8385160
889590,936063,992308,1048816,1117043,1191613,1274732,1376068,1490222,1625417,1783723,1977300,2186775,2478439,2817751,3286908,3781306,4522353,5578923,6547357,8062113
889489,935975,990194,1050024,1113822,1192321,1276037,1376070,1491921,1621419,1785119,1972997,2210960,2486971,2809249,3272483,3798980,4495557,5405338,6775735,8267689
888932,937809,990831,1051285,1116921,1191442,1277177,1377396,1489282,1624733,1780253,1968510,2208741,2475321,2811140,3248773,3817431,4542742,5410568,6566182,8180681
890601,936054,989302,1051014,1114951,1190609,1278832,1376734,1492628,1626920,1779282,1973874,2202541,2491428,2825552,3230240,3809819,4521947,5512816,6630905,8215477
889785,937677,991640,1049155,1116090,1191364,1278792,1372784,1488361,1621545,1784935,1974637,2204733,2483986,2806478,3275645,3808570,4481528,5428885,6612804,8195265
891700,936689,990310,1050468,1116981,1192075,1274347,1377082,1489559,1622934,1784348,1971333,2211680,2506639,2816378,3271045,3770373,4607821,5413817,6734187,8309858
889225,937361,990267,1049721,1115904,1191397,1279010,1379244,1490134,1626239,1782084,1971909,2214383,2475262,2844359,3275017,3801376,4535627,5356608,6741680,8460641
889481,937187,990888,1048822,1114834,1190400,1276089,1374869,1487025,1623838,1778255,1967709,2192314,2495935,2832843,3284252,3747398,4470558,5486720,6652921,8119331
888641,936741,990157,1050194,1114364,1190905,1277999,1372532,1493948,1622388,1787211,1973650,2213777,2478935,2859058,3254376,3780875,4512355,5512490,6577392,8265650
889966,937759,989021,1048855,1115086,1190549,1278147,1377361,1492046,1624350,1782299,1977539,2207057,2480900,2845834,3278843,3824182,4552560,5442370,6651834,8263524
890655,936740,989697,1047431,1114307,1191604,1277325,1378811,1490100,1625534,1781246,1978668,2199936,2486240,2816270,3279917,3772753,4546659,5444339,6575950,8102588
889350,937713,989969,1050583,1117349,1189449,1273397,1377565,1488367,1623701,1786700,1983486,2208142,2505991,2831257,3283930,3830242,4502364,5366883,6748872,8166419
889653,937466,988005,1048697,1114446,1190810,1275225,1378270,1489406,1622282,1779553,1979160,2208952,2462058,2830626,3271049,3830543,4538697,5482479,6573764,8124688
891438,936468,990530,1050169,1114458,1192923,1276801,1376008,1489102,1626810,1785841,1972754,2206230,2486145,2836424,3244053,3791025,4518201,5469399,6669823,8200846
888984,937106,991081,1050976,1112371,1190873,1277289,1374975,1489053,1626104,1776870,1974006,2200932,2479044,2829326,3277899,3794131,4455377,5312423,6688036,8375154
888670,935363,989016,1049354,1112875,1189078,1277876,1374524,1486758,1625283,1787200,1980288,2188825,2503632,2805487,3239267,3829524,4513269,5500205,6670084,8294207
887771,938014,990558,1050415,1115786,1192762,1278222,1376597,1491448,1623852,1792485,1965125,2198663,2469773,2815129,3278676,3823343,4485146,5436137,6729183,8323308
888782,936484,988854,1047773,1114179,1191638,1276575,1377513,1489687,1626438,1789466,1966430,2202647,2489716,2841051,3265409,3791818,4488328,5464596,6721834,8196587
890156,938231,988462,1047504,1116827,1191606,1279063,1379432,1487542,1629481,1778898,1968137,2210689,2481444,2825808,3239953,3789392,4535607,5427698,6539440,8078133
890378,937895,990302,1047436,1115886,1191099,1277945,1377138,1488319,1623907,1788068,1980011,2196207,2466001,2806820,3271944,3811322,4557351,5433713,6594732,8074978
888401,938606,987968,1050174,1117351,1190788,1276187,1375467,1491693,1622913,1779158,1972582,2197723,2493380,2824744,3253682,3821878,4519397,5365266,6600781,8304915
890498,939473,990443,1049655,1115889,1186762,1276399,1376186,1489571,1624883,1782327,1982024,2202898,2483116,2846469,3269410,3857808,4542589,5427350,6564794,8353836
889817,937423,988991,1049159,1115795,1192322,1280941,1379488,1492346,1626156,1776040,1977820,2195735,2477053,2821550,3273277,3757839,4498598,5548038,6688102,8162286
889404,938157,990528,1048156,1115145,1190803,1276052,1378470,1489593,1628779,1787762,1966539,2198225,2489250,2810965,3260750,3827614,4535551,5487967,6646341,8093628
890302,937823,990280,1049581,1113751,1193699,1274243,1379807,1489611,1623599,1790725,1971593,2188112,2483919,2820260,3237538,3771522,4578096,5447762,6873206,8223095
889240,937585,990143,1049606,1117525,1188928,1275566,1374783,1489963,1625660,1782661,1975527,2208968,2482063,2837478,3249117,3842399,4537315,5211441,6620601,8136174
889265,937249,989899,1046998,1116413,1188200,1278224,1375829,1489012,1627070,1783007,1966938,2210708,2484656,2821973,3276066,3810205,4424567,5462527,6657239,8191681
891540,937443,989892,1048742,1117640,1189292,1275128,1375515,1492164,1626378,1782035,1977450,2203559,2472879,2837709,3266912,3799871,4507422,5426889,6594718,7998018
890759,935846,988227,1050006,1119145,1189557,1276641,1376484,1486384,1624863,1788928,1975633,2188782,2479781,2812121,3240577,3831611,4511634,5398459,6581155,8125640
889570,938791,989932,1045462,1115871,1186416,1274464,1373438,1486284,1623567,1780419,1986615,2210496,2473649,2846583,3245077,3801221,4550415,5439271,6651233,8163694
890950,935214,990365,1050106,1116798,1193812,1276665,1374632,1492734,1626014,1779198,1976916,2197697,2474332,2815306,3242441,3850326,4523210,5362088,6604142,8156221
889084,936952,991207,1048303,1115259,1192104,1277590,1375587,1492120,1627960,1781495,1978120,2201430,2473469,2818466,3275300,3829831,4528076,5400819,6831645,8037917
888430,936992,991576,1050054,1116330,1190481,1275769,1377723,1490903,1625472,1786245,1971318,2185337,2477721,2828035,3246120,3767279,4483813,5426779,6714073,8412502
890392,937251,991461,1049301,1113722,1190662,1277131,1378198,1494082,1624284,1781982,1958536,2202356,2483158,2840297,3240120,3802657,4570672,5560951,6542093,8281157
889609,938139,989952,1047772,1116699,1189199,1273762,1374358,1487204,1621294,1786846,1970163,2197065,2486644,2815723,3251696,3781235,4571195,5468874,6772055,8183808
890290,935566,990792,1050676,1116989,1192291,1275520,1373414,1492613,1626934,1779745,1970853,2210774,2475076,2811307,3268376,3807096,4468424,5440936,6596168,8382077
888561,935661,990498,1050135,1116826,1187329,1275514,1374079,1488647,1621963,1789260,1973562,2207955,2483836,2819710,3240542,3790104,4487994,5316891,6489787,8306006
889886,938923,988988,1050256,1118917,1192350,1279208,1374900,1492900,1627560,1786566,1973022,2204264,2483197,2822571,3247113,3772742,4517232,5438330,6777379,8184712
890236,936415,990647,1049059,1117451,1192166,1273462,1376850,1485426,1618402,1782528,1974982,2196422,2485133,2824538,3270481,3797659,4501037,5462537,6702859,8405517
890581,938936,990883,1049149,1115544,1190874,1278778,1374934,1492386,1627597,1783209,1971414,2203210,2468826,2823002,3274430,3806817,4459079,5456124,6628631,8348703
891057,937906,990161,1048314,1117407,1193901,1272649,1374587,1490756,1627652,1785242,1963017,2203185,2473661,2823508,3242962,3829384,4436694,5451220,6595351,8203149
889171,938556,990026,1048966,1115825,1190084,1277927,1376526,1489624,1622800,1779063,1958545,2209052,2480873,2831528,3265728,3785254,4560935,5378672,6691700,8571856
889328,936805,992078,1048824,1116311,1188679,1276937,1376559,1491085,1623587,1784912,1979886,2200022,2477511,2815891,3257438,3824355,4537667,5369245,6635992,8268403
890703,934974,992013,1047360,1115727,1190049,1274802,1375952,1494369,1623813,1783264,1976844,2203105,2488549,2836542,3231182,3808055,4509639,5403333,6704542,8363194
889712,936578,988947,1048785,1118402,1191449,1278816,1377351,1487861,1621307,1775910,1971902,2214811,2478426,2813580,3247454,3798905,4501946,5475267,6611554,8289887
891911,937194,989623,1050622,1114152,1187387,1276172,1372549,1489990,1622559,1786905,1973955,2202263,2482384,2823781,3287906,3844476,4470448,5418002,6627422,8210265
889080,938249,991465,1048428,1116815,1188718,1276576,1376875,1490103,1622668,1781587,1964856,2209737,2478807,2810420,3262603,3774310,4481257,5448201,6501068,8258398
888320,937239,990404,1050693,1115714,1191044,1278856,1374826,1489245,1624004,1783622,1971761,2195922,2502936,2819840,3246766,3836588,4488176,5443239,6616755,8136848
889019,935896,992341,1049029,1115542,1191246,1275616,1378996,1490049,1622027,1786118,1966541,2199441,2483906,2822738,3258423,3813749,4552270,5383116,6551358,8319115
889272,935548,991091,1048138,1117827,1189244,1275202,1380022,1495510,1618646,1780877,1976793,2197311,2482883,2828994,3280769,3828431,4578535,5351454,6643218,8282378
890142,936857,992401,1048436,1114422,1190194,1277836,1376757,1491610,1620608,1780131,1970754,2204809,2486142,2823533,3226413,3837823,4557506,5435789,6610712,8372878
888894,937788,990690,1049197,1116639,1193262,1271659,1377152,1492981,1623719,1785080,1968171,2203918,2489516,2845092,3262049,3841413,4509589,5477854,6633208,8280316
888777,936515,989854,1050774,1115757,1191471,1276521,1378826,1488268,1627156,1784495,1975179,2205571,2485434,2847577,3257593,3791416,4487389,5417166,6540168,8194500
891102,937971,988807,1048502,1113392,1194722,1275957,1376188,1492464,1628847,1787060,1984120,2216202,2473575,2818609,3263044,3811105,4436096,5455033,6595208,8173626
889504,937478,990177,1051875,1114899,1190742,1278244,1374574,1494020,1623288,1786725,1971106,2204279,2477561,2836542,3237642,3825600,4490178,5429195,6575238,8343113
889084,938104,991029,1048468,1116259,1192427,1275823,1375985,1491588,1627282,1777988,1968475,2198962,2499856,2815853,3256328,3786336,4527489,5429191,6697035,8236205
887958,937184,991518,1049345,1116663,1189702,1276625,1374657,1490403,1619789,1781887,1970151,2213965,2476461,2818787,3234417,3797368,4570777,5462346,6560374,8246392
891100,936981,990622,1045873,1113223,1190137,1279599,1374235,1488412,1627184,1783210,1976086,2196185,2488966,2819144,3252977,3810395,4501392,5422940,6652829,8286369
889715,938865,989018,1050245,1114879,1190762,1278289,1374566,1489647,1627015,1786022,1964674,2205292,2495762,2843572,3263704,3821425,4509240,5452540,6576798,8333809
888538,936802,990408,1049778,1116877,1192223,1272921,1374315,1491413,1622231,1780846,1969647,2195341,2469468,2817796,3258012,3788398,4505404,5468651,6591468,8255597
889670,938063,989972,1049554,1114396,1191083,1274006,1377688,1489623,1622969,1784334,1974327,2199582,2480578,2817991,3249676,3763477,4526705,5491118,6647942,8188573
890485,936929,990378,1049886,1118342,1187685,1279045,1373893,1489393,1624974,1783519,1973321,2195312,2476094,2812325,3254695,3797428,4519947,5453335,6672852,8184284
890886,937222,990655,1050391,1113397,1190599,1277190,1376342,1498807,1623450,1780310,1964936,2196116,2477748,2816463,3260357,3814015,4550227,5387533,6529329,8248063
889369,937109,991660,1050305,1117768,1188752,1275266,1375850,1486329,1622376,1783255,1976960,2188692,2477518,2844465,3236171,3796877,4508586,5422110,6609266,8199428
888324,937434,988156,1050964,1115786,1192998,1274989,1380501,1491450,1623173,1787022,1977131,2204082,2477822,2824571,3223406,3818799,4496297,5404481,6488107,8066330
