1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
25765026,27159281,28708111,30450849,32413823,34650990,37215792,40177391,43624628,47716246,52721713,58772366,66306709,75477061,87956436,104040120,125087424,155168674,195817419,256368787,347611575
25765153,27157823,28708841,30451995,32412765,34646099,37197011,40176920,43639127,47782954,52716517,58739721,66291353,75622076,87990442,103697339,125574017,154518606,194864559,255972514,344249888
25764626,27157289,28709112,30449803,32416578,34639717,37205964,40183540,43658931,47762777,52693409,58686398,66193544,75687021,88136637,103831461,125050649,155830829,196758996,254932217,346062570
25767125,27156262,28712411,30447695,32407953,34643487,37206851,40169720,43638188,47772927,52718296,58747698,66192677,75703984,87858210,103815114,125031144,155161081,196412596,253803886,339820933
25767095,27161574,28709173,30448133,32412389,34645950,37200213,40172947,43647740,47759440,52697544,58697352,66220748,75640572,87741013,103783962,126438039,156288970,197129042,253457041,349204504
25763804,27160486,28708730,30449975,32412779,34648498,37209115,40162623,43644011,47758412,52707590,58724878,66174380,75777782,87729796,104305988,125508712,155172237,196293973,255147010,346527317
25765641,27157403,28710478,30446597,32419935,34646255,37209954,40168523,43643959,47752437,52694021,58691409,66193801,75498394,87798009,103931299,125462303,155240040,196194918,254732283,344131841
25765198,27159392,28709965,30448655,32415699,34645297,37193018,40174579,43630988,47746446,52699847,58780668,66201650,75572234,87723748,104318671,125142207,155311734,196187260,255761758,347241290
25767956,27160136,28708315,30446089,32414623,34647253,37205641,40162904,43624865,47764398,52703348,58737650,66206121,75555271,87697972,103812310,124918746,154647980,196951816,259316628,343958649
25765838,27157305,28708867,30451623,32419813,34649691,37203905,40171423,43628159,47763878,52703077,58723601,66220132,75640309,87869750,104141921,125896489,155847575,195507320,253931341,343453207
25765485,27154451,28711339,30450073,32410643,34635127,37199563,40170620,43646116,47746997,52659381,58733448,66246343,75707217,87861971,104135808,125616835,155703772,197701056,255322909,343902007
25765635,27156838,28711114,30451351,32409474,34649092,37208035,40185668,43639143,47756397,52700348,58711257,66276099,75812437,87791374,104027231,124662166,154498447,197724438,256739515,347800419
25763571,27161423,28711419,30447440,32419031,34639695,37210171,40172260,43664234,47755499,52693844,58754414,66174094,75700044,87651436,103879810,125570383,155020262,198603350,259539055,348329820
25764637,27160578,28712075,30449202,32411883,34640121,37209888,40177249,43627517,47764758,52688785,58715871,66286571,75670509,87802140,103767129,125242205,156131883,197350710,256632635,343292005
25764941,27157674,28712530,30447271,32413755,34649183,37199649,40185234,43653046,47775462,52700752,58761474,66235177,75700675,87762449,104054055,125631599,154742048,197552196,256859845,339866096
25764755,27159022,28714487,30449287,32412142,34657539,37210653,40166108,43646814,47769999,52710425,58685749,66175152,75741033,87854466,103698283,126090877,153769534,196834522,256278921,341041410
25764171,27159574,28710538,30448202,32408128,34644012,37210555,40166988,43651916,47769597,52688404,58737300,66218907,75586290,87695814,103809319,125275585,155383264,197501484,258732430,344586193
25765003,27158920,28708897,30453241,32416636,34642939,37205318,40162022,43641864,47759436,52723337,58747945,66147649,75706704,87961195,103858182,125136848,155558457,197113112,255899271,345140932
25764545,27159282,28713058,30453853,32415153,34644296,37212907,40182343,43632292,47758714,52677963,58740143,66231077,75523503,87706218,103825030,125514613,156011109,195876021,259204236,346414133
25765949,27156363,28708321,30450023,32412736,34642849,37201160,40171335,43651998,47741794,52709564,58769343,66199002,75797465,87859676,103696330,125418065,154496987,196189569,255979129,344005367
25764773,27155765,28712756,30448055,32410687,34647076,37203057,40168140,43648293,47750116,52705961,58727891,66185361,75619530,87921697,104124677,125385368,155071017,199142511,255440543,344776454
25766526,27158396,28709716,30451148,32412734,34646318,37211524,40176432,43646126,47757597,52683913,58687531,66217771,75674609,87771693,103890446,125416524,154312514,195451362,255876389,342128110
25766022,27159143,28710228,30450228,32415198,34651091,37210286,40181480,43647002,47791904,52699780,58718328,66213748,75799547,87741907,103829059,125408952,154336865,197688531,255836171,339191833
25765752,27162097,28708132,30448042,32413186,34644867,37205543,40169476,43619026,47757448,52728368,58691285,66145934,75524710,87881547,103909690,125157991,155151474,196808699,259525417,346486741
25765295,27156558,28710032,30443637,32416730,34641709,37201751,40178018,43655849,47755911,52725844,58714275,66196527,75495335,87804041,104072122,126086516,155291488,196952006,261910060,347204316
25766136,27158128,28710245,30448574,32408759,34646664,37204825,40173866,43645717,47766447,52725555,58716798,66200813,75480564,87888206,103573172,125425528,154932602,198374141,257172358,342559978
25765762,27157735,28710463,30452300,32414064,34646550,37215110,40175365,43630501,47748663,52704453,58657681,66286577,75631650,88042711,103724351,124738049,155385166,195203813,260137484,349519309
25764512,27159733,28708398,30448344,32412966,34636361,37207409,40173316,43631255,47759440,52696528,58728633,66318527,75775514,88060234,104105918,125384056,154552111,196997616,257228215,346778965
25766094,27158575,28708809,30446316,32412273,34643354,37210088,40170887,43641860,47755487,52731426,58795953,66152844,75713850,87782822,104019109,124607926,155137775,195469294,256557849,345404648
25767611,27160837,28708087,30445439,32413922,34655694,37200385,40158528,43629898,47776769,52721353,58710747,66184548,75632621,87733315,103808384,125267243,156076923,197129319,255567319,343816582
25765748,27159184,28714295,30452542,32414071,34643851,37214152,40169266,43654571,47756940,52713393,58728303,66206922,75565595,87726647,103944319,125240025,155161497,196521691,258293735,344542506
25766091,27158703,28708216,30448851,32414875,34648899,37207575,40175884,43645549,47766768,52729229,58719455,66318730,75717326,87952039,103626400,125387039,153397969,195626499,257649321,343202741
25765527,27157709,28711009,30454065,32413485,34645810,37211812,40181281,43649821,47734828,52673078,58723498,66175833,75627418,87949470,103725285,125100409,155350351,196688044,258449737,344134499
25766899,27159399,28711703,30449093,32413240,34644401,37215105,40168069,43652018,47746538,52687769,58696996,66239104,75624879,87958803,103544993,125533066,155087901,196525944,260569395,348405953
25764508,27158405,28707345,30451011,32418666,34641812,37206780,40168080,43650210,47742612,52712275,58749300,66188989,75597315,87615070,104265144,125816018,153861651,198268554,258175338,340381165
25765160,27158634,28707290,30452033,32409053,34646876,37213333,40185291,43650022,47766191,52687374,58788543,66178326,75715626,87836283,103921654,125128126,155021760,197728852,257179720,344151804
25763130,27158266,28710116,30448838,32411222,34652926,37199473,40186982,43637951,47796051,52714787,58668903,66229403,75764531,87828778,103888081,125371493,155509553,197439842,256864001,344878456
25765972,27159516,28710345,30450941,32414563,34635773,37211330,40180714,43631950,47770587,52711623,58737568,66145043,75666187,87880645,103866351,125569125,154884605,196703681,256430971,345769480
25766858,27157613,28709786,30448263,32411217,34643161,37208242,40174485,43643688,47771841,52728040,58735008,66242045,75594109,87932198,103835695,125424302,155397392,198509366,256408869,343060754
25765999,27156128,28711634,30448733,32415948,34647329,37216658,40171642,43655503,47734695,52712612,58738212,66184369,75630089,87787178,104021464,125205343,155335682,197196881,256609363,343694972
