1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
20359044,21452385,22673440,24037452,25578830,27328827,29334220,31640726,34356995,37592119,41437282,46133796,51857046,59230528,68586831,80961715,97486483,119268305,151827422,194670361,265031137
20358173,21453385,22671097,24040374,25573228,27327052,29319604,31654503,34354793,37569478,41402706,46078381,51908148,59162628,68595836,80832128,97410484,120311673,152180957,196625653,265389007
20357279,21454428,22670807,24039638,25577784,27325334,29317865,31647875,34355682,37567035,41414429,46078793,51828662,59155436,68625115,80528935,97875162,120931993,152563758,195618954,261495312
20358866,21453069,22670614,24037835,25577213,27323285,29329500,31658810,34369206,37579153,41418885,46067151,51906944,59009173,68426879,80918200,97717585,119968047,151092721,199945279,268383970
20357196,21452284,22669550,24032219,25573923,27327530,29324604,31644658,34361515,37564423,41420413,46098081,51846652,59296074,68589782,80531547,97730107,120103927,152576032,199324161,264091115
20358107,21456591,22672512,24036625,25575013,27326149,29331409,31656317,34355852,37568861,41386418,46138795,51903591,59173995,68714751,80997336,97449887,119210401,151777263,197330896,258717538
20357676,21456111,22674838,24032331,25570761,27328368,29337913,31650041,34348523,37564430,41427298,46086520,51899035,59164264,68571842,80968817,97402644,120336198,153963428,197766239,264237251
20358611,21449935,22671206,24039439,25574384,27329437,29329082,31647159,34375157,37585840,41400985,46105590,51940180,59134927,68473311,81156049,97555421,119924106,153507884,198296696,262437917
20356973,21453635,22670409,24037188,25573490,27329026,29336589,31633081,34366019,37552407,41409520,46115817,51915673,59180373,68641777,81037796,97481545,121205595,151892723,199497866,262586752
20359548,21451810,22672775,24037031,25572888,27327040,29333783,31648492,34358066,37569065,41394786,46123452,51868992,59233683,68491640,80834345,97832154,120103977,152018794,197510320,264013816
20360664,21453350,22672632,24034863,25581367,27329858,29336309,31666060,34368592,37551408,41405894,46072425,51953283,59260831,68418230,81147088,97206465,119791652,151298762,199998231,263815210
20359502,21457259,22670245,24039175,25580402,27325585,29339888,31654801,34347536,37549170,41414534,46121767,51906371,59299208,68764374,80621999,97031587,119785419,152055359,196708050,260300357
20358976,21450069,22669988,24039006,25575476,27317994,29337004,31640883,34357034,37563116,41435328,46098834,51909629,59317446,68624456,80843508,97577341,119287326,153308424,195257995,262378006
20360937,21453768,22671925,24038293,25576389,27321225,29323798,31643413,34360688,37591214,41426665,46067217,51842350,59212907,68616117,80920896,97641543,119589274,154206636,196472099,258095888
20358837,21454829,22671827,24036957,25578113,27319413,29324760,31650365,34350714,37556679,41471892,46126680,51831554,59169390,68610285,80851843,98007630,120828751,151933260,195553881,263400705
20359126,21453780,22670007,24037487,25575958,27324576,29341248,31652069,34371296,37567187,41434358,46044605,51906059,59236249,68484150,80847409,96931706,119857780,150587764,195756431,266770039
20359026,21452289,22672906,24033089,25574563,27326155,29330583,31647075,34346540,37594349,41448442,46060141,51882975,59218320,68707142,81004447,97484083,119668301,152299098,195464751,261828276
20357237,21453883,22670715,24034609,25571636,27325703,29329881,31644920,34334446,37572674,41425247,46081842,51944978,59104097,68546698,80663986,97164311,120784451,151623704,197770811,265065083
20359597,21455947,22671097,24035946,25576061,27325246,29332954,31649263,34364144,37575476,41445602,46060110,51875054,59105377,68581229,80948412,97713606,120193355,152618333,197378279,260699498
20359619,21453636,22671304,24036359,25578329,27325477,29334519,31656252,34372452,37594879,41412747,46112900,51930441,59232554,68571755,80861337,97854746,119112328,152544400,198293837,266773239
20359364,21451916,22671663,24033583,25580758,27332146,29333533,31642531,34376506,37554399,41426845,46094370,51932991,59252831,68601256,80936462,97097346,120604383,151549742,199264176,268884891
20356202,21452389,22670798,24032603,25580650,27328133,29332954,31654010,34363412,37590494,41431776,46133038,51841718,59141435,68649736,80765817,97297216,121143820,151470747,197093831,265210525
20358356,21452270,22671430,24035528,25573913,27320521,29322804,31661888,34356952,37539302,41419601,46096030,51816893,59253063,68478874,80964493,97233004,120503676,150933584,198675611,260799158
20358751,21454682,22673214,24037417,25575035,27326604,29326324,31657962,34374327,37567085,41386905,46138388,51942747,59143837,68740864,81143068,97548424,120022303,154613656,198199303,266269118
20359751,21452715,22670509,24034908,25581593,27327788,29325481,31651506,34361381,37569936,41399001,46104867,51924179,59246939,68534058,81210621,97454782,120444783,150110338,196931748,268375546
20358674,21452024,22670828,24036903,25569630,27324362,29329269,31651739,34373207,37581751,41416277,46085344,51920094,59130485,68406598,80991329,97594024,119825217,151489589,197068926,267648897
20359592,21453492,22669671,24035636,25571706,27326114,29333017,31654007,34352543,37564733,41422209,46137599,51795627,59203778,68324317,80994107,97149090,120284329,153662963,197507311,259574382
20360810,21452590,22668678,24038868,25580438,27323859,29325938,31652342,34346034,37568690,41408322,46168697,51900989,59170882,68629344,81080032,97343520,120328876,152308605,197351496,266929360
20360822,21452599,22670570,24036442,25575631,27324135,29336188,31649520,34368256,37574882,41425708,46103864,51866236,59238843,68750980,81188505,97300000,120776734,151981928,200012163,264162169
20358786,21452975,22674870,24037938,25576468,27326434,29336341,31652951,34369552,37551794,41402957,46093250,51844923,59225327,68791288,80764051,97511731,120296486,150797877,197160467,266861911
20359307,21455105,22672800,24035606,25573560,27326671,29337524,31658998,34359362,37539608,41407233,46055738,51947888,59243127,68363775,80865588,97791952,119497360,153288880,199774051,262387008
20358453,21452627,22670168,24035502,25574975,27318375,29327022,31658486,34345613,37562253,41438862,46081878,51801400,59195805,68625908,80989811,97566355,119967738,152324321,198464000,267079312
20359481,21452424,22670747,24036869,25580657,27323136,29334468,31647297,34362834,37587654,41416576,46111999,51866478,59205331,68928642,81026389,97006297,120758344,152362090,199203542,261284850
20358322,21450592,22674067,24037389,25575295,27325045,29333688,31643433,34354633,37578085,41399484,46059622,51893074,59204838,68730414,80469542,97104056,120125434,152736589,198406575,266903375
20359441,21453134,22669269,24037615,25571735,27322859,29323919,31652965,34389798,37556213,41418644,46055218,51881175,59248862,68544206,81101605,97030083,120323682,151441466,197726753,264430132
20359720,21453819,22669360,24035081,25575933,27327167,29332413,31639435,34362041,37553411,41416471,46138169,51899489,59136843,68485055,80905091,97836794,120900704,153128653,199439011,261486368
20359042,21453200,22675073,24035040,25571787,27323241,29333912,31642165,34361351,37559803,41446265,46082667,51905728,59185444,68459735,80871880,96945295,120446798,151601048,199862832,264356130
20358882,21450968,22671196,24033229,25574990,27327205,29334463,31666457,34364719,37568153,41439174,46130040,51900180,59197092,68653520,80732128,97189441,120030045,151028481,199403648,264070412
20357730,21453463,22673116,24040882,25577440,27320720,29330360,31641292,34346348,37563268,41427535,46093469,51865687,59119830,68619743,81150419,97425769,120448307,150313783,196456853,261805896
20359480,21452780,22674922,24039556,25573934,27321652,29331008,31659134,34355741,37552604,41426885,46094859,51832033,59264697,68541183,80911899,98262219,120959164,151982315,198332408,263917530
20357946,21453769,22672261,24035703,25575395,27325655,29331059,31654446,34361773,37574321,41382444,46105605,51889668,59235339,68647363,80792524,97478505,119482309,153612460,199799122,268415025
20358286,21454429,22672449,24033530,25578787,27322222,29329599,31643680,34350384,37551476,41412445,46162202,51897565,59367532,68705349,80777988,97593224,119625139,152311057,198269214,263404965
