1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
463723,490773,519004,554826,591934,635322,684308,743221,811344,887458,986085,1098924,1241481,1408491,1614029,1863805,2214815,2615088,3143119,3899010,4745234
463426,490245,520453,554678,589946,634284,684468,747313,811578,887385,976926,1100229,1245216,1405841,1601670,1871437,2176482,2620361,3120825,3783510,4726229
464182,489938,521233,552497,592532,634067,687051,740408,808057,889776,985295,1099071,1232423,1397991,1606532,1871804,2215758,2641838,3166953,3822773,4736502
464550,490710,519581,552758,590380,635424,684799,741231,809819,891170,988008,1093994,1235650,1402524,1622892,1872069,2216574,2662668,3163511,3852568,4738151
463613,490894,520315,554393,591634,633900,683271,741216,809636,888927,987590,1097028,1233288,1400374,1620636,1877206,2206793,2607376,3189035,3883359,4744366
463866,489174,519938,552765,590849,634853,684328,740099,814053,892133,984536,1094041,1248045,1408367,1605823,1872891,2175955,2594656,3096373,3854369,4684737
462639,489943,521237,553666,591417,634828,685224,745208,808634,890977,987233,1088952,1230550,1406998,1604307,1875402,2199676,2651647,3134260,3783081,4723806
464161,490048,519683,554676,592001,632756,687003,745687,811389,891272,984140,1105792,1237620,1398015,1612891,1887447,2225040,2632198,3130780,3895649,4741407
463274,491093,520199,552523,592091,635795,685919,742713,809494,891583,987359,1096602,1236126,1398209,1630497,1875791,2193386,2608575,3118224,3856458,4752169
463531,489160,519933,551772,591208,635876,684924,740906,809693,893450,985597,1102147,1241107,1403166,1606611,1881203,2212313,2635131,3172969,3831692,4776208
464593,490380,518426,552491,591857,634424,685965,740005,808253,888181,985973,1103238,1239878,1402439,1612260,1855021,2217609,2629274,3124791,3822902,4886123
464202,490660,520110,552105,589834,637066,685484,742474,808905,889794,983870,1100354,1240084,1413593,1616554,1862232,2212488,2658525,3197559,3861781,4813510
463757,489518,519697,553902,590053,635348,684227,740731,810866,891369,983972,1097738,1237461,1408449,1614066,1872894,2187513,2625571,3185760,3833376,4808448
464763,489833,518754,553279,592314,637485,683616,742100,810411,887708,983004,1096386,1237991,1402518,1610338,1866581,2208795,2601013,3157010,3872917,4825434
463389,489312,518070,552638,592149,635112,682590,742117,807356,890250,986014,1099561,1234131,1415780,1618815,1863649,2192287,2629888,3157934,3863783,4780708
464371,490070,520064,553130,590496,635370,686268,743339,809618,885393,987493,1098527,1240741,1400140,1625070,1873142,2200351,2585788,3174362,3833249,4756616
464115,490767,519981,554084,592899,635053,681804,742727,809008,891111,987464,1098612,1230648,1411289,1605934,1879928,2211258,2589245,3202493,3910165,4705646
