1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
56236,58971,62526,65884,69925,74353,79852,86474,93457,102134,112012,124164,133960,150764,166304,200913,226695,262951,325033,376712,477856
55635,59045,62463,66018,70347,74986,80038,85753,93038,101721,111323,122201,135629,152410,175127,202505,241511,268766,308430,372288,526662
56125,59164,62097,66079,69968,75408,79715,86385,91811,100432,108784,122054,137443,151227,170432,196355,229505,267977,329118,377246,474027
56123,59197,62285,65146,70234,74634,79949,85298,92786,101887,111062,124049,134392,152729,168329,203127,233546,271452,322646,389444,479829
56252,59125,62604,66580,70217,75713,80824,86222,93839,100615,110317,121973,137200,153520,170661,194993,230787,286286,308673,409193,444973
56299,58707,61671,66488,70143,75401,80883,86314,93236,100088,112193,120778,136012,152638,175415,192176,230637,273510,321959,400016,507129
55938,58471,62341,66011,70038,74620,80075,85984,92904,102980,110326,122427,136550,154782,177459,193259,233255,271280,309662,382402,473008
55955,58874,62377,66256,70450,74823,80215,86948,92822,102120,110622,122684,133835,154981,173722,199337,241694,272782,313852,408580,493628
56765,59174,62329,65833,70515,75297,79862,87146,92434,101705,109760,123285,135736,152029,176923,198797,220432,292515,322128,365382,487692
56185,58426,62157,65779,70364,74720,80211,85590,93181,101885,111145,121763,134459,150734,172258,204189,220709,285812,305037,408472,487781
56052,59144,62509,66611,70161,75202,79250,86352,93249,101917,108728,121876,134720,148811,173660,191739,231955,268615,301148,397301,477349
56097,59134,62578,66086,70628,74928,80620,86174,92329,101594,110947,121400,136462,154972,171480,195003,228128,264700,326515,383556,507814
56691,59007,62530,65999,70122,74639,79711,85742,93571,101172,110941,122105,136287,152200,177030,197439,228530,274938,330203,380923,494275
56394,59513,62711,66022,70399,74326,80855,86358,93675,100416,111737,122355,139527,152891,169492,204900,234151,274653,319701,400207,521675
56164,59181,63042,66157,70519,75390,79792,86359,93921,100911,110872,119781,136297,153720,172277,199380,223093,272920,322902,389588,480764
56277,59363,62144,66326,70485,75417,80073,85689,92422,101583,110453,121201,137684,150729,173175,199729,225023,257668,323948,423349,527055
55893,59572,62682,65521,69894,74433,79561,85495,91968,102646,111417,122596,138432,148396,175535,203251,220003,268402,334228,400766,432762
56027,58987,62297,66144,69597,74846,79933,85912,93173,101053,111145,123415,134263,150000,171467,187953,233746,264875,312341,388923,488119
56138,59133,62345,65901,69822,74618,79843,86686,92186,101349,110366,122798,137083,151685,175041,206113,222842,264703,318444,403582,508309
56098,59043,62496,65842,70111,75611,79914,86842,92872,101087,112540,120112,136691,153762,168737,197768,241684,287279,326404,372763,469802
55944,58992,62082,66207,70600,74791,80174,86024,92946,99421,109495,121844,138862,152564,180918,190571,236550,279862,314262,373409,477521
56273,59264,62098,66057,70421,74778,79532,85937,93364,100934,110767,123805,137023,151265,176790,192641,240233,268590,335868,412489,514694
56400,58963,62122,66177,70327,75261,80052,86463,93102,101948,111251,122905,135097,150830,177552,191009,234880,288340,349884,376895,484688
56366,58658,62447,66168,69970,74725,80297,86526,93057,101144,111048,123719,136867,155811,171946,196586,236528,274609,318533,365087,511621
56546,59459,62590,66579,70302,74722,79714,85642,92779,101475,111915,122434,133977,151042,172503,202513,226763,262648,312774,423389,475812
55895,59392,62042,65329,69744,75076,79856,86586,93359,101248,109430,123300,138215,155094,173292,196990,233818,273023,308889,395496,478423
55865,59360,62825,66588,69874,74864,79448,86393,91797,100707,110496,122725,135170,156372,170701,200442,228862,264098,327617,400674,461561
55981,59071,62332,65944,70059,74965,78771,86489,92880,100907,109497,121638,133403,148063,173896,188983,236397,272159,327984,349958,493715
55971,58930,62357,65885,69871,74948,79904,86173,92678,102118,110692,121881,138541,153927,173000,197667,228400,272168,324246,402255,456567
56084,59115,62391,65231,70249,75157,79766,86424,93285,100930,110604,122703,137346,153737,174810,201965,234295,273063,331430,400501,499757
56078,59033,62099,66154,70879,74231,80496,86974,93018,102466,111680,124847,138507,153748,169740,205578,230372,267182,345872,364788,493578
55951,59120,62070,66077,70226,74437,79151,86337,93298,100010,111691,123931,135370,152153,170667,196777,234675,278654,333132,413987,462628
56248,59396,62285,65794,70480,74877,79783,86072,93050,101683,112524,121748,135869,155922,172151,191645,228243,265067,316418,400663,488979
56052,58954,62700,65493,70340,75346,80466,85920,91564,101378,112048,120719,136004,155629,173306,201280,234242,289058,322650,385569,452826
56364,59117,61912,65896,70241,74375,80346,86574,94213,102383,111386,122333,133303,152972,176274,209766,230461,272111,312583,395308,485563
56217,59044,62371,65564,70721,74624,79637,86370,93325,101118,110722,120734,137465,151761,174637,200345,236982,269968,321493,432350,511529
56484,59389,62527,66539,69823,74828,80282,86108,93315,101690,110267,118804,133409,152290,170241,199760,237622,262429,323154,413094,556604
55896,58808,61970,66141,70428,75764,80697,86403,92652,101288,111338,123074,136602,152362,171877,199757,232484,269468,309862,437010,460707
56156,58940,62813,65444,70062,74595,80449,85427,92348,101534,110851,122681,137586,151004,174887,200847,241714,263000,319197,414652,483345
56292,59057,62463,65988,70193,74220,79947,85732,92660,102457,110651,123304,138590,154471,176632,193197,234042,275156,348781,417696,521630
56200,58733,62235,65818,70239,74645,80324,86086,92395,101679,111797,119073,134549,154834,173782,193218,227134,285224,309988,393118,510274
56390,59421,62266,66143,69412,74487,80118,87137,93062,101229,110872,121544,134120,151997,174059,207935,236235,270070,335032,401006,465039
56226,59346,63062,65381,70536,74799,80324,85185,92842,103496,110191,122194,136470,156727,169116,204033,231388,264883,305974,382699,486887
56109,59475,62636,66024,70250,74745,80542,85792,92680,100785,110358,124575,137212,157485,175127,203199,229742,265198,317520,408618,465734
55969,58797,62461,65780,70930,74366,80489,85401,92503,101231,111642,122875,135138,152221,173389,200195,231828,269882,321160,391596,495318
55957,59049,62502,66150,70703,75270,79896,86880,92251,100790,109617,123050,138344,151096,175290,191048,234055,266881,312192,379800,504124
56058,59313,62004,65799,69769,75146,79688,86746,93555,101566,109873,122595,136576,151605,172272,202214,229999,280896,326803,387112,474352
56300,59533,62175,65637,70290,74665,80155,86221,93007,101769,109790,121380,135585,151867,170602,198959,227458,279085,348281,434281,419522
56099,59097,62899,66359,69962,75074,80522,85432,92913,101291,109409,122617,134539,150839,177900,204280,232303,257735,323131,368250,463791
56438,59053,62092,66081,70158,74823,80481,86215,94289,100693,110439,122422,136987,150134,169821,199052,236306,273881,320479,397027,510348
56055,59114,62349,65975,69790,74283,80459,85927,93656,101144,113566,123882,139855,156812,173134,198662,223573,268307,333450,369037,495150
56211,59024,62260,66037,69826,74815,80158,85914,92898,101264,111263,121335,137458,150981,176045,198299,223271,260912,331037,384692,450084
56130,59293,62606,65496,70145,74608,80484,85663,93893,101301,112108,121966,136030,150682,173812,198360,227492,263584,320950,400381,491725
55885,59269,62622,65935,69962,74196,80394,86492,92819,101884,110430,121705,136194,154504,172167,197200,236863,273183,327087,412445,465691
56139,59182,62769,65963,69446,74207,80330,85967,93245,101711,110162,123774,134043,153069,173105,192946,228727,284885,319398,416853,509760
56310,59240,62246,66160,70551,74414,79689,86230,92987,101832,110143,122822,138254,152998,175362,198638,228521,270367,332061,383347,502384
55614,59043,62707,66025,69729,74203,80291,85224,92931,101190,109685,122495,136247,155853,174423,198189,235558,264803,327650,393134,432730
56144,59273,62417,66302,69781,75404,80146,85997,92183,101911,110687,121798,137343,153781,168770,201128,230426,278522,336990,417103,501341
56482,59444,62508,65820,70378,74477,79389,85848,93301,101478,110151,120999,136027,151623,174896,204524,233363,274033,327360,374969,493228
56160,59089,62239,66265,70523,75239,80390,85990,92379,101004,109879,122746,135889,152804,168068,196035,233071,268981,349622,408410,487746
55839,59198,62505,66409,70202,74122,80142,86234,92149,101057,110677,122409,136032,153817,178606,193053,227523,291002,329158,392795,502779
55853,59096,62730,65825,70573,75255,79293,85661,93374,100699,110929,123132,137133,156246,176524,201351,235631,265413,315139,399996,472429
56109,59097,62402,66134,69947,74510,80403,85765,93441,101511,110065,125560,137525,149541,174580,193321,237085,257716,325307,364976,468913
56290,59462,62683,66394,70249,74578,79728,85406,93425,101573,112619,123173,134532,151120,171545,196099,227757,266291,334419,397487,475245
56268,59127,62415,65841,70255,74806,80244,86695,92995,101340,110465,121994,134236,150908,177203,206326,236651,272917,324459,388332,497699
56046,58748,62421,66317,70067,75139,81045,85608,93602,101115,110251,122789,136255,155946,176358,192984,221393,267914,325281,376083,528699
55717,58936,62320,66120,70581,75211,80338,85284,93260,101299,111026,120819,135471,156007,173956,199782,233070,274683,307086,404359,454703
