1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6309849,6644104,7016388,7431542,7899720,8429639,9037455,9737782,10565781,11531825,12687662,14083656,15854288,18030973,20787000,24685031,30006829,36611594,46557022,61295617,83612297
6309686,6643103,7015396,7432482,7898059,8430790,9035455,9738074,10556831,11507779,12665797,14081989,15852749,17990783,20917822,24347441,29481328,36514283,46079102,60156669,82730564
6309297,6644124,7016203,7431657,7899775,8432334,9036816,9735232,10552732,11521661,12675734,14099495,15842305,18054698,20764555,24654488,29366452,36564869,46541026,61986507,80649091
6309731,6643952,7017396,7430662,7899119,8427955,9033637,9739900,10559158,11519286,12676018,14087288,15800322,18071164,20825634,24464531,29314310,36449409,47047167,60508026,78822445
6309635,6644999,7014907,7431936,7899507,8433672,9038512,9739297,10560836,11518122,12676547,14089382,15832596,18011713,20915973,24558083,29673760,36430472,47063481,62099249,83229597
6309224,6643759,7016023,7430749,7901707,8430606,9037621,9741353,10553657,11531590,12683506,14072334,15836470,18083112,20708979,24626276,29142358,36686499,47501823,60473383,82025129
6310387,6645097,7015619,7430912,7899367,8428371,9038161,9743058,10546571,11510729,12668993,14088109,15858445,17969218,20819732,24497481,29382086,36418849,45726780,62296567,81467498
6310027,6643906,7016283,7432439,7899964,8430365,9039569,9741091,10552344,11531507,12685573,14096600,15819365,18072661,20812562,24560414,29423980,36708261,46182263,61445589,79931134
6309615,6645021,7014557,7432011,7901303,8428833,9035172,9743169,10556485,11512989,12695172,14108238,15812060,17974407,20778078,24542098,29653145,36589671,46733003,60770314,81716256
6308860,6643383,7015933,7431005,7899188,8427873,9038507,9739363,10553700,11532847,12681363,14091165,15783248,17968846,20772628,24449603,29487304,36933442,46103171,61014953,83124746
6309355,6644542,7014286,7432632,7898906,8432206,9034467,9736028,10557141,11526577,12663506,14083417,15802527,18047304,20927131,24666524,29477797,36816122,46677196,61160733,82239770
6309871,6642753,7014559,7429963,7898825,8427988,9038963,9743832,10549236,11512566,12688763,14075365,15805506,18001933,20934312,24452444,29426229,37062207,46301229,61746913,82543467
6309504,6644208,7013349,7431763,7901062,8429611,9036097,9735727,10553797,11520994,12702529,14097459,15836455,18026165,20812089,24579353,29346214,36754073,46179678,60890437,80515774
6310167,6644486,7014799,7430082,7897479,8426491,9040839,9737828,10559002,11526679,12675663,14081982,15825054,18025993,20862849,24633217,29454888,36714180,46252223,60761553,83360119
6309366,6643239,7015342,7430557,7901007,8429067,9039309,9738297,10556155,11538283,12659176,14110519,15819686,18032362,20828493,24510880,29320875,36512012,46147092,61527930,83202826
6310579,6643954,7015549,7431685,7898551,8430361,9040167,9735596,10551345,11517712,12683555,14073304,15822351,18074049,20770424,24616086,29941815,36713500,45902867,61924148,81561106
6310277,6644991,7014875,7431314,7898189,8429471,9037823,9738274,10553463,11518531,12671682,14102791,15794243,18034285,20721331,24751721,29522090,36321950,46496702,60264793,79052286
6309197,6643029,7015619,7431115,7898285,8429116,9038872,9743248,10554220,11522430,12673160,14085814,15787329,18015306,20794094,24677809,29239758,36158853,45818372,59630362,80423326
6309759,6644767,7014364,7431424,7901799,8431538,9038258,9733612,10555836,11515042,12685813,14089298,15837282,18000899,20851497,24563050,29475488,36013906,46283495,62096086,79529010
6309595,6643178,7015248,7429830,7898697,8429499,9037555,9735156,10557903,11532520,12675936,14062098,15782964,18004963,20958821,24685387,29726550,37061920,46256757,61374168,80890503
6308954,6644219,7015473,7430935,7899651,8429480,9036766,9740973,10551742,11514324,12679181,14063701,15843201,18003829,20837974,24569482,29888783,36720152,46618465,60764440,80632642
6309348,6644535,7015695,7431045,7900615,8429249,9039151,9736110,10554543,11524446,12693072,14078066,15821463,18018381,20894227,24681286,29584177,36804642,47085749,60467207,82855017
6310084,6643864,7015140,7430907,7898346,8430192,9038288,9738284,10553564,11518936,12683320,14105834,15809955,18079529,20689566,24581404,29491877,36741896,46460430,60657295,83454202
6309389,6644056,7016172,7430519,7899257,8428868,9037823,9738281,10561539,11529459,12675892,14083062,15849747,17965090,20807757,24708581,29884829,36735172,46576980,61450283,81200922
6309178,6644171,7014303,7430807,7898739,8433376,9036545,9738241,10553233,11531065,12680315,14049032,15820176,18020404,21004109,24478503,29764143,36207455,46458290,61621970,82821822
6310440,6642368,7015929,7432708,7900093,8428597,9037123,9739356,10557957,11512396,12663136,14076464,15844426,17958758,20716364,24716007,29280641,36510850,46951994,61549018,81807514
