1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
6349477,6685430,7059725,7476585,7946898,8482229,9088524,9802138,10619638,11597907,12766231,14134906,15841959,18004566,20777832,24317385,28965286,35623427,43780449,56754433,75068402
6348405,6687027,7060030,7477095,7947658,8477341,9092164,9800557,10606329,11587133,12740921,14126799,15861638,18014989,20722293,24271596,29180987,35486370,44583269,58857173,75898205
6349293,6685394,7059975,7478027,7946600,8482347,9090873,9796329,10617654,11579584,12727749,14163420,15817614,17956884,20681670,24275747,28962590,35253640,44861533,57417786,76420564
6349797,6685810,7059964,7476715,7950104,8484030,9090164,9794518,10617130,11584750,12725241,14133290,15847986,18094811,20727555,24318948,29160555,35617901,43637686,57115638,75837877
6349320,6686390,7059772,7478188,7948736,8482486,9094616,9796707,10621310,11578151,12719914,14158875,15900733,17939956,20808465,24466593,29060842,35913386,44648459,57919914,75313656
6349321,6687169,7060642,7477265,7949957,8483104,9092633,9793164,10608576,11571197,12737319,14152157,15852756,17959024,20899754,24346465,29006284,35690975,44475441,57689309,74195740
6349413,6686611,7058705,7478146,7948384,8480938,9092597,9793010,10613739,11574847,12751739,14128642,15879409,18051178,20841802,24547167,28977795,36266773,44480070,56756201,76284941
6349340,6686540,7059114,7478084,7949945,8479255,9087243,9802840,10615158,11591763,12743156,14138739,15881860,18071871,20793137,24415948,29115329,35751629,45490024,57529016,73988363
6349235,6685473,7059931,7478930,7948236,8486165,9087339,9794648,10611126,11583941,12734376,14147780,15816409,18094626,20743640,24407858,29397505,36248330,44585153,56874488,75564604
6348754,6685827,7059404,7477220,7951230,8480750,9087126,9794726,10610988,11576458,12737178,14118159,15915173,18005801,20714893,24240237,29405735,35584133,44396066,59089767,74172321
6348330,6684778,7059540,7477141,7947701,8482496,9091973,9795547,10620917,11584170,12748112,14123647,15832894,18029837,20788295,24267720,29208149,35431219,44726264,58545522,74802723
6349976,6686389,7058927,7477740,7947894,8483410,9091454,9797194,10620725,11586254,12725677,14163089,15886109,18106290,20786622,24471309,29227274,35518698,44993252,58833462,74513460
6348143,6687430,7059100,7475756,7949625,8482670,9093600,9796975,10617603,11570051,12738388,14132243,15886098,18004480,20610399,24399663,28983493,35569858,44364870,57389150,76086033
6348434,6685982,7059024,7479734,7947156,8485146,9093844,9794894,10615238,11576488,12736627,14160076,15816129,18000167,20697189,24219184,29093886,35338085,44227090,57320717,76144134
6348989,6685824,7059571,7478812,7946525,8481901,9091870,9795668,10608921,11582511,12752303,14112695,15832746,17988166,20815285,24376464,29400487,35302510,45072613,57222858,77481857
6349491,6685772,7060861,7477559,7947047,8483213,9088543,9790384,10616149,11574448,12731432,14136852,15867390,18022030,20783972,24289108,28977448,35752266,44773283,57408756,76769680
6349950,6685664,7060335,7478332,7948745,8482242,9092336,9790608,10622661,11586627,12741306,14132742,15843542,17954308,20854190,24238895,29147791,35267313,44087971,57203330,77200936
6349477,6684981,7061134,7478523,7950282,8482217,9091440,9800380,10618881,11585156,12732846,14164957,15880340,18012598,20772936,24223732,29377389,35647088,44775768,57389639,75107337
6348811,6686799,7060845,7477984,7948241,8481766,9090441,9793584,10622661,11572730,12749492,14147335,15831712,18008100,20793129,24350757,29141225,35389363,43733676,57185950,77314947
6349242,6686530,7059391,7480392,7949179,8485619,9088319,9794709,10610151,11585622,12747552,14153402,15864637,18032169,20775586,24318330,29055859,35779470,44357184,56441582,76863156
6350349,6685333,7060218,7480561,7946555,8484088,9087778,9798857,10611509,11585541,12740438,14147622,15876724,18043265,20722370,24546937,29047384,35249071,44747685,56222927,76138347
6349438,6687201,7059457,7476939,7948800,8480958,9095467,9801447,10613413,11572143,12727967,14118564,15851133,18017737,20663768,24323885,28994235,35434195,45459688,57171710,78657216
6349695,6684718,7059903,7478729,7949553,8481161,9091997,9792291,10616344,11600184,12752311,14166246,15861535,18003919,20749314,24443438,29220566,35741593,44424941,55911734,75766761
6349620,6685577,7058377,7477862,7949617,8483255,9096079,9794239,10607134,11591042,12749175,14163850,15877113,17976706,20687566,24291395,28967257,35263381,45350018,57413524,76381976
6348785,6684958,7058869,7478798,7954642,8480452,9091179,9794988,10614382,11572996,12724806,14133122,15916784,18070775,20770500,24336716,29226580,35554875,44671873,57569728,74551373
6349861,6685578,7061070,7475960,7949517,8481558,9091275,9790119,10612899,11587861,12733624,14131290,15901573,18070088,20785072,24398135,29276758,35480313,44258231,56851503,75869109
6349919,6685439,7061145,7478220,7951718,8480278,9092064,9795784,10613503,11596418,12745411,14139125,15817003,18007664,20821884,24356612,28875979,35623026,44495797,57936695,76694658
6349942,6686512,7060285,7476336,7946916,8481781,9089810,9795848,10620562,11584979,12731184,14132880,15873720,18060867,20699228,24579427,29175779,35768914,44930423,58272215,76311262
6348999,6685170,7060670,7475929,7946094,8481758,9096715,9789914,10622307,11582562,12716064,14156114,15877255,18002439,20820685,24246976,29196733,35723351,44372775,57580652,75796387
6348563,6686333,7058840,7475996,7950738,8483246,9091703,9802295,10612410,11579632,12727113,14145562,15837464,17997327,20790777,24449276,29116932,35874045,44372488,57325705,76476912
6349861,6685052,7058281,7478120,7949428,8485576,9093032,9796657,10618590,11581432,12739533,14159780,15862712,18045332,20781574,24306673,29069757,34956479,44541055,57047205,76978737
6350180,6686648,7058869,7477027,7949126,8481816,9087919,9794405,10609732,11580841,12730851,14122264,15857902,17999084,20831408,24446600,29552215,35662922,44436354,57282103,74606407
6348914,6685988,7059333,7478146,7947149,8483856,9092805,9800709,10621073,11580065,12737858,14131883,15850185,18010504,20814758,24303812,29028912,35297539,45059534,57678827,75444186
6350824,6686671,7059833,7477760,7951564,8482862,9090140,9799905,10615928,11572682,12751106,14134377,15912963,18029117,20715106,24311353,28953809,35305450,44634752,57118906,78881569
6349239,6685002,7059916,7478273,7949526,8481213,9098056,9802978,10618571,11573787,12734910,14150181,15891262,18029593,20783308,24331709,29347225,35935406,44610560,58131528,76796877
6349828,6686079,7059651,7476912,7946124,8480890,9093937,9797520,10615225,11581509,12726489,14124102,15884504,18014877,20752728,24238719,29128992,35432789,44447126,58433361,77085374
6348709,6685779,7060802,7477718,7949428,8484832,9098036,9797100,10617398,11584739,12746420,14154177,15835156,18030524,20745778,24357354,29191127,35464019,43921657,56637931,75361918
6350168,6686086,7060623,7479248,7948986,8482081,9090591,9795455,10620760,11593810,12733282,14132436,15812873,17986217,20683801,24435808,29076179,35656699,44334125,56036571,75352371
6349948,6685480,7060458,7477415,7948663,8482910,9097372,9792595,10617034,11585888,12729928,14137964,15836304,18090848,20800843,24437539,29008214,35682510,44738142,56850271,73653649
6349685,6685236,7059488,7477556,7949004,8482211,9091653,9797044,10608639,11575997,12723126,14156909,15866122,18023575,20771096,24363580,29110224,35342477,44518679,59093382,77814928
6349411,6685927,7059983,7478851,7949296,8482120,9093687,9793369,10621179,11580368,12744245,14143630,15896694,17996904,20776663,24484432,29134271,35802069,44659285,58441901,76869216
6348484,6686550,7058789,7478482,7949880,8481554,9089621,9794397,10616590,11603169,12725874,14121879,15881488,18033509,20740539,24224501,29500097,35695450,44438047,56467282,75164835
6349816,6686490,7059482,7478503,7947610,8478707,9090307,9798003,10614826,11576769,12753174,14143319,15826405,18045379,20826573,24282723,29274450,35952397,44982439,57506520,75775213
6349405,6686474,7060833,7476755,7951021,8482368,9088797,9798125,10615219,11583974,12732128,14152863,15848991,18053833,20868097,24229958,29136824,35816544,45082812,56834911,74666771
6349513,6686964,7061131,7480162,7948066,8482333,9095515,9801311,10618162,11591027,12724818,14158214,15883476,18003800,20742127,24327479,29233432,35733269,44229342,57202225,74500993
