1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,p
0,0,2,0,1,14,2,1,0,0,0,0,1,4,1,3,1,4,0,0,0,0,0,0,0,0,0
2,1,8,14,0,0,1,0,0,0,2,0,1,0,0,0,0,2,0,0,5,1,1,0,2,0,2
0,0,6,0,15,2,0,0,1,0,0,1,0,1,0,2,0,2,8,4,0,0,0,0,0,0,4
2,2,0,4,1,0,0,0,6,0,0,0,0,0,1,0,0,0,1,1,1,0,6,0,1,0,0
1,0,209,1,2,1,2013,0,0,0,0,0,0,0,1,0,0,2,1,0,1,2,0,2,1,0,2
0,1,1,0,0,2,0,0,0,0,10,0,3,0,2,0,0,1,1,0,1,0,0,2,0,5,2
0,0,0,1,1,0,0,0,2,2,0,12,0,0,2,1,2,1,0,0,0,0,0,2,1,1,2
0,1,0,9,5,0,0,1,4,2,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0
0,1,0,1,0,0,1,7,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1
5,5,0,1,2,2,1,0,0,1,0,0,2,2,8,0,0,0,0,1,0,0,0,0,0,0,2
0,0,0,0,2,1,0,5,0,2,1,12,0,0,0,1,2,1,0,0,0,3,0,2,0,4,0
0,22,0,3,0,3,0,1,2,7,0,1,4,0,1,0,15,1,4,2,0,0,0,0,5,0,0
1,6,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2
0,3,0,1,4,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1
0,4,1,1,0,3,19,3,1,0,0,0,0,0,571,0,1,0,0,0,2,0,1,6,0,0,0
0,2,7,3,5,49,0,0,2,1,0,0,0,5,8,6,0,14,0,0,1,0,2,3,4,4,0
1,12,1,1,1,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,3
2,1,1,1,0,9,33,2,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,4
0,0,1,1,0,0,0,3,1,0,0,13,0,0,1,0,1,0,0,2,1,0,0,3,0,0,1
1,1,0,2,0,1,0,0,0,2,45,0,1,0,0,0,1,3,0,7,1,0,0,2,0,0,2
1,0,0,0,4,0,1,0,0,2,0,0,0,2,0,5,0,0,2,0,0,5,0,1,0,0,0
0,8,4,0,0,1,15,0,1,0,0,16,3,0,0,0,0,0,0,2,2,0,1,0,0,0,0
0,3,1,0,5,1,3,0,75,0,0,14,0,0,1,14,1,0,0,0,0,0,1,1,0,0,0
2,0,102,1,1,1,0,0,0,2,0,0,1,0,5,0,0,1,1,0,1,1,15,1,1,19,0
3,66,0,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,0,0,0,1,18,0,0,1
1,7,0,2,0,1,0,1,0,3,0,0,0,0,1,0,0,2845,0,7,0,0,0,0,0,0,0
0,2,1,0,1,0,0,0,0,28,0,0,0,0,0,33,1,42,0,7,2,1,1,0,5,0,0
1,2,2,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,3,0,0,0,1
1,0,0,3,0,1,1,7,0,0,1,0,13,0,0,2,0,6,1,0,0,0,1,0,0,1,1
0,0,1,0,2,0,1,0,1,0,1,0,94,1,27,0,0,1,49,0,3,1,1,13,0,0,4
1,0,1,15,1,0,0,0,1,1,0,0,1,0,0,3,2,2,0,0,0,0,0,1,0,0,0
0,0,0,4,0,44,0,1,85,2,2,2,0,0,0,0,3,52,1,0,2,1,0,0,0,3,2
1,2,0,2,1,1,2,0,0,0,1,6,0,0,0,0,3,2,0,1,1,0,1,0,4,3,1
2,1,1,0,1,1,0,0,0,0,0,0,2,0,1,42,1,1,1,1,1,1,3,0,0,0,1
0,2,3,3,1,1,6,19,19,1,1,0,0,0,0,1,0,43,0,0,0,1,0,0,1,0,1
2,0,11,2,0,12,0,1,0,2,13,0,1,0,32,0,4,0,0,3,0,0,0,0,0,1,0
5,1,0,2,0,24,4,19,5,0,3,0,5,3,0,0,0,0,0,1,0,0,0,0,0,0,2
