1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,p
2,1,0,0,0,6,0,1,0,0,0,2,0,0,0,4,0,0,2,0,1,1,1,0,0,8,0
2,0,0,3,1,1,0,1,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0,1,1,0,0,0,4,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,46
2,0,0,1,1,0,0,0,0,0,0,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,3,0,0,1,0,0,0,1,1,0,4
0,0,0,2,1,1,2,0,0,0,0,1,0,1,1,0,1,2,0,13,0,0,0,1,0,0,1
0,0,0,1,0,2,1,0,1,0,1,0,0,0,1,1,1,0,0,11,0,0,1,0,0,0,0
3,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,3
1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,2,0,0,1,0,0,0,12,0,1,1
0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,2,0,0,2,0,1,1,0,0,0,3
0,1,35,0,1,1,1,0,0,0,0,0,1,0,1,1,0,5,0,0,1,1,0,0,0,0,11
1,1,2,0,0,29,3,1,0,0,0,0,0,0,0,0,0,0,88,0,0,0,1,0,0,0,0
0,0,1,2,0,0,1,6,1,0,1,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0
0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,2,2
0,0,1,0,0,2,1,1,22,11,1,0,0,0,0,1,0,1,0,0,1,0,0,2,1,0,0
1,0,0,1,0,0,1,1,0,7,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
1,4,1,1,0,0,0,3,1,0,0,1,7,1,2,0,0,0,1,0,0,0,11,0,1,0,1
0,0,0,0,0,0,0,0,2,1,1,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0
0,2,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,2,0,0,1,0,1,0
0,1,3,0,1,1,1,0,1,1,0,0,0,2,1,1,0,1,1,0,1,1,0,1,0,0,0
1,2,0,6,1,2,0,0,2,2,1,0,14,0,0,0,0,1,0,1,0,0,0,0,0,0,4
2,0,0,1,1,1,0,2,1,1,0,0,0,3,0,0,0,0,1,2,1,1,0,0,1,0,2
1,0,1,0,2,3,2,0,0,9,0,0,0,4,0,0,0,1,0,0,1,3,2,0,1,2,0
0,0,0,1,1,3,0,0,0,0,0,0,1,0,1,1,0,0,16,0,1,0,0,0,0,0,1
1,1,1,0,0,1,1,0,0,1,0,0,18,0,0,0,0,0,6,0,0,0,0,1,0,0,0
0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19
1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,1,19,0,0,1,0,0,0,0,0,0
2,1,1,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,2
0,1,1,1,0,1,0,0,2,0,1,0,0,1,1,3,0,0,0,1,0,1,0,0,0,3,12
0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,4,1,0,0,0,1,1,0,0,0,2
0,1,0,0,1,3,0,0,1,0,1,2,0,1,1,0,1,0,0,2,0,0,0,0,1,0,0
0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
0,2,0,0,1,2,0,0,0,1,0,3,0,1,0,0,1,0,0,1,0,0,4,0,0,0,6
1,0,1,1,2,2,0,0,0,0,0,2,0,1,0,2,0,0,1,1,0,1,0,0,6,0,1
1,0,4,3,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,14
0,6,0,2,3,1,0,1,0,0,0,1,0,1,1,0,4,1,0,2,0,0,0,0,1,0,0
0,0,1,0,1,1,1,2,1,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0
0,0,0,0,0,1,1,0,2,1,2,15,0,0,0,2,0,0,0,0,1,0,1,0,0,0,3
0,2,0,1,1,1,1,0,0,0,1,0,2,2,1,0,1,0,0,0,0,0,1,0,0,0,1
1,0,0,1,2,1,1,0,1,1,2,1,1,0,0,2,0,0,0,0,1,0,4,1,1,1,3
4,1,0,0,1,4,0,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,3
0,1,1,0,0,0,9,0,3,1,1,13,1,0,0,1,0,1,0,1,0,0,0,0,1,0,6
1,1,2,0,0,0,0,1,0,2,0,1,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,2,0,1,0,2,1,0,0,0,1,1,0,1,1,0,1,0,2
0,0,0,0,1,1,0,8,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,4
0,0,0,1,0,0,0,1,1,23,0,0,1,0,0,1,0,0,0,0,0,2,0,0,2,0,0
0,7,1,1,0,1,0,0,10,1,0,2,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0
0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,8,1,1,2,0,0,0
0,2,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,1,0,1,0,0,1
0,0,0,0,0,2,0,0,1,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
0,1,0,1,0,1,2,0,0,0,1,1,0,1,0,1,0,1,2,0,0,0,0,1,1,0,2
1,0,0,0,0,0,1,2,1,0,1,0,1,1,1,0,0,0,2,8,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,1,0,2,1,0,0,0,0,2
1,1,1,0,0,0,1,6,0,1,0,1,1,6,0,0,0,0,1,1,0,0,1,0,0,1,2
1,0,0,0,0,0,1,0,0,1,0,25,1,3,1,0,0,2,1,1,0,0,0,0,1,0,11
0,0,1,0,4,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,1,5,0,1,0,2
0,0,0,1,1,0,5,0,0,0,0,0,0,2,4,0,11,0,4,0,0,0,0,0,0,0,2
0,0,0,1,0,0,0,18,0,1,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,2
0,1,2,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,8,0,8
0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0,1
3,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,10,0,0,0,0,0,0,0,0
0,0,0,0,2,1,0,0,0,0,0,0,1,0,2,2,1,0,1,3,0,0,0,0,0,27,0
1,2,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,7
0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,1,1,1
1,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,2,0,1,0,0,0,0,11
0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,5,3
0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0
0,1,1,0,0,1,4,2,0,0,2,0,0,0,0,1,0,1,2,0,1,0,0,8,0,0,1
0,0,0,2,0,1,1,2,3,1,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,4
1,1,0,0,1,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,4
1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,0,6
0,0,1,0,1,125,0,0,0,0,0,0,1,1,0,1,2,1,4,0,0,0,1,0,1,0,0
0,0,2,4,1,0,1,13,0,0,1,2,0,1,0,2,0,0,1,2,0,0,0,1,0,0,4
0,0,4,0,0,1,1,0,1,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0,2,3,0,0,0,0,0
1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,4,0,3,11,1,0,1,0,0,0,3,0
1,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2
0,5,0,3,1,0,1,12,1,0,1,1,0,3,0,1,0,0,1,28,1,2,0,2,0,1,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,1,0,0,1,2
0,1,5,3,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,33
0,0,0,2,0,0,9,0,0,0,1,19,1,0,1,0,1,1,0,0,1,1,1,0,0,0,2
1,2,1,0,2,1,0,0,1,0,0,1,0,1,0,1,0,0,2,0,1,1,0,1,1,0,12
0,7,2,1,9,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,2
0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2
0,1,0,1,0,0,0,0,1,0,0,0,1,3,0,1,2,1,0,0,0,1,0,1,0,0,3
3,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,11
1,0,0,3,0,1,0,0,1,1,0,0,0,0,5,2,0,0,0,0,1,0,1,0,2,0,0
1,1,3,0,0,1,0,0,2,1,0,2,2,1,0,0,1,0,0,0,2,0,0,0,0,0,2
1,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0
0,1,2,0,2,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,1,0,0,1
1,0,2,5,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,66
1,0,0,0,1,0,0,7,1,0,0,0,0,1,2,0,1,1,0,1,0,1,0,0,0,0,2
0,0,2,0,0,0,0,1,1,0,0,8,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0
2,1,0,0,0,1,1,1,0,4,0,0,0,2,2,1,1,0,2,0,1,0,0,1,0,0,0
0,1,2,0,0,2,0,4,0,0,2,5,2,6,0,0,0,0,1,1,0,0,2,0,1,0,168
0,0,0,0,1,8,0,0,1,2,0,2,1,0,0,1,0,0,0,0,1,0,0,2,1,2,0
1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,5,1,1,2,0,0,0,0,0,0
0,0,0,1,1,0,3,0,2,0,0,0,1,2,0,1,0,1,1,0,1,1,0,0,0,1,0
3,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,1,1,1,0,0,1
1,0,1,1,0,1,1,0,2,1,0,0,0,1,1,0,1,1,0,7,0,0,0,0,0,0,0
1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,1,1,2,0,0,0,0,0,0,1,4,0,1,1,0,0,0,1,1,0,0,1,0,0,0
0,0,0,1,1,0,0,0,0,1,0,0,3,0,1,0,0,1,2,2,1,1,0,0,1,1,0
0,2,1,0,0,0,0,1,4,0,0,1,0,0,0,0,1,0,1,0,0,51,36,1,2,0,0
0,0,1,0,1,0,0,4,0,0,1,1,0,2,4,0,1,0,1,0,0,0,0,0,0,0,13
0,1,1,0,0,0,4,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,1,0
