1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,p
12,4,2,0,5,0,0,0,3,1,5,3,0,0,3,0,4,4,8,5,3,1
0,0,0,0,0,2,1,0,0,2,2,1,0,0,0,0,29,0,0,8,4,0
1,0,0,7,0,3,1,32,1,1,0,11,0,2,10,1,0,0,1,0,2,3
4,2,0,1,4,5,7,0,0,0,2,1,9,1,2,24,2,25,2,0,4,6
0,0,0,1,5,4,1,0,18,1,3,0,0,8,2,32,5,2,0,3,2,2
0,18,16,0,0,0,0,1,0,5,3,5,4,0,0,6,0,2,3,0,5,1
1,3,1,1,6,2,2,0,2,1,1,2,0,2,6,0,10,4,3,3,2,2
0,3,0,1,0,8,3,0,6,23,3,1,6,11,0,0,0,2,1,0,1,12
9,5,1,4,1,0,7,3,1178,0,1,3,5,1,7,2,3,7,1,5,1,4
1,2,0,1,4,0,2,0,0,2,0,0,0,1,9,0,1,1,3,4,1,5
0,1,0,2,1,0,59,0,5,7,0,0,0,6,7,1,5,0,11,0,4,0
4,0,0,0,1,0,0,4,2,0,2,1,2,2,1,38,0,0,3,1,0,1
8,0,0,0,0,0,0,6,0,0,5,0,1,7,10,65,0,0,1,0,1,1
7,0,14,0,0,3,0,0,0,0,1,0,0,0,2,4,2,0,0,4,1,13
1,0,0,2,3,14,1,0,8,0,0,4,0,0,1,0,5,1,0,9,1,0
5,2,1,1,0,0,6,0,3,0,2,0,1,2,0,4,0,4,0,1,0,0
12,1,9,7,13,23,35,4,1,4,0,0,1,1,4,10,5,0,1,0,2,5
4,0,2,4,1,3,0,2,1,0,44,0,2,0,4,2,0,1,1,12,0,1
0,2,0,6,0,0,0,0,0,4,9,2,0,1,0,0,0,1,11,1,0,0
1,0,3,3,8,1,3,0,0,1,0,4,0,0,10,1,0,0,1,0,0,0
1,5,6,0,0,2,1,1,10,6,0,0,3,9,4,6,2,2,1,2,2,13
6,1,10,3,1,0,1,0,0,4,0,3,1,4,13,1,5,0,0,0,2,12
3,1,1,8,0,48,0,27,1,0,3,0,0,0,2,0,1,0,5,0,0,1
3,4,0,0,1,0,23,0,0,1,1,83,18,1,7,1,1,3,0,0,0,1
1,2,0,15,0,0,1,2,0,3,0,0,6,1,0,2,9,2,0,6,2,0
0,3,2,0,2,3,0,45,10,1,0,0,1,1,0,0,0,1,4,0,1,8
