1,2,3,4,p
0,1,8,2,0
6,0,0,3,2
3,1,0,0,0
0,4,0,44,1
1,1,1,0,12
2,9,2,1,2
1,0,4,0,12
0,5,1,3,1
0,5,1,0,3
0,1,1,77,1
3,6,0,0,20
1,0,2,0,0
2,0,11,5,12
2,0,7,0,3
9,5,0,17,1
0,1,1,8,0
0,0,0,3,0
3,1,0,3,0
0,1,0,0,8
1,1,2,0,1
0,2,4,4,6
4,0,4,8,0
0,1,11,16,8
9,22,53,60,0
0,0,1,0,2
1,0,0,0,3
9,1,0,0,4
8,49,0,0,0
2,1,1,0,0
2,2,0,4,0
3,1,6,0,0
5,2,0,0,22
3,1,2,0,1
1,24,0,25,1
0,102,0,0,1
1,12,8,5,0
1,0,4,17,0
4,2,0,7,0
0,1,1,1,0
0,1,0,0,1
0,2,6,0,18
5,1,0,1,200
0,2,3,0,2
0,1,5,1,0
7,0,2809,0,141
2,1,0,0,0
2,36,4,10,0
3,4,0,9,4
0,3,0,0,0
0,75,7,0,1
0,8,8,1,0
6,0,4,2,377
2,0,0,0,3
1,3,2,1,1
6,6,1,0,0
3,2,3,2,0
0,5,1,2,0
0,8,0,1,1
4,0,9,1,5
0,1,0,18,1
21,1,3,6,1
3,1,0,7,12
6,5,4,2,2
0,0,0,0,1
4,5,9,1,0
1,2,27,0,0
10,1,0,0,12
2,4,1,1,3
4,0,0,1,0
7,11,6,1,21
0,0,5,0,0
0,0,16,2,1
0,12,6,0,0
0,1,1,0,0
0,14,0,4,11
89,4,0,2,3
5,0,0,0,0
3,0,35,0,0
1,0,3,8,1
2,1,20,19,0
0,16,0,18,3
3,0,1,0,4
0,1,4,0,0
0,5,0,0,0
5,2,3,13,1
0,24,3,1,0
0,11,29,4,0
0,0,3,0,0
0,0,2,1,9
2,0,7,1,0
17,0,3,1,1
0,0,0,1,28
1,3,0,0,0
1,9,23,25,2
4,1,1,3,1
15,0,0,1,1
0,0,2,18,2
6,0,5,29,0
0,0,6,0,32
0,20,6,1,0
0,12,0,2,2
17,0,1,0,0
0,22,3,2,0
0,11,0,98,15
1,1,2,2,24
20,4,1,3,5
0,7,1,1,0
3,0,34,16,0
0,23,0,0,2
