1,2,3,4,p
0,17,0,2,3
0,18,3,9,12
1,0,10,0,7
0,2,196,5,2
3,270,0,27,53
1,2,10,27,0
0,3,2,0,1
1,1,1,21,1
2,9,5,1,5
1,1,0,0,8
0,6,38,3,0
3,3,0,3,1
0,0,13,90,0
48,7,0,24,0
67,1,1,0,1
61,0,28,4,0
9,6,0,0,1
5,0,15,32,0
8,0,0,2,2
1,1,3,31,0
2,0,1,2,0
0,0,1,1157,1
0,0,12,136,1
2,10,0,0,0
0,0,1,0,0
25,1,0,2,4
10,0,52,1,0
32,5,0,1,1
1,9,86,0,2
0,0,1,11,2
38,0,1,7,0
93,0,12,2,11
0,12,16,2,1
15,0,2,14,2
232,0,54,0,4
0,1,0,31,5
25,1,0,0,0
2,1,0,0,0
4,0,1,0,5
14,0,0,1,0
0,1,1,0,0
0,0,5,14,1
4,1,5,1,242
2,1,0,3,0
109,4,0,0,0
0,4,1,3,4
1,1,3,1,0
0,0,30,1,0
0,0,0,1,2
0,1,0,2,0
3,0,6,0,8
1,0,10,86,0
1,2,639,25,5
0,2,7,1,0
4,0,15,1,10
8,143,1,7,0
1,1,10,2,0
12,3,2,2,0
0,7,2,0,0
0,0,1,1,0
2,0,0,9,3
2,1,1,0,15
1,6,2,0,2
0,0,0,0,1
0,2,0,27,1
2,0,6,1,35
5,0,1,0,2
4,0,3,1,2
0,5,0,1,1
0,0,0,0,3
3,1,5,0,0
15,0,9,3,0
0,1,3,0,2
25,0,0,1,0
0,0,0,5,4
10,3,2,66,1
1,0,32,9,0
6,0,2,4,0
4,0,0,0,0
10,0,3,3,2
8,3,10,1,12
3,0,3,1,0
0,4,2,0,25
0,2,0,28,1
1,0,17,0,0
0,9,0,0,6
1,0,2,1,0
0,1,0,1,0
3,1,0,3,9
3,3,1,0,0
0,0,0,1,1
2,1,14,0,24
1,39,4,0,0
10,0,305,0,0
0,173,3,7,6
16,2,0,5,26
1,12,7,27,0
7,5,3,1,80
9,0,0,0,4
2,2,1,1,19
1,1,2,0,1
38,78,0,0,0
9,26,7,0,8
0,0,0,1,9
0,9,11,1,393
17,3,356,1,2
0,2,1,0,5
0,5,8,0,1
1,0,0,4,0
2,3,0,10,1178
0,0,2,0,3
26,0,0,0,0
22,0,0,0,0
3,1,18,4,0
5,3,1,1,27
5,1,35,2,0
0,14,7,111,5
0,4,544,0,0
1,34,0,0,0
1,1,0,0,1
0,1,2,1,0
0,0,0,9,16
0,0,0,1,29
118,0,3,0,0
0,1,2,1,0
0,0,3,3,0
16,3,2,0,0
1,0,10,1,2
6,3,3,0,0
11,0,1,2,2
1,0,0,0,13
0,0,0,0,11
9,25,1,0,242
1,5,0,5,2
2,0,0,2,1
1,0,7,1,1
11,0,14,10,0
0,4,0,5,0
3,9,0,0,42
1,4,2,9,1
6,0,11,0,10
0,3,0,0,0
0,2,0,157,1
19,0,1,1,0
1,20,0,2,4
3,1,13,7,1
0,0,0,29,0
1,0,7,0,0
1,1,0,3,3
0,124,0,1,19
1,1,1,203,47
40,15,1,276,1
9,0,28,55,8
