1,2,3,4,p
4,120,1,0,0
5,0,3,4,0
2,2,7,2,1
3,1,5,0,1
0,10,0,3,13
4,7,11,0,0
5,9,0,11,2
1,0,1,5,3
2,4,10,1,0
3,34,0,18,0
0,0,2,1,1
15,0,4,9,5
2,0,0,6,1
0,1,0,20,1
2,0,0,4,0
27,6,0,1,16
1,387,6,13,2
0,0,22,0,0
0,1,0,0,3
1,29,0,1,3
6,0,144,4,0
3,2,1,0,2
4,0,1,1,0
1,2,3,0,8
0,35,0,1,2
1,1,2,0,0
3,0,11,2,1
0,1,3,211,1
4,1,1,1,1
0,0,2,2,0
0,0,2,62,0
0,0,42,12,0
0,4,3,2,1
1,1,46,86,0
0,0,1,0,24
0,1,0,2,0
0,34,0,0,5
1,0,1,4,0
4,4,1,0,0
2,0,9,0,0
37,73,1,1,0
0,36,4,0,6
0,1,1,2,4
1,1,0,0,3
1,11,0,0,1
5,0,0,0,27
17,5,4,0,28
38,0,28,25,1
0,6,8,0,3
9,10,1,0,12
0,0,1,0,2
0,4,26,6,0
178,0,59,0,1
1,1,10,25,7
0,0,1,2,1
4,0,68,4,0
8,5,4,322,0
20,22,5,0,0
0,3,0,468,3
1,0,0,3,0
13,1,7,0,0
2,0,0,0,0
54,29,0,0,0
0,1,1,2,0
3,1,0,2,2
16,19,1,12,2
3,1,0,0,0
4,6,1,2,6
1,0,1,0,0
15,51,1,0,0
9,0,5,3,1
15,0,2,0,18
4,14,3,8,1
0,1,2,1,2
0,55,8,1,6
12,8,0,1,170
1,3,1,6,7
3,1,73,4,4
3,0,0,0,0
4,5,33,0,2
0,0,0,4,0
4,1,0,1,4
0,2,14,67,5
6,1,0,3,2
4,5,0,0,16
0,0,0,0,1
3,3,2,6,1
0,1,5,0,5
27,12,2,2,2
0,3,8,1,1
225,19,2,0,0
29,4,0,1,2
1,0,0,1,0
0,1,2,1,1
51,112,0,2,1
5,0,0,13,64
51355,0,1,0,34
87,14,0,0,8
1,0,0,0,3
2,0,0,1,0
8,6,2,0,3
0,5,0,0,1
0,1,8,20,46
2,0,2,4,18
1,0,0,27,0
5,75,0,0,1
0,5,0,7,0
8,0,1,0,1
2,0,6,26,0
3,1,8,0,2
1,0,7,56,0
83096,102,0,3,24
7,1,4,10,2
34,0,215,7,0
65,0,37,2,12
38,3,0,10,5
1,1,1,1,3
4,2,0,5,0
0,6,2,37,9
2,4,1,0,3
98,36,1,2,0
0,2,0,0,18
4,16,24,0,10
3,19,12,4,3
0,1,0,0,52
0,0,6,3,17
0,8,3,1,2
0,0,21,2,0
14,4,0,15,0
3,0,0,3,0
1,0,1,0,10
0,4,3,1,1
5,4,0,3,0
0,2,30,8,0
0,3,1,6,0
0,0,13,0,24
3,1,4,0,3
19,4,1,24,0
0,1,0,1,1
3,19,0,2,3
1,1,2,6,4
16,3,5,13,13
3,1,1,13,2
99,0,0,0,1
0,2,0,0,0
1,0,0,0,0
0,1,2,0,1
9,0,2,1,0
