1,2,3,4,p
3,2,23,0,0
0,0,1,1,1
1,0,2,2,2
1,0,8,92,3
10,0,0,0,0
2,0,0,0,0
0,0,1,0,0
0,0,1,0,1
0,0,4,0,3
0,2,5,1,4
6,1,0,6,595
0,10,0,0,1
2,1,0,2,5
2,3,13,28,0
10,3,1,1,0
0,1,1,0,1
0,0,5,0,16
1,0,0,0,1
2,4,0,3,0
22,2,112,0,0
3,0,1,6,78
1,0,19,0,0
4,4,0,84,3
1,1,1,0,3
1,0,0,34,1
0,3,0,0,0
0,21,6,4,10
1,0,0,0,1
16,0,0,2,62
5,0,0,3,49
3,0,2,3,3
0,5,0,4,0
9,0,0,0,12
5,0,7,5,1
2,8,3,2,0
0,2,5,1,2
0,13,1,0,3
0,2,12,1,0
0,1,11,6,10
2,0,2,8,1
1,1,1,1,93
1,3,0,1,7
0,0,1,0,1
1,1,2,1,67
4,6,1,1,3
6,2,0,0,0
0,8,2,3,9
2,9,0,6,107
0,0,13,7,7
6,4,0,0,0
7,1,27,0,1
3,0,4,2,1
0,0,5,5,68
5,1,2,1,3
0,0,0,0,0
0,0,1,4,2
7,1,3,0,1
3,17,0,8,2
5,1,2,1,1
1,1,0,11,1
3,0,2,3,2
4,5,5,1,0
0,1,1,0,27
0,0,2,24,0
0,0,0,2,7
21,0,3,9,3
7,6,4,0,1
1,0,23,0,4
1,0,2,0,2
0,1,5,0,0
23,0,6,1,0
0,1,9,4,3
0,1,1,3,9
0,0,0,0,1
2,0,2,3,15
0,13,12,29,0
0,2,1,0,1
0,0,2,1,0
0,2,9,3,19
8,1,18,0,0
3,13,1,4,17
0,10,0,1,1
4,0,1,3,0
0,0,0,5,2
0,1,5,1,4
2,0,1,4,0
1,0,0,0,12
1,1,1,26,2
1,15,4,2,0
0,0,4,0,2
0,0,3,0,0
0,0,1,2,11
45,0,5,2,1
1,0,0,0,0
0,1,5,0,8
0,2,2,0,0
3,1,1,0,1
2,2,6,0,0
0,5,25,1,0
30,6,0,0,0
0,1,5,0,54
0,0,0,1,1
0,4,0,0,9
0,1,79,1,1
1,0,0,0,5
4,3,2,71,3
1,0,10,0,0
0,3,5,16,1
0,4,0,14,0
0,843,5,0,0
0,12,1,1,0
2,3,0,0,1
1,3,0,5,1
5,0,1,3,7
4,3,0,1,6
0,163,0,0,0
1,25,4,2,23
1,0,3,10,0
11,0,0,2,2
0,3,3,12,22
0,4,3,1,1
1,1,5,5,32
0,0,1,0,2
1,0,0,1,9
