1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,2,1,0,0,0,2,0,0,5,2,1,0,0,1,0,0,0,0,28,1,0,1,0,2,1,0,0,7,3,2,1,4,2,0,1,0,1,1,0,4,5,1,1,0,0,0,0,1,1,0,11,0,3,1,0,0,3,1,1,3,2,0,0,1,3,2,1,0,1,6,0,3,0,0,0,0,2,1,4,0,0,3,8,2,0,0,0,2,1,3,0,1,0,1,0,0,10,5,1
5,0,6,1,1,1,0,4,1,3,5,1,0,0,0,0,0,6,0,0,0,1,6,2,0,1,1,3,2,0,1,2,0,7,2,16,1,1,3,7,0,0,3,1,1,0,1,2,2,2,1,3,0,7,0,0,6,1,0,15,1,7,0,1,19,2,0,1,1,1,1,7,1,0,1,1,1,0,0,61,1,1,3,0,1,0,1,1,1,0,2,11,1,0,0,0,0,0,0,1
9,0,0,2,0,0,1,0,2,2,0,0,3,3,0,10,0,0,0,0,0,3,5,1,1,2,4,9,2,0,2,0,0,0,3,1,2,0,1,64,1,0,1,3,1,0,0,1,2,3,0,6,0,1,1,1,1,1,0,3,6,1,1,2,2,2,3,3,0,0,1,0,3,0,1,0,4,2,0,1,2,1,3,0,2,1,3,2,0,0,1,2,1,0,0,0,4,0,4,12
0,11,1,5,4,0,1,1,1,1,0,10,1,0,12,0,0,6,1,1,1,2,1,39,2,5,2,1,2,1,1,1,0,4,0,2,0,1,2,2,0,1,7,2,4,2,2,1,1,4,0,1,0,0,0,16,0,0,5,0,1,0,0,1,1,0,4,2,1,1,3,2,0,1,2,1,1,37,0,0,0,6,1,4,0,1,3,0,4,0,2,0,1,2,0,0,5,2,2,1
0,0,0,1,1,2,1,1,0,4,3,0,11,0,7,0,0,0,1,7,0,0,0,1,1,2,0,1,1,0,1,0,0,1,0,1,18,0,1,0,0,1,1,0,0,0,39,0,1,1,1,0,3,1,0,0,1,2,1,1,2,1,3,1,1,1,1,0,5,2,2,0,0,4,0,1,4,1,0,4,4,0,1,0,2,5,1,0,0,0,0,1,2,79,0,1,5,1,0,1
2,0,5,0,1,1,0,5,1,0,0,5,1,1,0,1,0,1,0,4,0,2,5,0,4,0,1,1,2,25,16,0,0,3,1,2,1,7,6,2,3,1,9,2,0,0,0,0,2,2,0,0,1,0,0,3,0,1,2,1,3,42,0,4,13,1,0,0,2,3,0,1,0,0,1,15,4,0,6,0,2,1,5,1,12,1,0,0,0,1,2,0,0,365,1,3,4,11,1,4
2,5,0,1,11,0,1,0,1,12,5,1,0,3,1062,0,0,2,8,9,36,1,0,1,8,1,2,1,0,1,1,0,2,6,0,1,2,1,2,0,4,1,0,1,3,2,0,3,0,1,1,0,0,4,1,1,0,3,2,1,1,1,1,24,0,6,3,1,2,1,5,0,3,7,0,0,2,1,3,2,5,0,3,1,3,14,1,0,1,8,0,0,0,1,5,1,31,0,5,4
1,0,4,1,1,1,0,3,1,1,4,0,0,0,2,4,1,3,3,1,18,0,0,0,1,0,2,0,0,0,1,119,0,2,3,5,0,2,0,2,2,1,2,1,0,2,1,3,1,2,3,1,2,0,0,1,1,2,0,1,1,0,1,1,2,3,0,0,1,0,1,1,3,5,3,1,1,3,0,0,0,0,1,2,0,0,2,6,1,5,1,1,2,2,0,0,1,0,9,11
1,0,1,0,0,0,0,2,8,19,0,2,2,0,0,2,0,3,0,3,2,1,4,0,3,1,2,3,0,0,1,2,0,0,8,3,4,0,0,1,102,2,1,1,22,1,2,1,0,1,0,1,0,1,4,1,0,0,2,0,0,0,2,1,1,1,1,1,1,2,0,0,15,0,0,0,10,3,3,1,0,0,0,1,0,5,2,0,0,0,0,0,4,0,3,1,1,0,1,3
1,13,0,0,1,1,9,2,1,1,1,1,1,2,9,1,6,0,1,5,66,1,0,3,2,1,1,4,0,1,0,6,2,0,3,0,0,2,2,3,9,1,1,9,1,6,0,3,1,0,1,3,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,2,1,0,1,0,1,1,0,0,5,0,3,1,0,20,3,6,0,1,3,3,1,5,0,1,0,2,2,2,0,3,6,0
0,1,1,1,0,1,39,6,523,2,1,2,1,0,0,0,2,4,8,0,1,1,0,3,0,2,3,0,1,8,1,1,1,1,0,1,1,0,1,21,1,1,3,2,2,0,3,0,4,0,4,0,0,1,4,9,2,3,0,3,2,1,0,1,0,0,1,1,0,1,1,0,0,2,1,1,1,0,1,1,1,0,3,1,1,7,5,0,0,0,2,0,0,1,2,4,0,0,3,0
1,0,0,0,0,4,5,2,1,1,0,1,1,4,2,1,0,0,0,0,1,0,3,1,0,0,1,1,0,3,1,0,237,4,0,0,0,1,1,6,1,2,2,0,0,0,11,2,1,3,1,8,2,1,5,0,1,4,0,1,0,2,0,0,4,2,0,1,2,1,0,2,1,1,0,1,0,2,24,15,2,6,0,2,0,0,1,0,7,4,0,0,10,0,4,8,1,1,2,1
0,0,0,0,0,0,0,0,0,0,1,2,0,1,8,0,1,0,2,5,1,1,2,4,7,1,0,14,0,5,1,3,1,37,3,5,0,0,0,15,0,1,0,2,23,1,2,0,2,1,6,1,0,0,1,2,0,0,0,2,0,0,1,2,1,10,0,0,5,2,5,0,0,0,15,1,0,10,5,2,8,0,0,0,5,1,0,4,1,0,6,0,1,0,0,1,1,0,3,3
1,0,0,1,1,0,2,1,1,14,0,1,0,13,1,0,2,0,1,0,6,0,3,1,0,1,2,2,10,0,3,2,1,2,2,2,1,0,1,3,1,0,0,0,1,5,0,1,1,1,7,2,1,0,2,1,2,0,1,0,2,0,9,2,6,1,1,1,0,2,1,0,2,1,1,0,2,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,2,1,2,1,4,1,6
0,1,1,1,1,4,1,0,1,1,0,0,9,0,3,1,1,0,4,3,2,0,0,2,2,0,2,1,1,15,7,1,1,1,2,0,1,4,0,0,0,5,1,1,0,4,8,1,7,1,0,1,1,2,2,2,2,0,1,0,1,1,3,1,2,3,5,2,2,1,0,1,1,0,0,1,3,1,2,1,8,3,5,1,0,4,241,1,8,0,1,1,1,17,0,30,0,0,0,0
0,0,4,1,1,1,1,1,1,0,1,1,0,1,0,1,7,0,1,2,3,1,1,4,1,0,4,0,4,2,24,4,0,1,0,7,17,1,1,1,3,1,1,2,1,0,0,2,3,1,0,0,1,1,1,0,2,2,1,6,1,3,10,1,1,25,0,35,2,13,2,1,1,0,2,0,0,2,1,0,2,0,2,0,0,2,0,2,1,4,0,5,3,2,1,8,1,7,2,0
0,1,3,3,1,3,0,2,0,4,1,3,1,0,3,1,2,0,0,0,15,1,3,6,2,2,5,0,0,1,0,3,3,2,1,1,15,1,2,2,5,13,44,1,1,6,0,0,1,0,0,4,1,0,0,1,0,21,0,14,6,0,0,0,2,0,0,0,0,2,3,3,3,2,1,443,1,1,3,15,0,0,1,0,0,15,1,2,6,11,0,6,1,0,0,3,3,3,7,8
1,0,15,0,0,1,1,0,0,0,6,1,1,0,0,0,3,1,1,1,0,0,1,1,7,2,3,1,0,1,0,0,28,0,2,1,1,2,0,0,1,0,2,1,0,0,2,5,0,0,4,1,0,0,1,0,0,12,0,0,4,6,0,2,6,0,2,2,3,2,0,0,12,1,2,1,7,2,0,1,1,8,0,19,0,1,1,1,3,9,2,4,0,0,0,0,2,1,2,0
0,0,1,1,33,0,3,35,1,5,0,6,9,2,0,0,1,0,1,1,0,2,6,0,1,1,1,0,1,0,0,0,2,4,1,2,0,1,3,1,1,0,0,2,1,2,0,1,1,9,0,0,0,2,0,1,0,1,1,2,2,0,0,0,0,2,1,0,4,0,1,0,0,0,4,0,0,2,2,0,1,0,0,3,0,0,1,0,0,4,2,2,1,2,4,1,1,0,3,0
0,0,0,0,2,1,1,1,1,27,5,0,0,0,6,1,0,16,0,0,0,0,1,1,1,3,1,1,0,1,0,0,2,0,1,0,0,1,1,1,2,0,2,3,2,2,2,3,4,2,1,2,0,16,2,14,1,1,1,0,0,3,0,0,1,1,0,3,30,0,12,0,1,7,1,2,1,1,0,0,3,1,0,0,1,0,0,0,1,1,1,4,0,5,2,6,0,1,1,1
