1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2,0,0,3,0,2,26,1,3,1,0,0,14,2,3,4,2,0,1,1,2,12,5,0,0,0,2,0,4,1,8,3,0,84,1,4,1,0,3,0,1,1,2,1,0,0,0,18,7,0,0,1,1,4,1,1,17,0,0,2,12,0,1,8,2,0,0,1,0,1,0,3,0,1,6,1,0,0,12,0,0,7,4,12,6,1,0,0,0,3,0,0,22,3,0,1,0,1,1,2
4,0,0,0,0,1,3,0,1,0,3,0,0,3,7,1,43,13,0,19,2,1,0,1,1,2,16,0,0,6,9,0,1,0,4,0,49,0,0,0,1,2,2,3,0,0,8,0,1,3,2,2,1,3,2,5,1,0,0,1,1,1,8,2,1,2,0,0,33,0,3,1,17,0,0,4,0,0,9,0,2,2,1,1,0,0,2,4,1,22,0,0,0,3,11,0,1,19,3,26
0,0,1,0,1,2,1,1,3,0,0,7,1,2,1,1,5,0,1,4,4,0,4,1,1,1,7,0,1,0,0,0,0,0,0,1,7,70,0,0,14,1,2,0,1,0,2,3,1,1,2,2,1,0,1,0,1,5,1,11,2,5,8,0,4,0,0,1,0,7,3,0,0,1,1,5,2,2,4,0,0,0,2,4,1,2,4,1,0,1,0,0,11,0,1,0,18,4,0,0
7,1,3,0,1,8,0,13,2,4,4,0,7,0,1,3,1,1,1,1,0,20,5,0,16,2,2,0,2,1,6,5,3592,6,1,13,2,2,1,0,15,4,3,47,4,51,1,0,0,3,2,2,1,2,5,0,1,1,0,0,0,3,0,0,3,0,2,40,5,0,1,2,1,0,7,1,0,1,1,0,0,0,46,57,0,43,6,2,1,0,2,0,7,0,1,8,3,0,2,0
1,0,3,5,4,0,14,0,0,0,3,5,1,1,1,1,0,0,2,3,0,0,0,29,23,0,2,1,8,2,12,0,0,17,9,0,0,1,1,1,5,2,6,1,0,0,1,1,2,0,4,3,0,15,1,10259,0,0,2,0,0,0,2,1,0,7,1,0,12,0,0,2,0,0,3,12,1,0,13,1,1,2,0,0,5,0,0,3,3,4,0,0,6,0,0,1,0,6,0,8
2,1,0,0,3,0,5,3,0,1,2,4,0,0,4,0,9,1,16,0,0,17,1,0,3,0,0,2,0,1,1,3,7,0,0,0,1,0,0,5,1,0,1,11,1,3,2,0,1,1,4,1,0,0,2,0,0,0,2,0,0,0,2,1,4,2,0,3,6,0,0,1,0,0,2,1,0,0,0,0,5,4,2,0,2,0,0,4,1,7,0,0,0,2,0,0,0,5,0,0
0,1,1,3,1,8,0,2,129,0,2,1,1,0,0,2,0,2,0,0,1,6,0,73,1,0,1,1,2,0,2,29,0,0,2,0,0,0,1,0,0,0,3,1,0,0,1,2,2,0,0,1,1,2,3,0,17,0,1,0,1,1,0,1,1,4,2,0,0,1,0,0,0,1,2,1,2,4,0,9,1,6,1,0,1,1,0,0,0,0,0,0,0,2,0,1,0,11,0,0
1,2,3,1,0,21,10,2,2,1,0,0,0,2,0,1,0,1,0,5,0,5,1,2,0,0,0,0,1,3,0,0,1,0,2,2,0,32,11,1,0,8,1,1,2,1,1,0,0,1,0,29,4,0,0,0,0,1,0,3,1,0,1,2,107,2,0,3,1,0,5,4,1,44,1,2,4,0,0,0,5,1,0,3,0,0,1,7,7,2,0,53,7,0,1,1,0,0,21,2
1,0,30,33,2,1,0,1,1,0,14,10,0,1,0,0,0,1,0,9,1,0,7,0,3,1,4,0,0,2,0,0,2,1,0,1,1,1,1,5,25,1,1,1,32,4,3,1,0,7,0,0,1,0,1,0,3,0,0,2,2,0,5,12,2,0,0,0,0,1,6,0,2,1,3,0,3,0,1,2,0,14,1,0,1,10,1,0,0,1,3,0,14,0,1,1,0,4,0,1
1,0,3,13,0,49,1,3,1,36,71,44,0,0,3,2,0,0,0,0,7,1,7,0,2,0,3,8,4,0,0,0,0,0,0,0,1,5,0,0,2,0,0,5,2,1,0,5,0,2,1,0,1,0,13,1,33,1,4,0,1,1,0,4,1,5,1,2,6,2,4,0,12,3,1,0,2,1,2,0,0,0,2,34,18,6,6,9,2,0,0,4,4,1,3,8,1,0,2,0
6,2,3,0,0,2,1,134,3,1,0,0,0,7,0,0,0,6,0,0,0,0,66,0,6,6,0,3,0,1,0,0,0,4,1,3,1,0,0,0,1,0,1,0,1,0,0,846,1,3,6,0,2,13,0,0,0,0,0,1,1,0,10,2,5,0,5,2,2,3,0,32,0,2,3,2,0,4,0,0,4,0,2,8,0,57,6,0,0,0,1,1,5,0,468,0,0,1,1,20
1,0,1,28,3,0,1,11,15,0,1,0,14,7,3,2,0,2,3,2,1,1,0,0,0,0,0,2,0,1,2,20,0,0,0,6,411,2,1,0,0,0,3,21,1,0,2,0,24,25,0,0,0,1,50,3,1,0,3,0,0,1,4,175,0,0,2,0,0,1,0,2,0,69,4,1,1,1,0,0,0,2,10,2,0,1,3,1,0,0,2,1,6,0,0,0,26,0,3,20
