1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0,0,3,3,2,4,1,0,1,0,0,4,0,0,0,11,1,1,3,2,4,3,2,3,0,1,0,5,4,0,0,1,0,6,2,0,4,25,0,3,3,4,0,2,1,4,1,0,18,19,9,0,0,0,4,6,2,0,8,0,23,0,0,0,1,0,1,0,6,8,1,1,2,2,4,2,0,4,1,1,0,5,4,0,0,0,3,5,3,1,0,0,0,1,6,3,3,2,0
3,6,226,0,2,29,16,0,10,18,1,11,0,4,2,2,0,1,2,1,2,4,32,0,0,0,0,0,6,0,1,1,0,0,0,0,0,11,6,1,5,2,8,0,0,1,0,18,1,1,1,2,12,0,12,0,1,0,2,0,0,0,2,11,0,0,5,2,0,0,14,1,0,3,0,0,0,0,2,0,2,2,0,1,0,1,4,1,1,0,1,0,0,2,0,1,0,19,0,0
0,0,7,0,1,110,1,0,0,0,1,0,1,2,0,2,0,40,1,14,2,6,29,0,1,0,2,30,36,2,0,2,1,3,7,14,0,1,0,0,1,0,0,1,1,0,0,5,1,0,1,0,0,0,9,6,2,0,0,1,0,3,0,1,0,0,77,0,0,1,1,3,0,0,0,0,53,5,1,7,19,0,1,3,17,1,1,1,1,0,1,0,0,0,0,0,3,1,1,32
2,1,0,1,1,6,2,0,1,0,2,4,0,9,5,1,1,9,0,0,0,0,5,1,0,1,13,0,0,1,1,0,12,1,0,0,0,0,1,0,1,2,1,0,17,1,1,0,0,4,46,0,0,2,0,1,1,5,0,4,1,1,0,0,4,0,1,2,2,1,2,0,0,0,1,6,8,1,0,0,1,57,4,3,0,4,0,0,0,1,1,0,0,0,6,2,13,1,0,5
0,3,2,1,0,0,10,2,3,0,1,3,0,7,2,0,3,1,3,1,4,1,0,1,2,1,2,4,1,3,0,2,0,2,0,0,0,0,0,0,0,4,0,0,2,4,3,0,2,0,0,38,0,0,0,1,0,0,0,0,0,2,0,1,1,0,1,0,0,0,24,0,1,1,0,90,4,3,1,4,1,1,1,3,0,2,3,1,3,0,1,0,0,0,18,1,2,23,0,0
2,5,7,3,0,2,5,1,0,1,1,0,0,0,4,0,11,2,1,0,7,0,1,0,0,1,12,1,4,0,4,0,0,0,0,33,0,0,6,2,0,0,11,0,19,2,0,1,6,0,1,4,3,1,1,0,1,0,2,0,3,0,4,0,4,3,0,0,2,0,0,0,57,0,0,3,2,2,1,0,0,4,1,6,0,1,1,1,5,0,1,0,0,1,0,1,2,2,3,25
0,0,4,7,4,1,0,44,0,1,0,0,3,1,2,2,9,12,3,0,0,0,1,3,8,11,0,0,1,2,0,2,0,1,0,0,0,0,1,1,0,0,0,0,28,6,3,2,0,0,8,5,1,6,1,12,9,1,4,3,2,0,1,10,8,29,0,0,0,8,0,0,0,2,0,4,3,0,0,1,0,0,0,0,2,0,280,14,3,2,3,1,3,0,1,4,0,1,3,3
9,0,0,0,2,11,0,2,4,6,1,1,0,0,65,2,0,0,4,0,0,2,0,2,0,0,0,0,0,1,1,4,1,3,7,0,0,1,0,1,0,1,0,21,9,3,2,6,27,1,0,2,0,1,3,6,2,0,0,1,2,3,3,7,77,15,1,0,2,1,0,0,2,0,1,0,1,1,0,1,20,1,4,1,0,0,1,0,0,2,1,6,16,1,0,2,3,4,0,0
0,7,1,0,2,1,0,0,2,5,0,1,12,2,0,1,1,2,0,1,5,3,1,0,1,6,5,0,6,0,3,17,0,1,0,0,1,1,0,0,0,1,1,1,4,3,2,0,2,4,0,11,2,4,131,0,5,0,1,7,2,0,0,4,0,0,0,0,1,1,5,4,1,5,0,14,1,0,5,22,0,0,0,0,5,1,0,2,10,102,0,6,1,2,3,0,0,8,3,39
0,2,2,0,2,0,8,8,1,1,0,3,1,0,1,1,87,1,4,0,1,7,0,1,4,0,1,0,1,5,0,0,0,1,0,0,11,12,0,1,2,0,1,0,3,17,3,1,1,28,0,32,0,0,0,1,28,0,10,1,0,2,1,0,0,0,0,0,1,1,1,0,10,0,1,2,0,2,8,0,0,3,0,2,4,1,0,0,0,13,0,2,1,1,2,4,14,0,9,2
0,1,1,1,0,0,5,7,0,1,0,0,15,6,6,0,1,0,2,2,2,0,2,0,0,0,1,2,3,3,0,0,21,0,1,1,5,0,0,5,2,0,2,1,0,0,1,0,7,1,1,0,2,6,0,0,0,0,0,0,1,0,0,0,1,0,2,36,2,1,1,2,0,0,4,0,0,0,0,0,7,4,1,0,8,3,6,0,0,0,1,7,0,3,4,0,0,7,0,2
0,1,0,3,2,9,0,1,0,0,0,1,6,0,0,2,1,1,3,28,2,4,0,0,1,1,1,0,1,1,1,1,1,1,4,0,0,4,1,0,2,4,3,2,0,0,2,2,17,1,1,1,2,1,2,0,32,0,4,0,0,2,1,0,6,1,1,8,0,2,1,2,0,1,1,0,1,3,0,3,9,2,0,3,2,1,1,0,1,0,10,1,2,0,1,4,0,9,0,0
2,3,12,0,0,8,47,9,3,2,6,6,0,1,0,17,0,2,1,0,21,0,1,0,4,4,0,51,0,6,3,0,2,2,1,5,0,2,0,3,0,0,0,8,1,8,5,4,4,2,0,0,6,1,0,0,11,1,0,63,1,0,0,3,2,1,0,0,0,17,93,0,5,2,0,3,0,3,6,0,1,1,0,0,28,0,0,0,8,0,7,0,0,1,11,0,0,1,6,16
2,11,0,2,24,1,4,0,6,0,1,3,0,6,0,10,0,1,0,0,1,1,1,0,5,0,1,1,2,0,8,2,2,0,23,0,1,4,3,1,1,3,0,1,13,1,12,0,0,0,2,0,1,2,2,0,5,0,0,2,1,0,0,4,2,10,3,10,1,29,0,0,6,0,1,0,1,4,0,1,14,0,0,7,1,0,1,0,2,0,1,0,0,0,0,1,3,1,0,3
0,2,0,2,2,0,29,0,0,2,4,4,18,3,1,0,1,7,1,1,0,0,0,0,0,3,0,12,0,0,1,70,0,2,3,1,0,1,1,3,0,3,39,4,1,1,1,1,635,0,2,5,0,0,0,5,0,67,0,3,0,2,3,0,1,0,0,4,4,1,0,1,0,6,0,3,6,1,2,0,0,0,0,2,1,0,0,1,0,1,2,0,1,0,10,0,2,0,0,0
10,2,2,4,0,4,0,8,7,0,3,1,0,8,5,6,1,0,1,3,4,6,0,2,4,15,0,1,0,0,0,0,6,4,17,0,1,0,9,0,0,0,0,0,0,7,0,22,10,0,12,0,1,1,4,2,4,3,0,11,14,3,0,3,1,2,7,0,12,1,0,6,1,3,0,0,0,0,32,0,2,3,0,1,1,1,2,2,1,10,3,7,1,0,33,0,1,0,0,0
1,0,10,0,0,0,3,3,2,11,5,7,2,0,0,0,2,0,1,9,0,6,0,0,2,4,0,0,1,1,5,4,2,72,1,2,1,2,4,2,0,0,0,0,5,3,10,5,2,0,1,2,2,2,1,2,8,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,11,10,3,2,2,2,1,0,0,9,1,4,1,5,48,0,1,6,10,1,0,5,0,4,3,12,0,3
