1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,1,3,3,0,0,5,1,0,8,1,1,4,7,2,1,0,3,1,0,2,1,1,3,0,2,0,0,2,5,2,0,0,0,3,0,1,3,1,7,1,1,11,0,3,0,0,0,0,1,2,2,0,0,0,5,0,0,1,3,0,0,1,3,1,2,8,1,1,4,2,1,2,1,0,4,1,1,0,2,0,1,0,1,6,0,0,2,1,4,1,5,0,1,1,3,2,2,39,0
1,0,0,1,4,44,0,1,1,1,1,2,100,0,0,0,37,1,1,0,3,12,0,0,1,3,0,0,0,7,0,2,2,0,3,5,0,2,1,4,5,0,0,0,11,3,3,0,0,3,1,6,0,1,0,5,20,5,0,7,2,1,1,1,0,0,2,0,6,4,2,0,1,1,0,3,0,1,6,2,9,5,0,1,3,11,1,1,0,47,2,0,0,0,1,2,11,33,7,1
14,6,2,1,1,1,0,0,3,24,5,2,4,2,1,30,12,0,3,1,0,1,0,1,7,1,0,3,3,3,1,0,6,0,1,1,2,0,0,3,1,0,3,0,0,0,0,7,1,4,6,1,0,2,0,1,0,2,2,0,2,5,0,12,1,4,0,1,1,0,0,9,1,0,8,1,0,3,5,2,2,0,2,6,33,13,5,0,0,0,0,2,0,8,1,3,1,1,0,5
0,0,0,5,27,2,2,0,5,2,1,3,3,0,0,0,4,18,0,3,1,0,2,1,0,1,1,0,4,1,20,0,2,1,3,0,0,7,2,2,0,0,1,2,3,1,1,2,0,0,5,3,1,1,0,0,4,0,3,0,0,1,0,0,0,5,0,0,0,0,10,4,6,0,4,1,0,0,11,2,0,1,0,2,3,1,0,3,3,0,4,0,12,34,1,0,3,9,6,1
2,3,0,0,6,0,5,1,11,0,0,4,0,1,0,21,2,8,3,1,1,1,0,2,0,0,0,3,0,10,2,1,2,0,0,1,0,2,0,0,0,0,0,30,0,0,2,2,2,1,2,11,0,0,4,2,1,0,3,2,9,0,7,1,4,0,6,0,0,0,2,3,1,1,0,1,8,3,0,0,2,10,0,0,0,0,8,1,2,0,16,3,5,0,4,1,3,48,0,3
4,1,0,0,2,1,3,30,0,3,1,0,0,3,0,9,0,0,0,0,0,6,48,11,0,0,55,2,0,2,3,0,0,0,12,7,6,5,23,52,3,0,4,1,0,0,15,0,0,1,1,0,1,0,1,7,0,3,0,10,3,3,1,1,4,0,2,6,0,0,2,3,7,2,1,0,1,0,1,4,0,1,2,0,0,1,4,1,2,0,0,4,4,0,3,1,3,3,0,12
1,1,0,0,0,0,2,1,5,133,0,6,1,2,1,0,33,3,6,2,0,1,1,1,0,2,0,7,1,1,0,0,3,0,0,1,0,0,0,2,0,0,2,0,0,1,0,2,1,1,0,0,1,8,65,3,0,0,39,0,2,3,5,1,0,6,0,13,2,11,3,0,0,2,0,6,0,36,0,3,4,0,7,0,3,3,0,2,1,1,9,0,0,0,3,0,0,3,1,0
1,0,5,4,2,4,4,4,0,2,0,3,0,0,1,3,4,15,2,1,7,0,2,6,0,0,0,1,20,2,2,6,6,6,1,4,2,4,0,1,4,1,1,6,4,9,0,0,0,2,0,0,0,0,4,15,0,3,0,0,3,1,3,0,1,0,1,3,3,0,0,2,4,1,1,1,0,1,6,4,8,0,1,0,0,5,10,0,1,0,1,0,0,55,0,0,0,2,0,3
0,4,0,1,4,0,0,0,0,0,0,1,2,0,4,1,1,1,5,17,12,0,15,5,0,2,0,2,8,2,4,2,4,0,3,1,4,10,0,0,1,1,0,1,8,1,46,2,3,1,0,0,0,4,0,2,1,1,0,1,20,0,2,0,0,0,2,4,1,5,2,0,0,2,13,3,12,8,1,1,0,0,15,3,0,5,0,1,1,5,1,0,2,0,0,0,13,1,85,0
5,0,5,0,0,0,38,0,0,1,3,0,1,1,0,3,0,14,4,1,2,6,3,0,0,0,13,1,1,3,0,1,0,0,2,0,1,0,3,2,0,1,0,0,1,0,2,4,0,2,0,0,47,0,1,7,5,1,3,5,0,2,0,4,0,0,1,2,6,2,0,0,4,0,1,5,11,0,0,0,0,1,1,3,1,0,1,0,5,2,2,24,0,0,9,1,1,4,1,4
1,1,3,2,0,25,2,3,0,2,1,9,0,2,1,0,0,0,0,0,1,2,4,1,1,1,0,8,0,10,24,6,0,5,0,0,0,0,4,1,5,1,1,0,6,1,4,17,0,0,7,1,2,0,1,2,3,7,1,1,3,2,0,0,0,3,7,2,0,0,3,5,3,2,1,3,4,1,0,4,0,0,0,2,5,2,2,0,0,11,1,19,0,7,7,1,1,14,14,7
