1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,0,0,1,1,2,33,2,0,4,1,1,7,3,0,1,0,15,1,0,0,0,8,0,0,1,1,0,0,5,0,4,8,2,2,0,0,1,3,0,0,1,3,2,3,2,10,3,0,2,8,3,1,4,0,2,19,2,0,5,3,0,1,5,0,0,1,0,3,4,5,0,15,1,5,5,1,11,1,3,2,0,4,0,17,2,2,1,2,0,0,1,10,0,1,4,1,3,176,0
1,1,1,1,10,0,1,1,2,22,7,2,0,1,1,2,0,1,0,2,0,1,1,4,0,0,2,2,0,55,7,0,3,0,0,1,4,0,3,4,0,0,2,0,0,0,2,4,1,1,1,1,2,0,0,1,2,2,0,0,0,3,1,0,2,1,0,0,2,7,0,2,9,1,13,5,1,0,58,2,4,3,1,1,417,4,1,3,0,1,2,1,2,3,4,3,5,0,6,2
10,2,0,1,0,3,0,1,1,2,0,2,2,27,0,1,0,0,34,1,2,2,2,0,0,0,3,9,3,1,1,0,0,1,2,24,0,0,1,1,0,0,1,18,0,0,0,0,7,7,0,3,6,11,1,0,2,0,0,0,4,3,7,4,4,1,5,0,0,2,5,1,2,1,3,1,0,0,5,1,0,11,0,3,1,0,0,1,3,0,0,0,0,0,3,1,0,2,0,6
1,0,0,3,1,0,3,4,0,2,4,0,15,0,4,1,2,1,1,9,0,2,0,0,14,0,0,0,0,1,3,2,1,1,1,0,0,0,0,0,1,0,5,2,0,0,1,1,2,3,0,1,0,1,5,0,0,1,5,0,1,0,0,0,0,3,3,30,4,3,3,1,1,2,1,3,0,2,0,0,0,0,2,0,5,2,0,0,5,0,4,2,3,1,0,3,1,1,0,3
0,0,3,2,1,5,0,3,2,1,9,1,2,1,3,2,0,6,1,2,0,0,1,0,0,0,2,0,0,5,0,4,1,12,2,0,2,2,3,1,3,2,11,0,3,0,1,2,0,0,0,0,0,3,1,11,1,7,2,0,0,3,13,5,1,2,1,3,0,3,1,0,0,2,0,0,0,2,0,1,2,4,2,2,1,0,1,1,1,0,1,1,1,1,2,5,5,8,2,5
0,2,7,0,0,0,2,6,0,0,19,0,0,1,2,3,0,1,0,0,9,0,1,5,1,0,0,1,0,4,0,0,8,0,2,4,0,0,28,2,0,2,2,0,1,4,3,2,0,51,0,0,3,2,0,4,2,556,1,2,3,1,8,1,2,0,3,5,1,1,8,6,1,1,5,0,0,0,7,3,0,0,1,3,0,1,0,1,12,1,1,1,16,15,1,0,0,1,7,3
3,11,1,2,1,6,5,41,3,0,4,0,3,0,2,9,3,0,1,3,0,5,2,1,0,3,1,0,1,0,1,2,25,0,6,1,1,200,1,12,1,2,1,2,1,0,3,0,2,4,1,0,20,0,9,0,1,0,2,2,0,0,0,0,2,2,6,2,3,1,0,4,7,0,0,0,0,0,1,0,0,10,0,0,4,0,0,3,1,16,5,2,2,4,1,1,1,0,1,0
1,0,0,2,0,0,1,0,0,0,2,0,2,13,3,20,0,2,2,1,1,0,0,5,1,9,0,4,0,0,3,0,4,0,1,12,0,3,10,8,1,0,0,0,2,0,0,1,2,0,0,1,0,0,0,3,2,1,41,2,0,1,2,2,1,1,2,0,0,1,1,17,0,3,1,0,0,2,3,0,7,0,3,0,0,3,0,0,1,2,1,0,0,2,4,1,2,1,3,0
2,0,1,0,1,4,1,1,3,1,0,3,0,0,0,0,1,3,0,1,0,2,2,1,3,6,0,0,1,0,16,1,1,4,3,2,11,0,156,0,0,0,10,0,1,2,1,1,0,15,6,4,2,8,1,0,1,0,9,5,3,1,46,0,1,1,3,4,2,0,0,16,1,15,1,2,0,0,5,4,2,2,0,2,1,1,2,14,489,5,1,4,2,0,0,0,5,0,3,0
3,0,0,0,5,0,18,0,0,3,7,5,0,14,3,4,0,0,1,0,3,12,1,1,1,0,1,0,2,6,5,1,9,0,4,4,0,0,5,0,0,1,0,7,1,0,121,2,1,14,23,10,677,0,0,0,4,0,1,5,0,15,1,0,0,3,0,8,1,0,2,0,2,1,5,0,0,1,0,1,0,2,1,0,0,0,11,0,0,0,2,0,0,36,9,0,2,0,3,5
0,8,28,0,9,1,0,1,2,2,0,85,17,3,0,1,2,3,0,1,0,0,3,2,0,0,1,14,5,0,0,0,7,1,1,0,0,0,2,4,0,6,0,1,0,2,2,0,8,49,24,2,0,0,0,0,2,0,1,0,1,0,5,2,4,5,2,0,0,2,0,1,7,0,0,0,2,5,3,1,3,3,2,2,49,1,6,0,0,3,2,0,1,0,3,0,3,3,0,1
0,1,0,2,4,2,4,0,9,0,5,3,0,1,5,2,1,0,7,9,0,1,0,2,0,2,1,1,1,7,1,0,1,3,4,0,0,2,0,1,0,0,3,2,4,1,1,0,3,3,2,0,10,0,3,0,2,3,0,0,0,2,16,0,3,0,0,2,1,2,3,0,7,0,0,1,1,4,4,2,4,0,5,0,1,0,6,0,20,1,0,0,2,2,0,2,2,0,0,0
16,0,1,2,0,0,3,21,18,0,1,0,3,2,1,3,0,4,2,1,6,1,0,1,5,140,25,4,0,0,2,0,0,3,1,10,0,4,2,20,2,1,0,0,2,40,0,0,0,5,4,0,3,1,2,0,0,0,0,1,2,3,0,0,1,1,1,0,1,0,6,0,1,13,0,13,1,1,5,1,0,3,3,3,13,1,8,1,4,2,1,3,0,3,3,7,1,0,0,0
2,5,5,1,1,1,0,1,2,0,16,0,3,2,3,8,4,1,3,1,0,2,2,0,0,1,0,0,1,0,1,0,4,0,0,21,1,2,4,0,1,2,0,0,1,3,7,0,1,2,0,1,6,88,2,0,2,0,0,3,0,71,6,2,1,0,0,4,1,0,12,4,1,1,8,8,0,0,4,1,1,0,0,0,6,2,3,0,0,1,1,1,0,2,0,1,2,2,0,0
0,4,4,0,3,6,0,1,3,4,0,3,1,3,3,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,6,1,3,3,10,2,18,1,2,0,1,0,0,3,0,27,9,0,1,1,0,4,0,2,0,0,0,1,38,3,3,1,2,0,3,0,0,0,1,1,2,2,1,2,0,0,1,0,1,4,16,1,1,0,2,112,0,8,3,4,0,2,0,0,0,0,1,0,0,4
0,2,1,1,1,6,0,0,0,0,10,0,0,7,2,0,2,1,0,0,4,0,6,0,0,0,0,0,1,2,0,1,1,5,1,0,0,0,12,3,0,1,20,2,4,1,0,1,0,1,5,9,2,0,1,0,6,9,3,0,18,1,2,1,1,0,0,0,1,4,2,3,0,5,2,2,0,7,0,1,2,0,12,4,0,1,0,0,2,0,2,3,0,32,0,20,1,1,0,0
1,8,2,1,2,16,0,0,1,0,4,1,1,0,1,12,1,0,1,1,0,8,1,1,1,1,1,0,6,1,3,0,2,0,1,0,0,5,1,0,0,1,2,8,3,7,1,0,3,1,0,0,3,9,2,1,4,0,1,0,13,1,7,1,3,0,1,2,0,1,0,2,1,0,6,11,13,0,2,1,1,24,2,1,0,2,1,1,1,0,2,0,1,1,2,6,1,0,0,0
1,0,0,17,1,1,1,1,0,3,0,0,9,0,0,0,2,2,3,1,2,2,0,0,1,0,0,4,1,0,1,0,0,0,0,1,1,30,5,0,0,0,0,3,0,2,3,5,0,4,0,1,1,0,3,0,2,1,3,0,7,7,1,4,1,0,1,3,2,2,1,2,1,0,0,3,0,0,7,3,1,0,1,0,1,1,0,3,0,7,0,2,2,2,14,0,2,1,4,4
4,2,0,0,0,1,4,2,4,2,0,0,1,0,11,6,3,0,15,1,26,0,0,0,1,0,0,0,0,0,1,1,2,0,2,0,0,0,5,0,24,1,1,1,3,0,1455,0,0,1,1,0,0,8,1,0,4,10,1,2,0,0,7,4,3,1,5,239,5,0,1,2,2,0,2,0,7,18,1,3,737,4,0,7,0,0,0,0,0,0,0,11,11,13,0,2,0,4,0,1
