1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,0,9,0,0,0,0,3,2,1,0,4,4,6,13,0,1,5,2,1,0,5,0,0,0,6,5,0,2,0,2,2,0,1,1,0,1,0,3,1,0,0,3,4,0,0,0,5,1,2,3,3,0,6,1,15,0,2,1,9,2,0,1,2,1,0,10,0,0,3,1,3,1,9,7,0,0,7,13,0,1,0,0,1,13,0,1,8,2,1,3,0,3,0,3,9,2,2,0,0
3,1,0,1,0,4,1,0,6,0,0,0,3,4,3,12,6,4,0,11,3,0,76,1,2,2,1,3,3,52,1,9,2,0,0,2,1,2,0,0,1,1,5,0,0,0,5,9,1,0,1,3,17,2,0,2,1,1,1,0,1,1,0,1,4,0,3,0,0,1,1,3,0,4,2,5,57,1,0,3,12,0,9,0,0,0,2,0,0,4,1,0,2,33,7,0,7,0,2,1
2,7,1,1,38,0,2,1,18,1,4,0,5,1,1,2,13,1,0,1,5,0,23,4,4,0,3,1,3,0,0,5,4,1,0,5,2,0,2,0,0,0,1,1,2,0,2,2,3,5,1,1,0,2,1,0,0,0,1,2,2,0,3,2,9,1,0,0,0,0,12,1,1,22,2,1,6,0,2,0,1,2,2,8,0,0,8,1,1,0,2,7,9,0,0,0,1,1,6,0
1,2,0,1,1,0,0,2,1,15,0,3,0,2,0,1,2,0,103,28,2,1,4,2,3,0,1,0,6,1,0,0,1,4,1,3,0,0,3,3,0,0,0,0,4,1,10,5,0,1,2,2,0,5,5,0,0,18,2,2,0,1,4,4,6,0,3,3,16,1,4,0,22,7,2,3,0,1,1,1,18,1,13,1,1,72,0,1,1,0,1,2,0,0,1,4,3,6,1,14
2,0,0,0,0,0,6,4,0,0,3,0,0,1,3,2,0,43,17,8,3,16,0,0,0,1,1,1,0,1,0,1,0,9,2,0,7,4,5,1,0,0,0,0,0,2,5,14,0,10,1,1,11,0,3,0,1,0,3,0,2,26,0,6,2,1,16,1,2,0,0,1,1,2,1,0,3,0,0,3,0,3,2,18,1,1,1,1,3,0,17,4,1,0,3,0,6,1,0,1
0,1,5,0,1,1,1,1,4,0,1,0,1,0,0,0,0,0,8,2,13,2,6,9,4,1,5,1,0,3,1,0,1,2,1,0,5,4,2,0,2,3,0,1,1,0,3,1,0,0,1,0,6,2,0,7,20,0,0,0,0,4,0,0,1,0,0,8,3,2,0,4,0,0,1,0,0,0,0,7,1,1,1,1,10,2,8,2,0,14,0,0,1,1,1,0,1,3,0,0
0,0,3,5,1,1,2,0,1,1,2,0,16,2,1,0,3,4,0,2,2,13,1,1,1,2,0,6,0,0,5,0,0,0,8,7,0,0,0,0,0,0,0,7,0,0,1,0,3,0,1,0,0,0,1,1,8,0,1,2,7,0,11,4,0,44,1,5,0,2,0,1,2,0,0,2,1,0,1,2,0,3,1,3,0,3,0,1,0,0,6,0,0,2,1,1,0,2,1,0
1,3,1,0,0,0,1,5,1,0,5,0,0,0,10,0,0,0,0,1,1,1,3,1,2,1,1,0,8,0,3,36,1,0,0,9,0,0,0,1,3,0,0,0,2,0,1,1,0,3,2,2,5,0,0,0,3,3,4,1,0,0,0,5,11,3,0,2,0,6,0,20,1,0,10,0,13,0,5,12,0,1,6,8,2,0,5,0,8,6,0,0,0,2,0,4,0,0,5,0
1,3,0,0,1,0,0,80,1,0,0,0,1,0,2,0,3,1,0,2,12,0,0,1,0,0,0,0,0,1,8,10,6,2,1,2,2,1,0,0,2,1,2,0,0,0,0,0,0,0,4,0,2,1,0,0,6,0,0,2,4,0,0,2,18,0,1,1,2,0,0,9,15,2,0,0,2,0,2,0,1,0,2,0,3,3,1,0,4,13,0,6,0,0,2,2,0,3,1,0
7,0,1,0,4,4,1,4,1,0,0,0,4,1,0,2,0,0,6,5,0,2,0,1,1,0,0,1,1,4,6,1,2,4,1,2,0,2,0,7,6,3,4,0,3,8,0,0,2,0,3,7,0,0,1,0,0,3,2,0,0,1,3,0,1,1,0,0,0,0,0,0,2,15,0,2,2,0,1,6,0,1,3,0,0,1,3,0,0,1,3,42,0,3,4,13,4,0,1,1
1,6,3,2,0,4,3,4,1,5,0,1,0,3,1,0,2,0,0,1,0,0,4,3,3,3,0,1,9,0,1,4,2,7,18,5,0,0,4,0,1,2,6,3,0,3,5,2,6,2,0,2,0,1,2,0,2,2,0,0,10,0,16,10,0,1,11,20,1,0,7,5,0,0,1,2,1,5,1,2,0,0,1,0,1,0,0,0,0,0,0,2,2,1,0,0,3,0,1,3
0,0,1,0,4,0,0,3,47,0,0,5,1,0,18,1,1,17,0,1,21,1,0,2,0,10,0,0,0,2,0,0,0,3,0,1,0,1,0,4,2,0,0,1,0,0,1,0,2,7,0,6,0,2,7,2,3,0,0,4,2,7,2,0,0,0,0,8,0,0,0,1,3,0,12,0,1,2,8,0,4,0,0,3,1,1,4,0,13,2,2,1,0,0,6,0,0,0,0,4
0,1,0,0,153,1,0,0,1,0,2,1,1,0,2,4,0,1,0,0,0,0,24,1,14,5,24,1,3,2,0,0,0,9,0,6,1,2,10,1,2,0,5,0,4,5,4,6,4,2,4,7,0,2,0,0,0,0,4,0,0,5,0,0,6,2,0,1,3,5,4,1,0,2,1,0,0,2,2,0,12,8,1,6,5,7,1,1,7,1,13,3,1,1,0,0,1,4,0,1
4,5,3,1,14,4,1,2,0,1,0,2,7,4,1,17,0,3,0,5,1,3,1,2,1,0,2,1,6,4,6,6,1,2,0,0,2,3,3,2,0,1,1,7,0,4,3,1,1,0,0,0,1,0,0,0,0,0,1,3,3,0,2,1,4,4,0,11,7,7,2,0,12,2,4,2,2,1,1,5,0,0,0,1,1,4,1,0,0,6,4,1,10,3,2,0,4,4,5,0
2,2,5,2,5,0,1,2,1,5,0,4,4,1,3,1,3,2,7,0,2,1,5,0,0,1,7,0,0,1,1,1,10,0,1,5,4,0,1,0,1,1,4,0,2,0,0,0,11,0,4,2,1,0,2,9,5,0,0,0,7,1,11,0,1,2,0,2,1,4,3,4,0,7,0,2,2,2,0,3,1,1,0,1,3,0,2,0,12,3,0,0,7,0,2,0,8,0,0,0
0,6,8,0,0,3,4,1,6,0,13,1,0,0,2,4,0,3,0,2,0,0,7,24,0,0,0,0,1,1,0,4,9,4,2,3,2,1,0,1,0,10,1,2,0,0,0,43,0,1,1,53,0,3,0,22,0,0,0,2,0,3,1,0,7,0,0,2,1,2,0,1,5,0,0,1,1,0,0,1,0,9,2,31,2,1,3,3,0,5,2,5,3,1,1,1,1,5,1,5
55,1,3,0,2,9,0,0,0,18,0,3,2,1,3,3,0,6,9,4,2,0,1,2,1,1,1,0,0,0,3,1,3,2,4,0,0,1,2,0,1,2,1,0,2,1,0,0,0,0,0,2,1,8,2,1,1,0,4,0,0,5,0,4,1,40,0,4,2,2,3,0,1,7,2,0,2,1,1,0,0,0,1,0,1,3,0,4,3,0,17,2,2,4,2,4,0,2,1,0
1,0,1,6,0,0,10,1,2,0,2,0,1,0,0,0,1,3,0,7,4,3,3,11,1,11,0,3,4,0,0,0,9,0,0,3,1,0,2,0,3,0,4,0,1,0,5,0,2,5,42,4,3,0,1,5,16,0,6,0,5,0,4,12,3,3,5,0,0,2,3,1,1,0,1,3,0,1,2,0,0,4,0,0,0,0,3,0,1,3,0,0,0,0,1,0,8,2,3,0
1,3,1,2,2,1,1,0,1,0,13,0,1,1,0,1,2,3,1,1,0,5,2,1,5,1,0,1,2,2,5,1,0,0,2,3,0,3,0,0,0,4,0,0,1,0,1,0,5,1,0,3,0,22,12,2,4,2,1,3,1,1,1,2,9,0,2,0,3,1,0,0,1,0,0,13,2,0,1,0,0,2,1,2,0,1,0,2,1,1,5,1,6,2,0,1,3,5,0,6
