1,2,3
1090343,546224,611530
1084186,545709,604516
1094287,552476,613586
1094303,549835,611372
1097998,548718,606628
1090603,552136,616215
1083741,544753,613043
1087301,546994,612001
1090386,544340,603718
1088834,549500,612805
1094296,544835,611937
1090871,551001,604659
1083611,549146,615664
1085977,551256,614372
1090948,545757,612177
1084260,555782,611864
1095328,549722,613833
1088575,549433,615283
1088657,546008,610385
1085451,546792,610667
1093531,546660,611884
1088861,546203,612213
1093008,548249,610572
1097134,549401,614333
1092716,545604,612549
1091219,555217,608211
1087417,550734,605709
1094364,552132,606826
1090357,545103,611119
1087915,554439,606237
1079819,555834,604391
1087683,552421,615499
1091515,546813,611270
1093670,549043,607574
1079866,550340,610843
1089236,551230,610990
1094146,542374,612885
1105886,545064,611920
1093521,550781,608152
1090249,550361,603064
1097128,549161,611955
1088153,552122,604418
1105631,552997,608981
1090576,548042,613499
1090528,545599,611436
1094463,550133,614649
1091397,548412,614302
1097235,544353,613201
1102803,548817,607002
1089515,546574,606465
1092821,546531,612966
1088763,550555,606645
1088244,550341,606900
1097732,546717,618699
1088550,548523,615766
1097927,543575,608218
1092571,558169,614073
1088117,548489,607032
1094876,550505,610297
1088742,548598,617241
1088411,547940,616030
1088686,546557,617184
1095712,549367,610157
1089664,547437,619566
1095393,548129,611516
1090391,546716,612700
1097020,544813,620735
1095528,549000,607199
1093355,547109,609194
1082362,549943,609870
1083163,548107,616761
1089607,552654,610445
1097701,545942,612359
1085233,548512,608524
1082279,549023,609470
1093139,545933,608670
1083415,554469,612916
1085213,546158,602926
1099604,550391,606639
1100271,550941,607420
1084192,551169,612234
1092599,547652,611954
1091309,550106,610581
1091875,547347,615426
1100680,547676,610236
1094146,547685,611772
1090306,549515,609146
1101151,550140,605123
1090540,553564,617767
1089163,550198,608814
1091578,548978,615086
1086199,556680,614992
1082684,555000,614455
1090958,543270,608211
1095834,547907,605018
1090949,548902,612550
1081444,555290,612945
1083469,546983,616328
1085411,550080,606591
1094453,554365,612200
