1,2,3
5335066,5285620,5314662
5335134,5286012,5316668
5337419,5282693,5314086
5336181,5283247,5313783
5336144,5283291,5316094
5335156,5282764,5315924
5337155,5282696,5313642
5331859,5284166,5314881
5336880,5285580,5315025
5336291,5283625,5315211
5336223,5283835,5317287
5334119,5282382,5316986
5336093,5282272,5314973
5336385,5283416,5313532
5337000,5283536,5313462
5333094,5281330,5315135
5335752,5284725,5313485
5337347,5285009,5313971
5335600,5281997,5315437
5335231,5282402,5313725
5335253,5284723,5313371
5339353,5284284,5314027
5336798,5283421,5315007
5339512,5283318,5314812
5333428,5282715,5316258
5336571,5284987,5313965
5338547,5283620,5316222
5336544,5284044,5314603
5334263,5287340,5313707
5336025,5285639,5315408
5336932,5285877,5315587
5335814,5282549,5313835
5334179,5284144,5314561
5332461,5284046,5315655
5335622,5286443,5313727
5334897,5284002,5313906
5335433,5284093,5317403
5335946,5284105,5315953
5335845,5286627,5316439
5334969,5285975,5314433
5334416,5283411,5315803
5336099,5280801,5313949
5333439,5283225,5314890
5334655,5284429,5315206
5334577,5286147,5315608
5333523,5285902,5315332
5336948,5281669,5314774
5336014,5283693,5314606
5336520,5284691,5315350
5334488,5285630,5315141
5332937,5284848,5315032
5335915,5283122,5314570
5335299,5287051,5316446
5334820,5288088,5314231
5333513,5284468,5316278
5336798,5285328,5315883
5335530,5284843,5312736
5335260,5282686,5313110
5331248,5283424,5315135
5335831,5282990,5314924
5336682,5284860,5314951
5335575,5284622,5313678
5337130,5285232,5316025
5338858,5281821,5317210
5333981,5284558,5316415
5335728,5283759,5315399
5334298,5283502,5312613
5332063,5285095,5316141
5338035,5287620,5315915
5334336,5283115,5314133
5332247,5283343,5316630
5334360,5284156,5315785
5337767,5282995,5314469
5335740,5283612,5316563
5333331,5284679,5317733
5334235,5285990,5318230
5335156,5283541,5313241
5334393,5285169,5316509
5336369,5283073,5316343
5335769,5282451,5318580
5337336,5283713,5313987
5335268,5287723,5313608
5334356,5285169,5314016
5336746,5283186,5315859
5335272,5282223,5314763
5336128,5283267,5312886
5336089,5284607,5315191
5333041,5283353,5317087
5335695,5286384,5314807
5333696,5283139,5317289
5336581,5284634,5317159
5335526,5286708,5314151
5334899,5284465,5315673
5336392,5282323,5316410
5332521,5282576,5312754
5336097,5284478,5315310
5335818,5283777,5317836
5334837,5280943,5316132
5337476,5284514,5315249
5336548,5282566,5314543
